,tableId,rowIndex,rowCounter,issue_parsed,word2vec_vec
0,02db9f91-572a-44af-9858-4add101353c1,1,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
1,02db9f91-572a-44af-9858-4add101353c1,1,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
2,02db9f91-572a-44af-9858-4add101353c1,1,3,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
3,02db9f91-572a-44af-9858-4add101353c1,1,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
4,02db9f91-572a-44af-9858-4add101353c1,1,5,"July 13, 2016  - No erosion or subsidence issues.",physical
5,02db9f91-572a-44af-9858-4add101353c1,1,6,"July 13, 2016  - KP 0+300- Marker posts and sign down.",
6,02db9f91-572a-44af-9858-4add101353c1,1,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",vegetation
7,02db9f91-572a-44af-9858-4add101353c1,1,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",
8,02db9f91-572a-44af-9858-4add101353c1,1,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved.",
9,02db9f91-572a-44af-9858-4add101353c1,1,10,"Sept 17, 2016 - 65-75% vegetation established compared to off ROW.",vegetation
10,02db9f91-572a-44af-9858-4add101353c1,1,11,"Sept 17, 2016  - Installed TC sign and marker posts at KP 0+040.",
11,02db9f91-572a-44af-9858-4add101353c1,1,12,"Sept 17, 2016  - Re-installed marker posts at KP 0+300, issue resolved.",
12,02db9f91-572a-44af-9858-4add101353c1,1,13,"Sept 17, 2016  - Intermittent herbicide application conducted to control perennial sow thistle.",vegetation
13,02db9f91-572a-44af-9858-4add101353c1,2,1,"June 22, 2016 – Intermittent weeds observed, recommend implementation of control measures.",vegetation
14,02db9f91-572a-44af-9858-4add101353c1,2,2,"July 13, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed.",vegetation
15,02db9f91-572a-44af-9858-4add101353c1,2,3,"July 13, 2016  - Cross drains are vegetated and functioning.",wetlands
16,02db9f91-572a-44af-9858-4add101353c1,2,4,"July 13, 2016   - Wetlands stable and consistent with previous assessments.",wetlands
17,02db9f91-572a-44af-9858-4add101353c1,2,5,"July 13, 2016  - No erosion or subsidence issues.",physical
18,02db9f91-572a-44af-9858-4add101353c1,2,6,"July 13, 2016  - KP 0+300- Marker posts and sign down.",
19,02db9f91-572a-44af-9858-4add101353c1,2,7,"July 13, 2016  - Intermittent herbicide application to control scentless chamomile and perennial sow thistle.",vegetation
20,02db9f91-572a-44af-9858-4add101353c1,2,8,"July 13, 2016   - Herbicide application conducted on valve pad and 2m perimeter.",
21,02db9f91-572a-44af-9858-4add101353c1,2,9,"July 13, 2016   - Was not able to locate or identify any Dalmatian toadflax, 2015 issue resolved.",
