,tableId,rowIndex,issue_pri,issue_sec
0,0114daa6-c048-4081-b4cf-7a9d7461fa44,1,erosion and surface drainage low,
1,0114daa6-c048-4081-b4cf-7a9d7461fa44,2,weed moderate,
2,0114daa6-c048-4081-b4cf-7a9d7461fa44,3,erosion moderate,
3,0114daa6-c048-4081-b4cf-7a9d7461fa44,4,plant growth and weed moderate,
4,0114daa6-c048-4081-b4cf-7a9d7461fa44,5,erosion moderate,
5,0114daa6-c048-4081-b4cf-7a9d7461fa44,6,weed low,
6,0114daa6-c048-4081-b4cf-7a9d7461fa44,7,weed moderate,
7,0114daa6-c048-4081-b4cf-7a9d7461fa44,8,plant growth moderate,
8,0114daa6-c048-4081-b4cf-7a9d7461fa44,9,weed moderate,
9,0114daa6-c048-4081-b4cf-7a9d7461fa44,10,subsidence moderate,
10,0114daa6-c048-4081-b4cf-7a9d7461fa44,11,subsidence moderate,
11,0114daa6-c048-4081-b4cf-7a9d7461fa44,12,subsidence moderate,
12,0114daa6-c048-4081-b4cf-7a9d7461fa44,13,subsidence moderate,
13,0114daa6-c048-4081-b4cf-7a9d7461fa44,14,watercourse tributary of rainbow creek erosion moderate,
14,0114daa6-c048-4081-b4cf-7a9d7461fa44,15,weed moderate,
15,0114daa6-c048-4081-b4cf-7a9d7461fa44,16,watercourse tributary of rainbow creek erosion moderate,
16,0114daa6-c048-4081-b4cf-7a9d7461fa44,17,topsoil thickness and subsidence moderate,
17,0114daa6-c048-4081-b4cf-7a9d7461fa44,18,surface drainage low,
18,0114daa6-c048-4081-b4cf-7a9d7461fa44,19,weed high,
19,0114daa6-c048-4081-b4cf-7a9d7461fa44,20,erosion high,
20,0114daa6-c048-4081-b4cf-7a9d7461fa44,21,wetland na,
21,0114daa6-c048-4081-b4cf-7a9d7461fa44,22,compaction low,
22,0114daa6-c048-4081-b4cf-7a9d7461fa44,23,watercourse tributary of rainbow creek erosion high,
23,0114daa6-c048-4081-b4cf-7a9d7461fa44,24,plant growth moderate,
