legal location (w5m),kp,issue/condition,notes,recommendations,VEC,GIS,Topic
se 31-56-21,0.0,weeds,"moderate densities of weeds, including hemp-nettle, stork’s bill and noxious weed ox-eye daisy, and low densities of noxious weeds canada thistle, perennial sow-thistle and tall buttercup are present from kp 0.0 to kp 0.1.",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
ne 31-56-21,0.1,weeds,"moderate densities of weeds, including hemp-nettle, stork’s bill and noxious weed ox-eye daisy, and low densities of noxious weeds canada thistle, perennial sow-thistle and tall buttercup are present from kp 0.1 to kp 0.9 (see plate 2).",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
ne 31-56-21,0.1,moderate vegetation establishment,ungulate tracking at the edge of the berm at kp 0.3 has reduced the vegetation establishment in this area (see plate 3). vegetation cover is expected to improve in subsequent years.,monitor vegetation establishment in 2014.,,,
ne 31-56-21,0.1,erosion,"minor rill erosion was observed over the trench line at kp 0.5. this is the steepest portion of the slope and a berm is effectively diverting overland flow. seedlings are present in the area, which will reduce erosion as they establish (see plate 4).","monitor in 2014 for vegetation establishment and a reduction in erosion. if warranted, implement further erosion control measures in 2014.",,,
nw 31-56-21,0.9,watercourse crossings: athabasca river and unnamed tributary to athabasca river,"this area was crossed using hdd, creating no disturbance to soils or vegetation.",none.,,,
sw 6-57-21,1.5,weeds,"moderate densities of weeds, including hemp-nettle and noxious weed ox-eye daisy, and low densities of dandelion and noxious weeds canada thistle and perennial sow-thistle were observed on the right-of-way from kp 1.6 to kp 1.9.",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
se 1-57-22,1.9,weeds,"moderate densities of weeds, including hemp-nettle and noxious weed ox-eye daisy, and low densities of dandelion and noxious weeds canada thistle and perennial sow-thistle were observed on the right-of-way from kp 1.9 to kp 2.8.",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
sw 1-57-22,2.9,weeds,"moderate densities of weeds, including hemp-nettle and noxious weed ox-eye daisy, and low densities of dandelion and noxious weeds canada thistle and perennial sow-thistle were observed on the right-of-way from kp 2.9 to kp 3.0.",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
nw 1-57-22,3.0,weeds,"moderate densities of weeds, including hemp-nettle and noxious weed ox-eye daisy, and low densities of dandelion and noxious weeds canada thistle and perennial sow-thistle were observed on the right-of-way from kp 3.0 to kp 3.59.",monitor weeds in 2014 and implement control measures to prevent the spread of noxious weeds.,,,
nw 1-57-22,3.0,erosion,minor rill erosion was observed at kp 3.2 on the right-of-way at the top of the slope (see plate 5). a diversion berm is successfully reducing erosion and allowing for improved vegetation re-establishment.,"monitor in 2014 for vegetation establishment and a reduction in erosion. if warranted, implement further erosion control measures in 2014.",,,
nw 1-57-22,3.0,rutting,soil rutting was observed at kp 3.4. vegetation is beginning to establish on and around the ruts.,monitor in 2014 for continued vegetation establishment over rutted area.,,,
