land use,condition/ issues noted (rating),"kp 1,2",notes,recommendations,status,VEC,GIS,Topic
disturbed,erosion and surface drainage (low),kp 0+020,"erosion observed from the facility gravel pad, sediment deposited in the ditch  adjacent to the fence  water ponding observed in the ditch southwest of the facility ",monitor in 2018.,unresolved,,,
forested,weeds (moderate),kp 0+120,perennial sow thistle (sonchus arvensis) observed (approximately one individual  per square metre),monitor in 2018 and implement weed control as required.,unresolved,,,
forested,erosion (moderate),kp 0+120,erosion log can be removed ,remove erosion log.,unresolved,,,
forested,plant growth and weeds (moderate),kp 0+220,small patch (~10 m2) of sparse vegetation cover compared to off the row   (< 80% compared to row) perennial sow thistle is present at low densities ,monitor in 2018 and implement weed control as required.,unresolved,,,
forested,erosion (moderate),kp 0+200 to kp 0+513,"sediment fence is in good condition, but no longer required - vegetation is  providing adequate erosion control",remove sediment fence.,unresolved,,,
forested,weeds (low),kp 0+360,single scentless chamomile (tripleurospermum inodorum) individual observed  scentless chamomile not classified as a noxious weed in ontario ,none.,resolved – weed hand-pulled,,,
forested,weeds (moderate),kp 0+500,perennial sow thistle found north of the watercourse crossing at kp 0+514 at low  densities,monitor in 2018 and implement weed control as required.,unresolved,,,
disturbed,plant growth (moderate),kp 0+800,< 80% vegetation cover observed on row compared to off-row  trace levels of establishing native vegetation   erosion control materials are in good condition ,monitor in 2018. low vegetation establishment is consistent with year 1 expectations.,unresolved,,,
forested,weeds (moderate),kp 0+950,leafy spurge (euphorbia esula) observed (fewer than 10 individuals) ,monitor in 2018 and implement weed control as required.,unresolved,,,
disturbed,subsidence (moderate),kp 2+540,two areas of 10 to 30 cm deep subsidence  ,repair and monitor in 2018.,resolved –repaired in august 2017,,,
disturbed,subsidence (moderate),kp 2+600,bell hole subsidence on both sides of the watercourse crossing 2+602  ,repair and monitor in 2018.,resolved –repaired in august 2017,,,
disturbed,subsidence (moderate),kp 2+640,subsidence area 30 cm deep and 40 m long on the row  ,repair and monitor in 2018.,resolved –repaired in august 2017,,,
cultivated,subsidence (moderate),kp 3+240,subsidence area 20 cm deep and 30 m long on the row  ,repair and monitor in 2018.,unresolved,,,
disturbed,watercourse –tributary of rainbow creek – erosion (moderate),kp 4+660,"slopes at the watercourse crossing kp 4+661.9 are stable and well vegetated, no  terrain instability revetment posts are stable  sediment fence is in good condition, but is no longer required and should be  removed good first-year plant growth for this watercourse  ",remove sediment fencing.,resolved,,,
cultivated,weeds (moderate),kp 4+805,"creeping thistle (cirsium arvense), bull thistle (cirsium vulgare), scentless  chamomile, and perennial sow thistle are present at moderate to high densities weeds will be controlled through normal agricultural practices by the landowner ",monitor in 2018. no action required. normal farming practices will control weeds.,unresolved,,,
cultivated,watercourse –tributary of rainbow creek – erosion (moderate),kp 4+830,minor terrain instability; erosion along the sediment fence on north side of the  watercourse revetment posts are stable  good first-year plant growth for this watercourse crossing ,repair erosion and monitor in 2018.,unresolved,,,
cultivated/ disturbed,topsoil thickness and subsidence (moderate),kp 4+840 to kp 5+200,topsoil not replaced through this interval  uneven distribution of subsoil causing subsidence along the row  perennial sow thistle is present both on and off the row ,area has ongoing development. monitor in 2018 and determine if landowner would like topsoil replaced.,unresolved,,,
cultivated/ disturbed,surface drainage (low),kp 4+960 to kp 5+200,"ponding, minor erosion, and deposition observed throughout the interval ",monitor in 2018. land use is not affected.,unresolved,,,
cultivated/ disturbed,weeds (high),kp 4+960 to kp 5+200,"multiple weed species (creeping thistle, perennial sow thistle, queen anne's lace  [daucus carota], dandelion [taraxacum officinalis]) are present both on and off-row area was not seeded ",seed area and monitor in 2018. control weeds as required.,unresolved,,,
cultivated,erosion (high),kp 5+090,erosion gulley up to 45 cm deep and 30 m long on the row  farming practices may resolve this issue; monitor to verify ,monitor in 2018 and repair erosion,resolved –repaired in august 2017,,,
wetland,wetland (na),kp 5+220,"european buckthorn (rhamnus cathartica), purple loosestrife (lythrum salicaria),  and common reed are present in wetland terrain and vegetation not affected by pipeline construction ",none – pipeline was directionally drilled and had no impact on the vegetation.,no issue,,,
disturbed/ cultivated,compaction (low),kp 5+680 to kp 5+800,"sparse vegetation cover due to compaction  trace covers of native vegetation   weedy species include queen anne's lace, lamb's quarters (chenopodium  album), and common ragweed (ambrosia artemisiifolia)","monitor in 2018. if compaction continues to affect vegetation establishment, mitigation may be required.",unresolved,,,
cultivated,watercourse –tributary of rainbow creek – erosion (high),kp 5+825,erosion channel 30 cm deep at the ditch line and up to 40 cm was observed  outside the row at kp 5+525.5 good first-year plant growth for this watercourse crossing ,repair erosion and monitor in 2018.,unresolved,,,
cultivated/wetland,plant growth (moderate),kp 5+895 to kp 6+540,graminoid species seeded on row  trace covers of native vegetation  vegetation cover on row (all species) >80 % of cover off-row   vegetation beginning to establish; more time is required for desirable plant growth ,monitor in 2018. low vegetation establishment is consistent with year 1 expectations.,unresolved,,,
cultivated,watercourse –tributary of rainbow creek – erosion (moderate),kp 5+895,erosion channel 15 cm deep at the ditch line and up to 30 cm was observed off  the row good first-year plant growth for this watercourse crossing  two individuals of common tansy (tanacetum vulgare) identified ,monitor in 2018. no risk to the environment is currently posed.,unresolved,,,
cultivated,weeds (low),kp 6+100 to kp 6+200,perennial sow thistle is present in a dense patch (~14 individuals per square  metre); bull thistle is also present in trace amounts weeds will be controlled through normal agricultural practices by the landowner ,monitor in 2018. no action required. normal farming practices will control weeds.,unresolved,,,
wetland,weeds (moderate),kp 6+383 to kp 6+418,perennial sow thistle and purple loosestrife   perennial sow thistle also present off the row ,monitor in 2018 and implement weed control as required.,unresolved,,,
wetland,surface drainage (low),kp 6+490,ponding observed in wetland (only on row) ,monitor in 2018. ponding is not affecting land use.,unresolved,,,
wetland,wetland (na),kp 6+457 to kp 6+506,small wetland is on an acceptable trajectory of reaching pre-construction  functional conditions pre-construction contours are restored  appropriate wetland species are beginning to establish ,none.,resolved,,,
forested,weeds (moderate),kp 6+580,common ragweed (ambrosia artemisiifolia) identified near pipeline markers on  row,monitor in 2018 and implement weed control as required.,unresolved,,,
forested /wetland,erosion and subsidence (moderate),kp 6+675 to kp 6+785,subsidence observed on trench line 15 to 20 cm deep  rutting caused by farm equipment across row  ponding observed on and off-row ,monitor in 2018. subsidence and ponding are not affecting land use or pipe integrity.,unresolved,,,
cultivated,wetland (na),kp 6+805,small wetland is on an acceptable trajectory to reach pre-construction conditions  pre-construction contours restored  appropriate wetland species are beginning to establish  access roads constructed for overhead powerlines affected wetland size and type ,none.,resolved,,,
cultivated,wetland (na),kp 6+830,previously reported wetland not observed on row; filled by third party ,none.,resolved,,,
cultivated/ forested/ wetland,wetland – weeds (moderate),kp 6+850 to kp 7+000,"small wetland is on an acceptable trajectory to reach pre-construction functional  conditions pre-construction contours restored  appropriate wetland species are beginning to establish  bull thistle (trace), perennial sow thistle (six individuals per square meter in small  patch), and creeping thistle (four individuals per square meter in small patch)",monitor in 2018 and implement weed control as required.,unresolved,,,
forested/ cultivated,weeds (low),kp 7+000 to kp 7+175,creeping thistle present  weeds will be controlled through normal agricultural practices by the landowner ,monitor in 2018. no action required. normal farming practices will control weeds.,unresolved,,,
cultivated,erosion (moderate),kp 7+515 to kp 7+900,major rutting by farm equipment across row  subsidence at cathodic protection poles up to 30 cm deep  ponding on and off the row  erosion rills 20 cm deep and 20 m long are present on row ,repair erosion and monitor in 2018.,unresolved,,,
cultivated,wetland,kp 8+693 to kp 9+050,previously reported wetland was not observed on row ,none.,resolved,,,
cultivated,subsidence (high) and weeds (moderate),kp 8+850,two sinkholes 1 m by 2 m up to 50 cm deep   common ragweed and creeping thistle are present (up to three individuals per  square metre) weeds will be controlled through normal agricultural practices by the landowner ,repair erosion and monitor in 2018. normal farming practices will control weeds.,resolved –  repaired in august 2017,,,
cultivated/ forested,subsidence and erosion (moderate),kp 8+970 to kp 9+100,multiple areas of minor subsidence on the row  subsidence at cathodic protection poles  erosion rills up to 20 cm deep and 30-40 m long  ,repair and monitor in 2018.,resolved –  repaired in august 2017,,,
cultivated,weeds (low),kp 9+100,"dense creeping thistle is present off-row (100 % cover), in work area  weeds will be controlled through normal agricultural practices by the landowner ",monitor in 2018. normal farming practices will control weeds.,unresolved,,,
cultivated,subsidence (high),kp 10+420,subsidence area 2 m x 10 m x 0.5 m was observed  area was fenced and marked ,monitor in 2018.,resolved –  repaired in august 2017,,,
cultivated,erosion (low),kp 10+420 to  kp 10+730,sediment fence and erosion control materials are in good condition  minor erosion rills upslope from the sediment fence  subsidence at cathodic protection poles ,monitor in 2018. land use is not affected,unresolved,,,
