legal location,1st year issue/ condition,1st year (2013) issues,2nd year (2016) pcrm assessment and work completed,VEC,GIS,Topic
nw-25 -91-12 w4,industrial/noxious weeds (kp 0+000 to 0+100),"• a large patch of noxious weeds was observed across the full extent of the right-of-way. these included dalmatian toadflax (5% cover) and perennial sow thistle (10% cover). • good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - kp 0+300- marker posts and sign down. - intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - herbicide application conducted on valve pad and 2m perimeter.  - was not able to locate or identify any dalmatian toadflax, 2015 issue resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - installed tc sign and marker posts at kp 0+040. - re-installed marker posts at kp 0+300, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle.",,,
nw-25 -91-12 w4,mineral wetland  (kp 0+100) (stnn),wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. indicators noted on the right-of-way include: • pre-construction contours restored; • appropriate species were beginning to establish; and • absence of excessive ponded water or impeded flow due to the construction right-of-way,"june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - kp 0+300- marker posts and sign down. - intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - herbicide application conducted on valve pad and 2m perimeter.  - was not able to locate or identify any dalmatian toadflax, 2015 issue resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - installed tc sign and marker posts at kp 0+040. - re-installed marker posts at kp 0+300, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle.",,,
nw-25 -91-12 w4,forested/rare plant  (kp 0+400),• between 21 and 50 alder-leaved buckthorn (s3; rhamnus alnifolia) individuals observed on right-of-way. individuals observed on south side of right-of-way in three groupings. • issue resolved.,,,,
nw-25 -91-12 w4,forested/rare plant  (kp 0+400),• reindeer lichen (s2s4; cladonia stygia) were not observed. habitat was altered by the construction of an adjacent foreign pipeline to the south of the right-of-way over the winter of 2014/2015. • monitor in subsequent assessments,"aug 23, 2016 - species not observed at the pre-disturbance location. habitat was altered by the construction of an adjacent foreign pipeline to the south of the row over the winter of 2014/2015. - species re-establishment is not considered likely, as conditions are no longer favorable to the presence of reindeer lichen both on and off row. issue resolved.",,,
nw-25 -91-12 w4,mineral wetland  (kp 0+700) (stnn and sons),"wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. indicators noted on the right-of-way include: • pre-construction contours restored; • appropriate species were beginning to establish; however, common horsetail has become the dominant species in the area  • absence of excessive ponded water or impeded flow due to the construction right-of-way • further vegetation re-establishment monitoring is recommended due to the limited diversity of native species observed. • monitor in 2016, including species diversity monitoring","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - intermittent herbicide application to control scentless chamomile and perennial sow thistle.  - herbicide application conducted on valve pad and 2m perimeter.  sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-25-91-12 w4,forested/noxious weeds (kp 0+890 to 0+910),"• intermittent noxious weeds were observed across the full extent of the right-of-way. these included dalmatian toadflax (1% cover) and perennial sow thistle (1% cover). • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - dalmatian toadflax was not identified, 2015 issue resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-25-91-12 w4,unnamed watercourse (91-wc-01) (kp 0+900),"• no terrain instability was observed.  • no evidence of erosion and slopes surrounding watercourse is minimal. • good first-year vegetation establishment was observed on the banks of this watercourse crossing. scentless chamomile was observed on the right-of-way. the noxious weed was picked, bagged and properly disposed of (1 plant). • monitor in 2016","july 13, 2016 - watercourse is dammed up down-stream. riparian area is stable. - no erosion or subsidence issues. - marker posts required for wc1 sept 17, 2016 - replaced marker posts at kp 0+900 and 1+000, west and east sides of watercourse crossing. issue resolved.",,,
,forested/limited vegetation establishment (kp 1+050 to 1+280),• limited vegetation establishment across the full extent of the right-of-way. intermittent noxious weeds were observed across the extent of the right-of-way. this mainly consisted of dalmatian toadflax (1% cover). coarse woody debris rollback layer less than 4 cm across right-of-way. good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016,"july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. limited vegetation issue noted in 2015 (kp 1+050 to 1+280), issue resolved. - cross drains are vegetated and functioning.  - no erosion or subsidence issues. - intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - dalmatian toadflax was not identified, 2015 issue resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
,forested/rare plant  (kp 1+200),• reindeer lichen (s2s4; cladonia stygia) were not observed. habitat was altered by the construction of an adjacent foreign pipeline to the south of the right-of-way over the winter of 2014/2015. • monitor in subsequent assessments,"aug 23, 2016 - species not observed at the pre-disturbance location. habitat was altered by the construction of an adjacent foreign pipeline to the south of the row over the winter of 2014/2015. - species re-establishment is not considered likely, as conditions are no longer favorable to the presence of reindeer lichen both on and off row. issue resolved.",,,
,mineral wetland  (kp 1+300) (stnn),• wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. indicators noted on the right-of-way include: • pre-construction contours restored; • appropriate species were beginning to establish; and • absence of excessive ponded water or impeded flow due to the construction right-of-way • monitor in 2016,"july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
,forested/noxious weeds (kp 1+300 to 1+600),"• noxious and invasive weeds were observed across the full extent of the right-of-way although predominantly on the pipeline roach. these included perennial sow thistle (5% cover), annual hawksbeard (5% cover) and strawberry blite (1% cover). • monitor in 2016, implement weed control as required","july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - wetlands stable and consistent with previous assessments. - no erosion or subsidence issues. - intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. - annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
nw-30-91-11 w4,forested/noxious weeds (kp 1+600 to 2+400),"• noxious and invasive weeds were observed across the full extent of the right-of-way although predominantly on the pipeline roach. these included perennial sow thistle (5% cover), annual hawksbeard (5% cover) and strawberry blite (1% cover). • good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 - vegetation continues to establish with desirable species throughout row. diverse mix of vegetation observed. - cross drains are vegetated and functioning.  - no erosion or subsidence issues. - intermittent herbicide application conducted to control perennial sow thistle. - annual hawksbeard or strawberry blite were not identified, 2015 issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-30-091-11 w4,forested/noxious weeds (kp 2+400 to 3+100),"• noxious and invasive weeds were observed across the full extent of the right-of-way although predominantly on the pipeline roach. these included perennial sow thistle (5% cover), annual hawksbeard (5% cover) and strawberry blite (1% cover). • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses and shrubs. vegetation cover issue noted in 2015 is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle. - annual hawksbeard, strawberry blite, russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - no erosion or subsidence evident. subsidence and erosion noted in 2015 has not inhibited the recovery of the row and is no longer evident, issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-30-091-11 w4,forested/noxious weeds (kp 3+100 to 3+210),"• noxious and invasive weeds were observed across the full extent of the right-of-way. these included perennial sow thistle (10% cover), annual hawksbeard (20% cover), russian pigweed (2% cover) and lamb’s quarters (1% cover). • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses and shrubs. vegetation cover issue noted in 2015 is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle. - annual hawksbeard, strawberry blite, russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - no erosion or subsidence evident. subsidence and erosion noted in 2015 has not inhibited the recovery of the row and is no longer evident, issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-30-091-11 w4,forested/limited vegetation establishment (kp 3+210 to 3+250),• limited vegetation establishment across the full extent of the right-of-way. • good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016,"june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses and shrubs. vegetation cover issue noted in 2015 is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle. - annual hawksbeard, strawberry blite, russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - no erosion or subsidence evident. subsidence and erosion noted in 2015 has not inhibited the recovery of the row and is no longer evident, issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-30-091-11 w4,forested/subsidence (kp 3+210 to 3+250),"• subsidence approximately on the ditchline of the right-of-way was observed (approximately 30 cm deep). subsidence is not inhibiting the recovery of the right-of-way. repairs are not warranted, at this time, as they would negatively impact the right-of-way recovery, including native vegetation establishment.  • minor erosion noted in same location. • monitor in 2016","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses and shrubs. vegetation cover issue noted in 2015 is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle. - annual hawksbeard, strawberry blite, russian pigweed, and lamb’s quarters were not identified, 2015 issues resolved. - no erosion or subsidence evident. subsidence and erosion noted in 2015 has not inhibited the recovery of the row and is no longer evident, issues resolved. sept 17, 2016 - 65-75% vegetation established compared to off row. - intermittent herbicide application conducted to control perennial sow thistle.",,,
nw-29-091-11 w4,mineral wetland  (kp 3+300) (stnn and sons),• wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. indicators noted on the right-of-way include: • pre-construction contours restored; • appropriate species were beginning to establish; and • absence of excessive ponded water or impeded flow due to the construction right-of-way • monitor in 2016,"june 22, 2016 - wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. indicators noted on the right-of-way include: -·pre-construction contours restored; -·absence of excessive ponded water or impeded flow due to the construction right-of-way",,,
nw-29-091-11 w4,unnamed watercourse (91-wc-02) (kp 3+300),• no terrain instability was observed. • minimal erosion observed on the surrounding slopes.  • good first-year vegetation establishment was observed for this water crossing. • silt fencing will remain in place until re-establishment of vegetation limits the erosion potential into the mineral wetland. • monitor in 2016,"july 13, 2016 – kp 3+300 - watercourse is flowing. no issues. erosion noted in 2015 is no longer evident, issue resolved. - recommend silt fence removal and repairs to marker posts. - no erosion or subsidence issues. sept 17, 2016 – removed and disposed of silt fencing. issue resolved. - repaired marker posts and signs. issue resolved.",,,
nw-29-091-11 w4,forested/noxious weeds (kp 3+300 to 4+100),"• intermittent noxious and invasive weeds were observed across the full extent of the right-of-way. these included dalmatian toadflax (1% cover) and perennial sow thistle (1% cover). • scentless chamomile (1% cover 2 after picking) was observed on the right-of-way from kp 3+300 to 3+420. several individuals of the noxious weed were picked, bagged and properly disposed of (roughly 25 plants). • good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016, implement weed control as required","july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses, shrubs and aquatic vegetation. - intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. - dalmatian toadflax was not identified, 2015 issues resolved. - no erosion or subsidence issues. sept 17, 2016 - 65-75% vegetation established compared to off row. intermittent herbicide application conducted to control perennial sow thistle.",,,
nw-29-091-11 w4,forested/rare plant  (kp 3+600),"• golden saxifrage (s4; chrysosplenium iowense) were not observed on august 12, 2015. the species may have been difficult to find due to thick establishment of vegetation. due to recent changes to the acims classification – golden saxifrage is no longer considered rare. • issue resolved.",,,,
nw-29-091-11 w4,forested/rare plant  (kp 3+700),• between 51 and 100 golden saxifrage (s4; chrysosplenium iowense) individuals observed on right-of-way. due to recent changes to the acims classification – golden saxifrage is no longer considered rare. • issue resolved.,,,,
nw-29-091-11 w4,forested/rare plant  (kp 3+700),• between 21 and 50 alder-leaved buckthorn (s3; rhamnus alnifolia) individuals observed on right-of-way. • issue resolved.,,,,
ne-29-91-11 w4,forested/noxious weeds (kp 4+100 to 4+900),"• intermittent noxious and invasive weeds were observed across the full extent of the right-of-way. these included dalmatian toadflax (1% cover) and perennial sow thistle (1% cover). • good vegetation establishment was noted throughout the remainder of the quarter. • monitor in 2016, implement weed control as required","june 22, 2016 – intermittent weeds observed, recommend implementation of control measures. july 13, 2016 -- vegetation is filling in well with desirable species throughout tract. good establishment of grasses and shrubs.  - intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. - dalmatian toadflax was not identified, 2015 issues resolved. - no erosion or subsidence issues. sept 17, 2016 - 65-75% vegetation established compared to off row. - installed tc sign and marker posts at kp 4+800. - intermittent herbicide application conducted to control perennial sow thistle.",,,
ne-29-91-11 w4,forested/rare plant  (kp 4+200),• golden saxifrage (s4; chrysosplenium iowense) individuals observed on undisturbed area off-right-of-way. habitat on right-of-way suitable for reestablishment. due to recent changes to the acims classification – golden saxifrage is no longer considered rare. • issue resolved.,,,,
