legal location,land use,1st year (2013) issues,2nd year (2014) pcrm assessment and work completed,3rd year (2015) pcrm assessment and work completed,4th year (2016) pcrm assessment and work completed,5th year (2017) pcrm assessment and work completed,VEC,GIS,Topic
sw-2-83-6 w4,mineral wetland / forested,none,"july 11, 2014 - 80-85% vegetation establishment compared to off-row. - rollback present on row at kp 0+025. - minor subsidence located at kp 0+050, monitor. - scentless chamomile present on row at kp 0+025. weed control recommended. july 30, 2014 - hand picked, bagged, and disposed of scentless chamomile located at kp 0+025.","june 7, 2015 - vegetation developing well along row. wetlands stable throughout tract. june 9, 2015 - vegetation on row is 85-90% compared to off-row control. - perennial sow thistle evident within tract from kp 0+000 to kp 0+130. monitor and control, as required. - rollback at beginning of tract from kp 0+025 to kp 0+100 appears to be functioning well. - subsidence noted, within rollback area remains at kp 0+050, appears stable with good vegetation establishing within. continue to monitor. july 22, 2015 - herbicide application conducted to control perennial sow thistle, scentless chamomile, and canada thistle. september 12, 2015 - perennial sow thistle, canada thistle, scentless chamomile were identified during the assessment. herbicide application was conducted to control noxious weeds.","july 11, 2016 - vegetation is well established with desirable species throughout row. - good establishment of grasses, and shrubs - wetland functioning well - no erosion or subsidence issues evident.  subsidence noted at kp 0+050 is no longer evident, issue resolved. - kp 0+010 - scentless chamomile controlled with herbicide application. september 16, 2016 - 90% vegetation established compared to off-row. - patches of perennial sow thistle were observed within access control rollback between kp 0+0250 and kp 0+120. herbicide application conducted to control.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses and shrubs. - straightened marker posts at kp0+120 and 0+160, issue resolved. - no subsidence or erosion issues were observed.  - kp 0+025 to 0+120 - perennial sow thistle observed, recommend weed control. august 12, 2017 – kp 0+025 to 0+120 – intermittent herbicide application conducted to control perennial sow thistle and canada thistle. issue resolved. september 11, 2017 - shrubby swamp on row from kp 0+140 to 0+300 appears to be at full functionality in comparison with off-row conditions. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs. - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting dry substrate with a low organic content in the topsoil layer, comparing with off-row conditions. dry substrate attributed to down sloping terrain to access road at kp 0+120. - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
nw-2-83-6 w4,forested,low vegetation cover/low cover of weeds,"july 11, 2014 - 80-85% vegetation establishment compared to off-row, 2013 low vegetation cover issue is resolved. - scentless chamomile present on row at kp 0+300. weed control recommended. july 30, 2014 - hand picked, bagged, and disposed of scentless chamomile located at kp 0+300. - scentless chamomile present on adjacent lines located with row.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands appear to be stable throughout tract. june 9, 2015 - vegetation establishment 80-90% compared to off-row control. - scentless chamomile and perennial sow thistle evident intermittently within tract from kp 0+150 to kp 0+960. recommend herbicide application. - no subsidence or erosion issues evident within tract. july 22, 2015 - herbicide application conducted to control perennial sow thistle. september 12, 2015 - vegetation well established. native vegetation appeared to be establishing on row.  - soils and slopes stable. no subsidence, erosion, or other integrity concerns were noted.  - perennial sow thistle, canada thistle, scentless chamomile were identified during the assessment.  herbicide application was conducted to control noxious weeds.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses and shrubs.  - perennial sow thistle controlled with herbicide application. - no erosion or subsidence issues. september 16, 2016 - 80-90% vegetation established compared to off-row. - patches of perennial sow thistle were observed along row between kp 0+150 and kp 0+600.  herbicide application conducted to control. - scentless chamomile and canada thistle are no longer evident, issues resolved.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - perennial sow thistle (kp 0+300 to 0+975) and scentless chamomile (kp 0+400 to 0+475) observed, recommend weed control. august 12, 2017 – kp 0+300 to 0+975 – intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  issue resolved.",,,
,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 5, 2014 - good vegetation cover along row. july 11, 2014 - 80-90% vegetation establishment compared to off-row. minor patches of reduced vegetation cover present on row. - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are well vegetated and stable at this time.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands appear to be stable throughout tract. june 9, 2015 - vegetation establishment 90% compared to off-row control, 2013 and 2014 low vegetation cover issues are resolved. - mineral wetland within tract appears to be stable at time of assessment. good wet-tolerant species established such as sphagnum mosses, grasses and mars marigolds. hydrology is maintained in wetland as indicated by saturated, organic soils. - no subsidence or erosion issues evident within tract.  subsidence noted in 2013, including screw anchor locations, no longer evident, issues resolved.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses and shrubs.  - perennial sow thistle controlled with herbicide application. - no erosion or subsidence issues. september 16, 2016 - 80-90% vegetation established compared to off-row. - patches of perennial sow thistle were observed along row between kp 0+150 and kp 0+600.  herbicide application conducted to control. - scentless chamomile and canada thistle are no longer evident, issues resolved.","september 11, 2017 - woody swamp on row from kp 0+430 to 0+710 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids with sporadic emergence of broadleaf shrubs. density of broadleaf shrubs and trees increase on row at kp 0+660 to 0+710, comparing with off-row conditions. - no noxious weeds were identified in wetland.  - trench crown present through wetland. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting semi-dry substrate with a low organic content in the topsoil layer, comparing with off-row conditions. moisture and organic content in substrate increased moving down slope to the north with sphagnum moss establishment. - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
sw 11-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 5, 2014 - various areas of reduced vegetation cover along row. continue to monitor. july 11, 2014 - 80-90% vegetation establishment compared to off-row.  minor patches of reduced vegetation cover present on row - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are well vegetated and stable at this time. - rill erosion next to ditchline located at kp 1+050, monitor.","june 7, 2015 - vegetation developing well along row.  wetlands stable throughout tract. june 9, 2015 - 80-90% vegetation establishment compared to off-row.  minor patches of limited vegetation cover throughout tract, monitor. - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. -  rill erosion next to ditchline located at kp 1+050, well vegetated at this time. continue to monitor. - wetlands within tract are stable and well vegetated at this time. - perennial sow thistle present along row at 1+000. recommend herbicide application. september 12, 2015 - vegetation well established with low shrubs and willows throughout row  - soils stable with good vegetation cover, no integrity concerns were noted.  no additional environmental concerns were identified. - herbicide application was conducted to control noxious weeds.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses, shrubs and aquatic vegetation. all previously noted vegetation issues are resolved. - wetland functioning well - no erosion or subsidence issues. september 16, 2016 - 85% vegetation established compared to off-row. - patches of perennial sow thistle were observed along row at kp 1+600 and kp 1+700. herbicide application conducted to control. - perennial sow thistle no longer evident at kp 1+000, issue resolved. - previously noted issues with subsidence/ponding and erosion at kp 1+050 are no longer evident, issues resolved.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - straightened marker post at kp 1+340 and 1+390, issue resolved. - kp 0+980 to 1+250 - perennial sow thistle observed, recommend weed control. august 12, 2017 – kp 0+980 to 1+250 – intermittent herbicide application conducted to control perennial sow thistle and common tansy.  issue resolved. september 11, 2017 - woody swamp on row from kp 1+080 to 1+360 and 1+430 to 1+500 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, labrador tea and sphagnum moss. hydrophytic vegetation emerging throughout wetland (common cattail). - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting semi-saturated conditions, comparing with off-row.  - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed. - woody/shrubby swamp on row from kp 1+610 to 1+830 appears to be at full functionality. area within wetland along pipeline row exhibiting high peat accumulation extending to the west from kp 1+730 to 1+760. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, labrador tea and sphagnum moss. hydrophytic vegetation emerging throughout wetland (common cattail & arrowhead). - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. humification occurring throughout wetland through large amounts of decomposing vegetation litter. peat accumulation occurring throughout wetland. - substrate exhibiting semi-saturated conditions, comparing with off-row.  - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
nw 11-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 11, 2014 - 80-85% vegetation establishment compared to off-row. minor patches of reduced vegetation cover present on row. - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are well vegetated and stable at this time.","june 7, 2015 - vegetation developing well along row.  wetlands stable throughout tract. june 9, 2015 - 85% vegetation establishment compared to off-row. minor patches of limited vegetation cover throughout tract, monitor. - wetlands within tract are stable and well vegetated at this time. - rill erosion next to ditchline located at kp 2+430, well vegetated at this time. continue to monitor. - perennial sow thistle present along row at kp 2+300 and kp 2+370. recommend herbicide application to mitigate weed growth. september 12, 2015 - vegetation well established with low shrubs and willows throughout row. - minor subsidence noted along ditch line (kp 2+450), continue to monitor.  subsidence at screw anchor and bell locations noted in 2013, is no longer evident issue resolved. - soils stable with good vegetation cover. no integrity concerns were noted and no additional environmental concerns were identified.  - herbicide application conducted to control perennial sow thistle.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses and shrubs. previous vegetation cover issues are no longer evident, issue resolved. - no erosion or subsidence issues.  erosion and subsidence noted in 2105 at kp 2+430 and 2+450 are no longer evident, issues resolved. september 16, 2016 - 85% vegetation established compared to off-row. - patches of perennial sow thistle were observed along row at kp 1+950 and kp 2+250.  herbicide application conducted to control.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - kp 1+890 to 2+040 and kp 2+250 to 2+350 - perennial sow thistle observed, recommend weed control. august 12, 2017 - kp 1+890 to 2+040 and kp 2+250 to 2+350 – intermittent herbicide application conducted to control perennial sow thistle and tansy.  issue resolved. september 11, 2017 – woody swamp on row from kp 1+920 to 1+960 and 2+200 to 2+360 appears to be at full functionality. - vegetation establishment throughout wetland is at 80-100% cover compared to off-row control. vegetation consisting of herbaceous graminoids, tamarack, black spruce, willow, aspen, poplar, labrador tea and sphagnum moss. hydrophytic vegetation emerging throughout wetland (common cattail). - no noxious weeds were identified in wetland.  - trench crown present through wetland but has settled. sufficient breaks present for hydrology to be maintained. no subsidence or erosional issues identified in wetland. - substrate in wetland appears healthy through uniform vegetation growth and good organic content in topsoil layer. humification occurring throughout wetland through large amounts of decomposing vegetation litter. - substrate exhibiting semi-saturated conditions, comparing with off-row.  - wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - wetland has achieved pre-construction contours. off-row species successfully emerging onto row. overall, no net loss of wetland function was observed.",,,
ne 10-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 11, 2014 - 80-85% vegetation establishment compared to off-row.  minor patches of reduced vegetation cover present on row - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are establishing, 50-70% vegetation establishment compared to off-row at this time. - hand-picked, bagged, disposed of a single scentless chamomile plant at kp 3+400.","june 7, 2015 - vegetation be developing well along row.  wetlands stable throughout tract. june 9, 2015 - 85% vegetation establishment compared to off-row. minor patches of limited vegetation cover throughout tract, monitor. - wetlands within tract are establishing, 50-70% vegetation establishment compared to off-row. - minor subsidence at screw anchor locations throughout tract. continue to monitor. - rollback present on row at 2+850 effective at access control at time of assessment. - perennial sow thistle present along row at kp 2+650 and between kp 2+900 and kp 3+500. recommend herbicide application. scentless chamomile noted at kp 3+400 in 2014, is no longer evident, issue resolved. september 12, 2015 - vegetation well established with low shrubs and willows throughout row  - soils stable with good vegetation cover. no integrity concerns were noted and no additional environmental concerns were identified. - intermittent herbicide application was conducted to control perennial sow thistle.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses, shrubs and aquatic vegetation.  - no erosion or subsidence issues.  previously noted subsidence/ponding is no longer evident, issue resolved. - intermittent herbicide application conducted to control perennial sow thistle. september 21, 2016 - 80-90% vegetation established compared to off-row.  reduced vegetation previously noted in wetlands and along row is no longer evident, issue resolved. - patches of perennial sow thistle observed, likely attributed to close proximity to paralleling road. - herbicide application conducted to control perennial sow thistle between kp 2+750 and kp 2+850.","august 2, 2017 - vegetation cover on the row is 80 - 100% compared to off-row control. good establishment of grasses, shrubs, and aquatic vegetation. - no subsidence or erosion issues were observed.  - perennial sow thistle (kp 2+650) and tansy (kp 2+680) observed, recommend weed control. - straightened marker post at kp3+487. issue resolved august 12, 2017 – herbicide application conducted to control perennial sow thistle (kp 2+650) and tansy (kp 2+680). issue resolved.",,,
se 15-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 11, 2014 • 70-80% vegetation establishment compared to off-row. 2013 issue with low vegetation is resolved.","june 7, 2015 - vegetation developing well along row.  - no subsidence or erosion issues evident from aerial assessment.  - wetlands appear to be stable throughout tract. june 9, 2015 - 80% vegetation establishment compared to off-row. september 12, 2015 - vegetation well established with low shrubs and willows throughout row. - soils stable with good vegetation cover. no subsidence or other integrity concerns were noted and no additional environmental concerns were identified. subsidence at screw anchor and bell locations noted in 2013, is no longer evident issue resolved.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses, shrubs and aquatic vegetation.  - no erosion or subsidence issues. - intermittent herbicide application conducted to control perennial sow thistle throughout the tract. september 21, 2016 - 70-80% vegetation established compared to off-row. - intermittent herbicide application conducted to control patches of perennial sow thistle.","august 2, 2017 - vegetation cover on the row is 80- 100% compared to the off-row control. native grasses clover, vetch and willows establishing. cattails, bull rushes, reed grass, and cotton grass present in low areas.  - adjacent foreign row is covered in a high density of perennial sow thistle. - kp 3+500 to 3+575 - perennial sow thistle and scentless chamomile (kp 3+500) observed, recommend weed control. august 12, 2017 - kp 3+500 to 3+575 – intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile. issue resolved.",,,
sw 15-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 5, 2014 - patches of reduced vegetation cover along row. continue to monitor. july 11, 2014 - 40-50% vegetation establishment compared to off-row. - minor subsidence on ditchline located at screw anchor sites throughout tract. continue to monitor. - wetlands within tract are establishing, 60-70% vegetation establishment compared to off-row at this time.","june 7, 2015 - vegetation developing well along row.  wetlands stable throughout tract. june 9, 2015 - 50% vegetation establishment compared to off-row, tract dominated by peat moss soil.  minor patches of limited vegetation cover throughout tract, monitor  - conifer regeneration present along row, 10-15 saplings observed. - wetlands within tract are establishing, 60-70% vegetation establishment compared to off-row. - minor subsidence at screw anchor locations throughout tract. continue to monitor. july 23, 2015 - herbicide application conducted to control perennial sow thistle. september 12, 2015 - vegetation well established with low shrubs and willows throughout row  - soils stable with good vegetation cover, no integrity concerns were noted.  no additional environmental concerns were identified  - foreign company line has stockpiled soils directly to the west of roach along this quarter section, these stockpiled soils contain large concentrations of perennial sow thistle which may negatively affect transcanada’s row, continue to monitor. - intermittent herbicide application was completed to control perennial sow thistle.","july 11, 2016- vegetation is well established with desirable species throughout row. good establishment of grasses, shrubs and aquatic vegetation. all previous vegetation issues are resolved. - no erosion or subsidence issues. previously noted subsidence resolved. - intermittent herbicide application conducted to control perennial sow thistle throughout the tract and tansy at kp 3+700. multiple paralleling foreign lines have large numbers of perennial sow thistle which continues to infest the transcanada line. september 21, 2016 – intermittent patches of perennial sow thistle observed throughout tract, primarily on ditchline. herbicide application conducted to control.","august 2, 2017 - vegetation cover on the row is 80- 100% compared to the off-row control. native grasses clover, vetch and willows establishing. cattails, bull rushes, reed grass, and cotton grass present in low areas.  - planted trees observed within tract are growing and have a low mortality rate. - rollback is present well vegetated and providing access control. paralleling lines are allowing for access around our rollback.  - no erosion or subsidence present.  - adjacent foreign row is covered in a high density of perennial sow thistle. - kp 3+575 – 4+100 - perennial sow thistle and common tansy (kp 4+100) observed, recommend weed control. august 12, 2017 - kp 3+575 – 4+100 – intermittent herbicide application conducted to control perennial sow thistle and tansy.  issue resolved.",,,
nw 15-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 11, 2014 - vegetation cover is 70-80% of off-row. kp 5+000 - 5+150 30-40% vegetation cover, continue to monitor vegetation • wetlands throughout vegetation cover 50-60% of off-row, continue to monitor vegetation • minor water ponding within screw anchor holes","june 7, 2015 - vegetation developing well along row. wetlands stable throughout tract. june 9, 2015 - 80% vegetation establishment compared to off-row. minor patches of limited vegetation cover throughout tract, monitor. - minor subsidence at screw anchor locations throughout tract. continue to monitor. - perennial sow thistle present along row at kp 4+775. recommend herbicide application. july 23, 2015 - herbicide application conducted to control perennial sow thistle. september 12, 2015 - grasses and small forbs were observed throughout the row. - soils stable with good vegetation cover, no integrity concerns were noted. no additional environmental concerns were identified.","july 11, 2016 - vegetation comprised of desirable species throughout row.  good establishment of grasses, shrubs and aquatic vegetation   - kp 5+000 – herbicide application conducted to control common tansey. - no erosion or subsidence issues.  previously noted subsidence at bell holes and screw piles are no longer evident, issues resolved. september 21, 2016 - 70-80% vegetation established compared to off-row. previous vegetation density issues resolved. - intermittent herbicide application conducted to control perennial sow thistle, primarily on ditchline.","august 2, 2017 - vegetation cover on the row is 80- 100% compared to the off-row control. native grasses clover, vetch and willows establishing. cattails, bull rushes, reed grass, and cotton grass present in low areas.  - planted trees observed within tract are growing and have a low mortality rate. - no erosion or subsidence present.  - adjacent foreign row is covered in a high density of perennial sow thistle  - kp 4+400 and 4+800 to 5+200 - perennial sow thistle and common tansy (kp 5+100) observed, recommend weed control. august 12, 2017 - kp 4+400 and 4+800 to 5+200 – intermittent herbicide application conducted to control perennial sow thistle and tansy. issue resolved.",,,
sw 22-83-6 w4,mineral wetland / treed wetland / forested,minor ponding at screw anchor sites/minor subsidence at bell-hole sites/low vegetation cover,"july 5, 2014 - good vegetation emergence within wetland area. minor patches of reduced vegetation cover present on row. july 11, 2014 -  vegetation cover 40-60% of off-row, continue to monitor - wetlands throughout tract vegetation cover 60-80% of off-row - minor water ponding within screw anchor holes","june 7, 2015 - vegetation developing well along row. wetlands stable throughout tract. june 9, 2015 - 60% vegetation establishment compared to off-row.  minor patches of limited vegetation cover throughout tract, monitor. - wetlands within tract are establishing, 60-80% vegetation establishment compared to off-row. - minor subsidence at screw anchor locations throughout tract. continue to monitor. july 23, 2015 - herbicide application conducted to control perennial sow thistle. september 12, 2015 - grasses and small forbs were observed throughout the row.  - soils stable with good vegetation cover, no integrity concerns were noted.  no additional environmental concerns were identified.","july 11, 2016 - vegetation is well established with desirable species throughout row. good establishment of grasses, shrubs and aquatic vegetation   - intermittent herbicide application conducted to control perennial sow thistle throughout the tract. paralleling foreign line has large numbers of perennial sow thistle which continues to infest the transcanada line. - wetland functioning well - no erosion or subsidence issues.  previously noted bell hole and screw anchor subsidence issues resolved. september 21, 2016 - 70-80% vegetation established compared to off-row. previously noted vegetation issues resolved. - patches of perennial sow thistle were observed along row at kp 5+400, kp 5+800 and kp 5+950.  herbicide application conducted to control.","august 2, 2017 - vegetation cover on the row is 80- 100% compared to the off-row control. native grasses clover, vetch and willows establishing. cattails, bull rushes, reed grass, and cotton grass present in low areas.  - no erosion or subsidence present.  - adjacent foreign row is covered in a high density of perennial sow thistle  - kp 5+400 to 5+830 - perennial sow thistle observed, recommend weed control. august 12, 2017 - kp 5+400 to 5+830 – intermittent herbicide application conducted to control perennial sow thistle. issue resolved.",,,
