specific location,outstanding issue / incident,proposed restoration,proposed schedule,VEC,GIS,Topic
hwy 40 crossing,no issues noted.,no remedial action is required.,,,,
hwy 40 to hills st. (pembina line,"approximately 100m north of polymoore rd, noted that there was a depression on the easement. the re-seeded vegetation has been flooded out and died. this area requires grading, and/or addition of topsoil to fill in the depression and then re-seeded with a standard ministry of transportation (mto) seed mixture.","place 40 yrds topsoil, grade and seed.  will monitor and water as required.",estimated completion in october 2014,,,
,"approximately 50m west of the hwy 40 fence, water was noticed bubbling out of the ground at a high spot in the topography. bill taylor (nova chemicals) contacted other personnel at nova chemicals and this water issue was going to be investigated immediately. once this issue is resolved, the soil should be levelled and re-seeded with a standard mto seed mixture.",the source of the leak is the river water makeup line going to the nova corunna site. repairs to stop this leak will require a plant outage to repair (scheduled for q2 2017).  – no further action at this time.,q2 2017,,,
,"the remainder of this area, including the hill st. bore pipe laydown area, was graded properly and the seeded vegetation had germinated and is growing well.",no remedial action is required.,n/a,,,
hwy 40 to of n/s portion of polymoore rd,land is graded properly and the seeded vegetation had germinated and was growing well.,no remedial action is required.,n/a,,,
n/s portion of polymoore rd to rr line,land is graded properly and the seeded vegetation had germinated and was growing well.,no remedial action is required.,n/a,,,
rr line to hydro one lane,"immediately west of the gravel lane, vehicle traffic has left the lane and rutted the edge of the small portion of land between the lane and the rr line. this strip of land requires grading and/or addition of topsoil and re-seeding with a standard mto seed mixture.",place 100yrd of topsoil and dump at a location appropriate for tenant farmer.,farmer will distribute and grade at his discretion once the beans have been removed.,,,
hydro one lane to hill st.,the soil immediately west of the fibre optic connector box has depression and needs to be leveled and/or addition of topsoil to fill in the depression.,see rr line to hydro one lane. tenant farmer will address using a portion of the 100yrd topsoil.,farmer will distribute and grade at his discretion once the beans have been removed.,,,
,"the cultivated portion of this area, both the east/west and north/south portions are well graded and the planted agricultural crop has germinated and appears to be growing well.",no remedial action is required.,n/a,,,
hill st. to csx spur line,the cultivated portion of this area is well graded and the planted agricultural crop has germinated and appears to be growing well.,no remedial action is required.,n/a,,,
,an area of standing water was observed in the middle of the field west of the pipeline construction area.,pre-construction photographs and discussions with the tenant former indicate that the condition is not related to the construction of the pipeline. no further remedial action is required.,,,,
csx spur line to marsh creek,land is graded properly and the seeded vegetation had germinated and was growing well.,no remedial action is required.,n/a,,,
marsh creek,"banks are suitable, no erosion noted.",no remedial action is required.,n/a,,,
marsh creek to un-named drain in st clair river site,land is graded properly and the seeded vegetation had germinated and was growing well.,no remedial action is required.,n/a,,,
un-named drain in st clair river site,"banks are suitable, no erosion noted.",no remedial action is required.,n/a,,,
un-named drain in st clair river site to west end of “a” st.,land in the st. clair river sub-station site was vegetated before construction. this area should be re-seeded with a standard mto seed mixture.,this area has been re-graded and stone was also laid in that area.,complete,,,
,land north of “a” st. is graded properly and the seeded vegetation had germinated and was growing well.,no remedial action is required.,n/a,,,
west end of “a” st. to csx spur at shell,most of this land is graded properly but some soil ruts were observed. nova chemicals should decide whether they will re-grade and re-seed with a standard mto seed mixture.,"use of the csx access road is for ""others"".  damaged caused by others, remedial action is not required.",n/a,,,
csx spur at shell to lasalle rd station,land is graded properly and the seeded vegetation had germinated and was growing well. it was noted that an integrity dig was occurring north of the csx spur line at the time of line tour.,no remedial action is required.,n/a,,,
lasalle rd station to talfourd creek,"land is graded properly and the seeded vegetation had germinated and was growing well. no remedial action is required. it was noted that portions of the line along the fencing west of shell’s western gate had soil ruts. this was due to shell security doing perimeter tours with quads as observed by lamsar personnel. since the soil damage was caused by shell, remedial action is not required.",no remedial action is required.,n/a,,,
talfourd creek,"banks are suitable, no erosion noted.",no remedial action is required.,n/a,,,
talfourd creek to st. clair pkwy,"there is a depression in the soil at the hdd exit pit. addition of topsoil, levelling and reseeding with a standard mto seed mix is required.  the land between the enbridge valve and the union gas valve requires re-grading and reseeding.  it appears that vehicle traffic has rutted the soil west of the nova chemicals river crossing valve. this area between the two gravel lanes should be levelled and re-seeded. it is suggested that an orange safety fence be installed to exclude vehicle traffic until the seed has germinated and established.","place 25yrds of topsoil, grade and hydro-seed all three areas.",estimated completion in october 2014,,,
