Environmental Issue / Concern,Location,Status 2010,Status 2011,Status 2012,Status 2013,Status 2014,Status 2015,Status 2016,Status 2017,VEC,GIS,Topic
Revegetation,SBindloss  20+000 to 20+420 SW-21-21-1-W41SE-20-21-1-W4 ite #7 on Figure 2,,,,,,,"• Land occupant (grazing lease holder) contacted Keystone with concern related to the amount of Prairie Sandreed grass growing and not being as palatable for grazing when his cattle are utilizing the area. Keystone rep met with the occupant and Special Areas Board rep in August 2016 to review concerns, discuss options and agree on a plan forward.   • To encourage competition for other native grasses, Keystone mowed the Prairie Sandreed grass in late-August, and overseeded/ harrowed areas having lower vegetation cover around the valve site with Awned Wheatgrass in October 2016.  • Monitor in 2017",• Results of the 2017 assessment indicated that the Awned Wheatgrass seeded in 2016 was not successful. The assessment also noted that there was no observable increase in Prairie Sandreed grass. This location and related information will be transferred to Keystone Regional Operations for continued engagement with the Occupant and Special Areas Board members and to create a path forward if there are continued concerns regarding the site.  •  Issue resolved.,,,
(Erosion  topsoil pile),SBlock valve South Saskatchewan River-east side (BNDLO kp 22+011) SE-21-21-1-W4 ite #36 on Figure 2,,,,,,"• The topsoil pile was re-contoured, and was stabilized with Biotic Earth™.  Exclusion fencing installed to allow vegetation to establish. • Monitor in 2016.",• Mowing/ weed whacking conducted to address nuisance weeds.  Desirable vegetation establishing very well. • Monitor in 2017,"• Assessed site in July.  Picked and bagged Russian thistle, narrow-leaved hawksbeard and downy brome.  • The topsoil pile was raked and approved seed mix (50% Slender wheatgrass, 30% western wheatgrass and 20% Fultus alkali grass) was broadcasted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Erosion Weeds,S(OYENP KP 60+697 to 60+000) SW-23-22-4-W4 ite #41 on Figure 2,,,,,,• Stabilized area,• No weed issues. • Desirable vegetation is improving but remains sparse. • Monitor in 2017,• Site was raked to provide for good seed to soil contact. The area then had an approved seed (Fults alkalis grass) broadcast and raked in. The seed was then top-dressed with Biotic Earth and covered with a biodegradable erosion blanket.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring.  • Issue resolved,,,
Erosion Revegetation,S(MNTOR KP 42+134) NW-8-30-4-W42ite #42 on Figure 2,,,,,,• Stabilized area,• No weed issues. • Desirable vegetation is improving but remains sparse. • Monitor in 2017,"• Site assessed in June.  Area is stable with good vegetation growth.  Minor weed presence (annuals, Canada thistle).  • Site assessed in July.  Canada thistle spot sprayed. • Site assessed in September.  Flixweed, stink weed and Canada thistle were present in a limited area. Manual weed control was conducted. • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
Erosion,Monitor Creek (LKSND KP 52+792)  NW-34-34-5-W4 Site #47 on Figure 2,,,,,,• Stabilized minor erosion on bank. • Monitor in 2016,• Erosion control devices remain in place and functioning.  • Desirable vegetation establishing very well. • Monitor in 2017,• Stabilized area is well vegetated with native riparian grasses.  • Issue resolved,,,
Subsidence (Site contours),Dig 48-53 SE-7-19-18-W3,,•  Subsidence on dig site observed during Fall assessment.,"•  Dig site was stripped, re-graded and reclaimed in Fall of 2012 •  No further issues","•  Digs 48 – 49.1 - No issues, No work required •  Digs 50 – 52 – Top soil not uniform – repaired by disking / dragging •  Dig 53 - No issues, No work required","•  No issues, No work required","•  Subsidence on dig 52 observed during spring assessment. •  No issues no work required on digs 50 – 51. •  Dig 52 was stripped, re-graded and reclaimed in Fall of 2015",• 2016 monitoring revealed no issues and no work required on Dig 52. •  PCEM was considered to be complete on Digs 48-51 and Dig 53 in 2015.  •  Monitor Dig 52 in 2017,Dig 52  •  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to peas. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil color similar on and off RoW. •  No issues or work required. • Issue resolved.,,,
Subsidence  (Site contours),Dig 256 SE-1-18-1-W3,,,,,"•  Dig site to be stripped, re-graded and reclaimed in 2015","•  Dig site was stripped, re-graded and reclaimed in Fall of 2015 •  No further issues",• 2016 monitoring revealed no issues and no work required  •  Monitor in 2017,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed.  • Landowner has area seeded to lentils. Crop is consistent in color and height on and off the work area. Yellowing color on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  Soil colour similar on and off RoW. •  No issues or work required. • Issue resolved.,,,
Subsidence  (Site contours),Dig 260 SE-1-18-30-W2,,,,,"•  Dig site to be stripped, re-graded and reclaimed in 2015","•  Dig site was stripped, re-graded and reclaimed in Fall of 2015 •  No further issues",• 2016 monitoring revealed no issues and no work required •  Monitor in 2017,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to canola. Crop is consistent in color and height on and off the RoW. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,,,
Subsidence  (Site contours),Digs 481 - 482 NE-22-17-24-W2,,,,•  Subsidence on dig site observed during spring assessment •  No crop productivity issues observed •  Subsidence was not repaired due to crossing agreement issue,"•  Dig sites to be stripped, re-graded and reclaimed in 2015","•  Dig sites was stripped, re-graded and reclaimed in Fall of 2015 •  No further issues",• 2016 monitoring revealed no issues and no work required  •  Monitor in 2017,•  Soil contours blend in from disturbed and undisturbed areas.  No further subsidence was observed. • Landowner has area seeded to barley. Crop is consistent in color and height on and off the RoW. Crop is starting to turn in various locations across the field. •  Minimal weeds observed. Any weeds that were visible exist on and off RoW. Landowner will manage weeds during normal farming practices. •  No issues or work required. • Issue resolved.,,,
Weeds,SW-7-39-8-W4,,,•  Canada thistle (1%) and perennial sow thistle (1%) require control.,•  Weed control conducted.,"•  Kentucky bluegrass increased from 2% to 13%, quack grass increased from < 1% to 4%, brome species constant at 1 to 2%, monitor site as it is trending to modified. •  Canada thistle (< 1%) requires control.",•  Weed control not conducted as weed concentrations were equivalent to off- RoW.,"•  Multiple patches of Canada thistle identified •  Monitor and treat weeds in 2017, as required","•  Assessed site in June.  Weeds observed comparable on/offsite •  Assessed site in September.  Canada thistle and perennial sow thistle were spot sprayed.  • The location will be passed to Keystone Regional Operations for inclusion in operational monitoring and further weed control, if required.  • Issue resolved",,,
