Biophysical Element,Alignment Sheet No.,Legal Land Description (W6M) and Kilometre Post (KP),Land Use,Outstanding Issue,Potential Adverse Environmental Effect,Proposed Action and Schedule,VEC,GIS,Topic
Instability in Fill Materials,5,"SE 06-74-09, KP 1.3",Tame Pasture,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Instability in Fill Materials,5,"NW 06-74-09,  KP 2.7 to KP 3.0",Cultivated,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Instability in Fill Materials,2,"NE 07-74-10,  KP 13.8 to KP 14.6",Hay,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Instability in Fill Materials,1,"NW 07-74-10,  KP 14.6 to KP 15.4",Tame Pasture,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Instability in Fill Materials,1,"NE 12-74-11,  KP 15.5",Hay,Minor subsidence •,Altered natural drainage,"Soil tilled, filled with topsoil and seeded in 2011. Monitor in 2012.",1. Physical Environment,,
Instability in Fill Materials,1,"NE 12-74-11, KP 15.6 to KP 15.7",Tame Pasture,Moderate subsidence •,Altered natural drainage,"Soil tilled, filled with topsoil and seeded in 2011. Monitor in 2012.",1. Physical Environment,,
Instability in Fill Materials,1,"NE 11-74-11,  KP 17.0 to KP 17.8",Cultivated,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Instability in Fill Materials,1,"SE 10-74-11,  KP 18.9 to KP 19.0",Cultivated,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Erosion,--,--,--,--,--,No environmental issues identified during 2011 PCMP.,1. Physical Environment,,
Lowering of Soil Productivity through Topsoil/Subsoil Admixing,--,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,5,"SW 06-74-09,  KP 2.3 to KP 2.5",Cultivated,Minor compaction •,Reduced plant vigour and crop growth,"Monitor in 2012 and if warranted, alleviate compaction.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,4,"NE 1-74-10,  KP 3.1 to KP 4.0",Hay,Minor compaction •,Reduced plant vigour and crop growth,"Monitor in 2012 and, if warranted, alleviate compaction.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,4,"NW 1-74-10,  KP 4.1 to KP 4.6",Cultivated,Minor compaction •,Reduced plant vigour and crop growth,"Monitor in 2012 and, if warranted, alleviate compaction.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,3,"SW 14-74-10, KP 7.5",Cultivated,Minor compaction •,Reduced plant vigour and crop growth,"Monitor in 2012 and, if warranted, alleviate compaction.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,3,"SE 15-74-10, KP 8.6",Cultivated,Minor compaction •,Reduced plant vigour and crop growth,"Monitor in 2012 and, if warranted, alleviate compaction.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting (cont’d),1,"NE 12-74-11, KP 15.9",Hay,Severe rutting by tractor • use,Reduced vegetation growth,"Soil tilled, smoothed and seeded in fall 2011. Monitor in 2012.",2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting (cont’d),1,"NW 12-74-11, KP 16.4",Hay,Moderate compaction •,Reduced plant vigour and crop growth,Landowner has deep cultivated the soil; compaction potentially alleviated. Monitor in 2012.,2. Soil and Soil Productivity,,
Loss of Topsoil through Wind Erosion,--,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Trench Subsidence,5,"SE 06-74-09, KP 1.3",Tame Pasture,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",2. Soil and Soil Productivity,,
Trench Subsidence,5,"NW 06-74-09,  KP 2.7 to KP 3.0",Cultivated,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",2. Soil and Soil Productivity,,
Trench Subsidence,2,"NE 07-74-10,  KP 13.8 to KP 14.6",Hay,Minor subsidence •,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",2. Soil and Soil Productivity,,
