Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
SE 5-53-23,0,0,0,Facility site,N/A,--,--,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the Edmonton North Terminal.,U,Enbridge Operations to monitor in 2017. Edmonton Terminal. Enbridge Owned Land.,Assess in 2017.,"During the 2016 PCEM, access to the Edmonton Terminal (North) and adjacent lands was restricted due to active construction of other projects in the area. Additional PCEM at the North Terminal was not deemed warranted, as the entire facility is gravelled.",--,R,None.,--,--,--,--,,,
NW 32-52-23,--,0,0.052,Facility site,0.000 to 0.052,--,--,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the ROW.,U,Enbridge Operations to monitor in 2017. SET. Enbridge-owned Land.,Assess in 2017.,Additional PCEM of South Terminal is not deemed warranted as the entire facility is developed.,--,R,None.,--,--,--,--,,,
NE 32-52-23,0006,0.052,0.752,Cultivated,0.052 to 0.752,--,--,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the ROW.,U,"August 24, 2016: land agent spoke with via telephone with the land occupant. Occupant indicated they had no issues or concerns. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Assess in 2017.,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the ROW.,--,U,Assess lands adjacent to the south terminal in 2018.,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,U,Monitor in 2019.,,,
SE 32-52-23,0007 0008,0.752,1.335,Facility site/ cultivated,0.752 to 1.335,--,--,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the ROW.,U,"August 24, 2016: land agent spoke with via telephone with the land occupant. Occupant indicated they had no issues or concerns.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Assess in 2017.,Area was not assessed. Field crews were not able to safely access ROW due to construction adjacent to the ROW.,--,U,Assess lands adjacent to the south terminal in 2018,--,Crop growth parameters appeared equal on and off ROW. Access was limited due to adjacent construction and industrial operations.  Soil and landscape parameters were not assessed.,U,Monitor in 2019.,,,
SW 33-52-23,009,1.335,2.066,Cultivated,1.760 to 1.810,344948 E 5933706 N to 344946 E 5933656 N,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 28-52-23,0010 0011 0012 0012.1,2.066,2.892,Cultivated,2.570 to 2.680,--,Landscape – contouring*,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.   Monitor crop,growth in 2017.,Low area of ponded water was not observed on the ROW. Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 28-52-23,0013 0014 0015,2.892,3.742,Disturbed,2.892 to 3.742,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 28-52-23,0013 0014 0015,3.100,--,Watercourse - Goldbar Creek,3.100,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weed,"growth and vegetation establishment in 2017, to ensure that desirable vegetation is establishing on the banks of the watercourse crossing.",Vegetation has established well along the banks where riprap is not present.,--,R,None.,--,--,--,--,,,
SW 28-52-23,0013 0014 0015,3.240,--,Watercourse -  unnamed drainage,3.110,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor weed,"growth and vegetation establishment in 2017, to ensure that desirable vegetation is establishing on the banks of the watercourse crossing.",Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 21-52-23,0016 0017 0018 0019.1 0023.1 0023.2 0023.3 0024,3.742,4.549,Tame pasture,3.742 to 4.170,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,"Refer to Year 1 PCEM Report.  Monitor in 2017,",to determine if further weed control is required.,Vegetation parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 21-52-23,0016 0017 0018 0019.1 0023.1 0023.2 0023.3 0024,3.742,4.549,Cultivated,4.400 to 4.550,345063 E 5931107 N to 345059 E 5930957 N,Vegetation – crop growth,Canola crop was shorter and less dense on ROW from KP 4.40 to 4.55. No soil issues observed.,U,"December 6, 2016: land agent received a call from the occupant requesting compensation for the lack of canola growing on the ROW.  December 8, 2016: land agent met with the occupant and compensated him for his crop loss. Occupant indicated they had no additional issues or concerns with the ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor vegetation growth with the occupant in 2017.",Monitor crop growth in 2017.,There did not appear to be any crop seeded on the ROW. The ROW has been overtaken by weeds.  Land use changed from cultivated to tame pasture. Disturbance from adjacent construction.,--,U,"Control weeds, seed, and monitor in 2018.",--,Crop parameters were equal on and off ROW.,R,None.,,,
NW 21-52-23 (cont’d),See above,See above,See above,See above,4.400 to 4.550,--,Vegetation – weeds,--,--,--,--,"High densities of scentless chamomile, white cockle, Canada thistle, and perennial sow thistle were observed on the ROW.",--,U,"Control weeds, seed, and monitor in 2018.",--,"The ROW is adjacent to other utilities. Weeds were observed to be encroaching from areas off ROW. Scentless chamomile, white cockle, and Canada Thistle were observed on and off ROW.",R,None.,,,
SW 21-52-23,0026.1 0026.2 0026.3 0026.4,4.549,5.387,Cultivated,"4.920, 5.340","345046 E 5930587 N, 344894 E 5930204 N",Vegetation – weeds,Increased scentless chamomile observed on wetland areas compacted to off ROW.,U,"December 6, 2016: land agent received a call from the occupant requesting compensation for the lack of canola growing on the ROW.  December 8, 2016: land agent met with the occupant and compensated him for his crop loss. Occupant indicated they had no additional issues or concerns with the ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor and control weeds with the occupant in 2017.",Control weeds and monitor in 2017.,There did not appear to be any crop seeded on the ROW. The ROW has been overtaken by weeds. Land use changed from cultivated to tame pasture. Disturbance from adjacent construction.,--,U,"Control weeds, seed. and monitor in 2018.",--,Density and distribution of weed species were equal on and off the ROW. Higher densities of scentless chamomile and white cockle were observed off ROW.,R,None.,,,
