Land Description (W4M),Kilometer Post  (KP),Pipeline<s>(a)</s>,Land use,Issue,Notes,Recommendation(s),VEC,GIS,Topic
NW-34-81-6 to NW-3-82-6,0.0 to 1.6,KRNLL,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites,"Some minor ponding (Photo 1). Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland and forested areas had moderate to high vegetation cover.",Monitor in 2014.,,,
SW-3-882-6,KP .45,KRNLL,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-01). No issues observed.,None,,,
NW-3-82-6,KP 1.6,KRNLL,Treed Wetland / Watercourse,Water channelling,"Was repaired during final clean-up by creating more openings in the roach in the winter of 2013.  Water was running down the trenchline; if not downcutting, no need to repair. (Appendix B, Photo 12)",Monitor in 2014,,,
NW-3-82-6,KP 1.65,KRNLL,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-02). No issues observed.,None,,,
NW-3-82-6 to SW-10-82-6,KP 1.6 to 2.6,KRNLL,Treed Wetland / Forested,Minor ponding at screw anchor sites,"Some minor ponding (Photos 1, 2 and 3). Wetland and forested areas had moderate to high vegetation cover. Some minor ponding.",None,,,
SW-10-82-6,KP 2.6,KRNLL,Treed Wetland,Minor subsidence at the crossing site,"Was repaired in the winter of 2013. (Appendix B, Photo 2).  Some minor subsidence remains.",Monitor in 2014,,,
SW-10-82-6 to SE-34-82-6,KP 2.6 to 8.8,KRNLL,Mineral Wetland / Treed Wetland / Forested,Minor ponding at screw anchor and bell-hole sites Low vegetation cover on graded areas,"Some minor ponding at screw anchor sites. Gaps in trench cap are functioning well, no other ponding or other water related issues noted.  Wetland areas had moderate to high vegetation cover. Graded and conifer areas had low to moderate vegetation cover. There was moderate to high vegetation cover at mixed-wood and deciduous minimal disturbance construction sites. High vegetation cover at TWS areas.",None,,,
NW-15-82-6,KP 4.9,KRNLL,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-05). No issues observed.,None,,,
NW-22-82-6,KP 6.9,KRNLL,Watercourse,None,There are no defined bed and banks for this watercourse (06-WC-06). No issues observed.,None,,,
NW-27-82-6,KP 8.0,KRNLL,Watercourse,Low vegetation cover,"Beavers had altered natural flow patterns of the watercourse (06-WC-07), causing sediment deposit on the banks north and south of the watercourse and inhibiting bank revegetation.  No action is recommended at this time.  (Appendix B, Photos 7 and 8)",Monitor in 2014,,,
