KP Range,Land Use,Issue(s),Note(s),Status,Third Year PCEM Recommendations,VEC,GIS,Topic
0.0 – 1.0,Forested,Vegetation – Weeds,Moderate density of sweet clover observed from KP 0.00 to KP 1.00,Unresolved,Control  weeds  and  monitor  in 2016.,,,
0.0 – 1.0,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 0.00 to KP 1.00,Unresolved,Monitor in 2016 to ensure trench  crown is  not  affecting drainage through the ROW.,,,
0.0 – 1.0,Forested,Vegetation – Establishment/Soil – Admixing,Low  vegetation  establishment  at  KP  0.10 likely  due  to  soil admixing,Unresolved,"Monitor vegetation establishment  in  2016,  seed  as necessary.",,,
0.0 – 1.0,Forested,Vegetation –  Establishment/ Physical Environment - Contouring,Low vegetation establishment from KP 0.85 to KP 1.00,Unresolved,"Monitor vegetation establishment  in  2016,  seed  as necessary.",,,
0.0 – 1.0,Forested,Physical Environment – Rutting,Rutting observed on south side of access road from KP 0.85 to KP 1.00,Unresolved,"Repair rutting, reseed and monitor in 2016.",,,
1.00 – 2.00,Forested,Vegetation – Weeds,"High density of sweet clover observed from KP 1.00 to KP 1.40, and moderate density observed from KP 1.40 to KP 2.00",Unresolved,Control  weeds  and  monitor  in 2016.,,,
1.00 – 2.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 1.00 to KP 2.00,Unresolved,Monitor in 2016 to ensure trench  crown is  not  affecting drainage through ROW.,,,
1.00 – 2.00,Forested,Vegetation – Establishment,"LLow  to  no  vegetation  establishment  on  west  side  of  trench crown from KP 1.00 to KP 1.15, no evidence of topsoil ow vegetation establishment from KP 1.54 to KP 1.58",Unresolved,Ensure topsoil is redistributed and monitor vegetation establishment in 2016.,,,
1.00 – 2.00,Wetland,Vegetation – Establishment,No issues  observed  with  vegetation  establishment  around wetland  between  KP  1.40 to  KP  1.46  during  2014  ground reconnaissance,Resolved,--,,,
2.00 – 3.00,Forested,Physical Environment – Trench Crown,Trench crown observed from KP 2.00 to KP 3.00,Unresolved,Monitor in 2016 to ensure trench  crown is  not  affecting drainage through ROW.,,,
2.00 – 3.00,Forested,Vegetation – Weeds,Moderate density of sweet clover observed from KP 2.00 to KP 2.05  and  moderate  to  high  density  observed  from  KP  2.67  to KP 3.00,Unresolved,Control  weeds  and  monitor  in 2016.,,,
2.00 – 3.00,Forested,Vegetation – Establishment/Soil – Admixing,MLow  vegetation  establishment  from  KP  2.63  to  KP  2.67  and  at KP 2.77 likely due to soil admixing and saturated soils oderate vegetation establishment at KP 2.15,Unresolved,"Monitor vegetation establishment  in  2016,  seed  as necessary.",,,
2.00 – 3.00,Forested,Physical Environment – Subsidence,No subsidence  observed  at  KP  2.31  during  2014  ground reconnaissance,Resolved,--,,,
2.00 – 3.00,Forested,Physical Environment – Erosion,Erosion observed along west side of trench line from KP 2.35 to KP 2.40,Unresolved,Monitor  erosion in  2016  and repair if unstable.,,,
