Legal Land Description,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work <s>Completed</s>,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 31-56-21 W5,Weeds,"June 4, 2014 – 80% Vegetation cover compared to off ROW control.  – No weeds at time of assessment. – Minor ruts from heavy equipment not affecting land use, issue resolved. – No subsidence or erosion issues in this ¼. August 12, 2014 - KP 0+000 - a large patch of perennial sow thistle was identified at valve site  - ox-eyed daisy and perennial sow thistle identified throughout ¼.   - Weed whacked perennial sow thistle at meter site north of lease road  - recommend herbicide application to control noxious weeds. September 15, 2014 - Herbicide application conducted to control noxious weeds.","June 25, 2015 - Vegetation establishment appears to be approximately 80% comparable to off ROW control. - Previous herbicide application appears effective as no noxious weeds were found along ROW with the exception of in the fenced facility at KP 0+000. July 29, 2015 Ox-eye daisy, Canada thistle, and perennial sow thistle located and spot sprayed.  Aug 14, 2015 - Previous herbicide application appears successful as densities of weeds were reduced. Patches of unaffected Ox-eyed daisies and Perennial sow thistle were observed. Fall herbicide spot spray application is recommended. Sept. 16, 2015- Spot spraying was conducted along intermittent sections within ROW to control perennial sow thistle and ox-eye daisy.","June 7, 2016 - Good vegetation established and compared to adjacent off ROW. - Berms and drains are functioning effectively and show no signs of erosion.  - Ox-eyed daisy and tall buttercup noted throughout tract, including meter station at KP 0+000. July 6, 2016 – Intermittent herbicide application conducted to control Ox-eyed daisy and perennial sow thistle. Tall buttercup was no longer evident.","June 15, 2017 - 80-100% vegetation establishment, meeting adjacent land use capability. - Perennial sow thistle was identified south of the valve site near the road crossing. - KP 0+000 to 0+090 – ox eye daisy and tall buttercup identified, recommend herbicide application. June 26, 2017 – Intermittent herbicide application conducted to control Ox-Eye Daisy, Tall Buttercup, and perennial sow thistle. Sept 1, 2017 - No Noxious weeds identified, issue resolved.",,,
NE 31-56-21 W5,Weeds,"June 4, 2014 – No issues with subsidence - Removed silt fence material north of the Athabasca River at KP 0+720 - ox-eyed daisy and perennial sow thistle identified throughout remainder 1/4. Recommend herbicide application. September 15, 2015 – Herbicide application conducted along ROW to control noxious weeds.","June 25, 2015 - Vegetation establishment appears to be 85-90% compared to off ROW control. - Patches of single tall buttercup plants evident at KP 0+220 and KP 0+260. Tall buttercup and ox-eye daisy present along tract from KP 0+480 to KP 0+700. Recommend implementing weed control. - Diversion berm at KP 0+330 showing poor vegetation growth approximately 30-40% compared to the rest of ROW. - Repaired diversion berm at KP 0+480 appears stable as no further settlement is evident and vegetation is establishing well (70-80% compared to rest of ROW). No further work required, issue resolved. July 29, 2015 Herbicide application conducted along intermittent sections within ROW and HDD pad to control Ox eyed daisy, Scentless chamomile, Perennial Sow thistle and Canada thistle. Aug 14, 2015 - Previous herbicide application appears successful, although patches of unaffected ox-eyed daisy and perennial sow thistle were observed mainly on slope. Fall herbicide spot spray application is recommended. Sept. 16, 2015 - Spot spraying was conducted along intermittent sections within ROW to control perennial sow thistle and ox-eye daisy.","July 6, 2016 – Intermittent herbicide application conducted (from KP 0+100 to 0+900) to control Ox-eyed Daisies, Canada Thistle, and Buttercup. HDD pad at bottom of slope was sprayed and included in the tract spray.","June 15, 2017 - 80-100% vegetation establishment, meeting adjacent land use capability. - KP 0+090 to 0+720 – ox eye daisy and tall buttercup was identified, recommend herbicide application. - Slopes and diversion berms are stable and continue to establish vegetative cover. - Tall buttercup was identified along the access trail to the HDD pad. June 26, 2017 – Intermittent herbicide application conducted to control Ox-Eye Daisy and Tall Buttercup. Sept 1, 2017 – KP 0+150 to 0+900 - Intermittent herbicide application conducted to control ox-eye daisy, Canada thistle, and perennial sow thistle.",,,
NE 31-56-21 W5,Moderate Vegetation Establishment,"June 4, 2014– Vegetation cover on ROW is 80% of off ROW control. Work-side has patches of 50% cover compared to off ROW. Monitor.  – Good vegetation cover on drill pad (90% of off ROW)","June 25, 2015 - Vegetation is well established throughout tract; no further work required, issue resolved",,,,,
NE 31-56-21 W5,Erosion,"June 4, 2014 – Minor erosion rills not affecting land use. Hill appears to be stable. August 12, 2014 - Implemented straw waddle erosion control material within diversion berms down slope of bare soil exposure at KP 0+335 and 0+455.","June 25, 2015 - Previously noted erosion rills along hill slope appear to not be affecting land-use and areas are well vegetated; no further work required, issue resolved.",,,,,
NW 31-56-21 W5,Watercourse Crossings: Athabasca River and Unnamed Tributary to Athabasca River,"June 4, 2014 – HDD Section (No Disturbance)","June 25, 2015 - Vegetation establishment is 100% equivalent to off ROW. - Drill pad site; no identifiable issues within tract as there was no disturbance. Issues resolved",,,,,
SW 6-57-21 W5,Weeds,"June 4, 2014 – Good Vegetation at Drill Pad (90% compared to off ROW)  – No weeds at time of assessment. – No subsidence or erosion issues noted. August 11, 2014 - KP 1+590 to 1+770 – low density of ox-eyed daisy identified within drill pad site.  - Ox-eyed daisy, Canada thistle, and perennial sow thistle identified throughout remainder of this ¼.  - recommend herbicide application.","June 24, 2015 - 95% vegetation establishment compared to off-ROW. - Ox-eyed daisy observed, recommend implementing weed control to mitigate. July 28, 2015 – Herbicide application conducted along intermittent sections within ROW to control Ox eyed daisy, Canada thistle and Perennial sow thistle. Aug 15, 2015 - Previous herbicide application appears successful, although patches of unaffected Canada thistle and perennial sow thistle were observed. Fall herbicide application is recommended. Sept.17, 2015 - Spot spraying was conducted along intermittent sections within ROW to control Canada thistle and ox-eye daisy.","June 2, 2016- Good vegetation established compared to off right of way. - A single tall buttercup plant was identified. - Silt fencing remains in place at the southeast end of the ROW (KP 1+610) – remove as soon as practical. July 5, 2016 – Intermittent herbicide application conducted (KP 1+500 to 1+900) to control Ox-eyed Daisy.","June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. - 50m of silt fence was removed from right of way at KP 1+610, issue resolved. Sept 1, 2017 – Intermittent herbicide application to control ox-eye daisy. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",,,
SE 1-57-22 W5,Weeds,"June 4, 2014 – Good Vegetation cover 80-90% compared to off ROW  – Spots of 50% Vegetation cover of off ROW. Continue to monitor.  – Minor subsidence noted at bottom of hill. Not affecting land use. – Minor subsidence noted at lease road crossing bell hole. Not affecting land use.  – Minor Canadian thistle continue to monitor. August 11, 2014 - ox-eyed daisy, Canada thistle, perennial sow thistle identified throughout this ¼. Weeds are also present on adjacent parallel pipelines.  - recommend herbicide application.  - KP 2+050 – heavy patch of Canada thistle identified adjacent to road crossing and valve site - Weed whacked Canada thistle across width of ROW to the south of lease road. September 16, 2014 – Herbicide application conducted along pipeline ROW to control noxious weeds.","June 24, 2015 - 80-90% vegetation establishment compared to off-ROW. Patches of reduced vegetation (50% cover) are no longer evident, issue resolved. - Ox-eyed daisy observed east of ditchline, recommend implementing weed control to mitigate establishment.  - Canada Thistle observed around facility perimeter, recommend implementing weed control to mitigate establishment. Previous weed control appears to be effective, as weed densities have been reduced. July 28, 2015 - Herbicide application conducted along intermittent sections within ROW to control noxious weeds. Aug 15, 2015 - Previous herbicide application appears successful. Broadleaf species within areas sprayed are showing signs of health degradation in the form of wilting and discoloration. Patches of unaffected Canada thistle were observed. Fall herbicide spot spray application is recommended. Sept. 17, 2015 - Spot spraying was conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 2, 2016- Good vegetation established, 85-90% compared to off right of way. - Ox-eye Daisy was identified throughout the tract. - Buttercup and Canada thistle was identified within a 120m section alongside the Nosehill Creek North Sales Meter Station. - Silt fence exists along north edge of right of way at approximately KP 1+825 – remove as soon as practical. - Previously noted (2014) subsidence at the bottom of hill and crossing bell hole are no longer evident, issues resolved.","June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. - 20m of silt fence was removed from the north side of the right of way at KP 1+825. Issue resolved. Sept 1, 2017 – KP 2+000 to 2+900 - Intermittent herbicide application conducted to control ox-eye daisy, Canada thistle, tall buttercup, and perennial sow thistle. The weeds on the right of way from KP 2+000 to 2+100 are consistent with conditions off right of way on an adjacent foreign lease. Issue resolved.",,,
SW 1-57-22 W5,Weeds,"June 4, 2014 – No issues with subsidence or erosion. – Minor Canada thistle. Continue to monitor. – Vegetation cover at 90% compared to off ROW. August 11, 2014 - ox-eyed daisy, Canada thistle, perennial sow thistle identified throughout this ¼. Weeds are also present on adjacent parallel pipelines.  - recommend herbicide application. September 16, 2014 - Herbicide application conducted along pipeline ROW to control noxious weeds.","June 24, 2015 - 80-90% vegetation establishment compared to off-ROW. - Diversion berms along slope are functional and well vegetated. - Ox-eyed daisy observed, recommend implementing weed control to mitigate establishment. Previous weed control appears to be effective, as weed densities have been reduced. July 28, 2015 - Herbicide application conducted along intermittent sections within ROW to control Ox eyed daisy, Canada thistle and Perennial sow thistle. Aug 15, 2015 - Previous herbicide application appears successful, although patches of unaffected Canada thistle and perennial sow thistle were observed. Fall herbicide spot spray application is recommended. Sept. 17, 2015 Spot spraying was conducted along intermittent sections within ROW to control perennial sow thistle and Canada thistle.","June 2, 2016- Good vegetation establishment. - Ox-eyed daisies noted throughout tract more prevalent on NW side of ROW. July 5, 2016 – Intermittent herbicide application conducted (KP 2+900 to 3+000) to control Ox-eyed Daisy, Canada Thistle, and Perennial Sow thistle.","June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. Sept 1, 2017 - Intermittent herbicide application conducted to control ox-eye daisy and perennial sow thistle. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",,,
NW 1-57-22 W5,Weeds,"June 4, 2014 – Minor Canada thistle. Continue to monitor. – Vegetation cover at 80-90% compared to off ROW. Patches of 50%.  August 11, 2014 - ox-eyed daisy, Canada thistle, perennial sow thistle identified throughout this ¼. Weeds are also present on adjacent parallel pipelines.  - recommend herbicide application. September 16, 2014 - Herbicide application conducted along pipeline ROW to control noxious weeds.","June 24, 2015 - 80-90% vegetation establishment compared to off-ROW. Patches of 50% cover noted in 2014 are no longer evident, issue resolved. - Canada thistle and ox-eye daisy present, recommend implementing weed control to mitigate establishment. Previous weed control appears to be effective, as weed densities have been reduced. July 28, 2015 - Herbicide application conducted along intermittent sections within ROW to control Ox eyed daisies and Canada thistle. Aug 15, 2015 - Previous herbicide application appears successful, although patches of unaffected ox-eyed daisy were observed. Fall herbicide spot spray application is recommended. Sept. 17, 2015 - Spot spraying was conducted along intermittent sections within ROW to control noxious weeds.","June 2, 2016- Good vegetation establishment. - Ox-eyed daisy noted throughout tract. - Small patch of Canada thistle at KP 2+950. Recommend herbicide application.  July 5, 2016 – Intermittent herbicide application conducted (KP 3+000 to 3+780) to control Ox-eyed Daisy, Canada Thistle, Buttercup, and Perennial Sow thistle.","June 26, 2017 – Intermittent herbicide application conducted to control ox-eye daisy and tall buttercup. Sept 1, 2017 - Intermittent herbicide application conducted to control ox-eye daisy. Adjacent access road to the south of the right of way may be influencing the presence of weeds.",,,
NW 1-57-22 W5,Erosion,"June 4, 2014– Minor erosion at berm not affecting land use. Rill is vegetating. Continue to monitor.  August 11, 2014- minor erosion identified within drainage of diversion berm - straw waddle erosion control materials installed within erosion in diversion berm and erosion leading into pipe ditchline (KP 3+100 and 3+400).","June 24, 2015 - Repairs made at KP 3+400 and 3+100, in 2014, are effectively mitigating erosion concerns at time of assessment. Continue to monitor.","June 24, 2015 - Repairs made at KP 3+400 and 3+100, in 2014, are effectively mitigating erosion concerns. There has been no additional erosion following repairs, Issues resolved.",,,,
