Environmental Issues,Location,Westcoast  Observations in 2012,TERA  Observations in 2012,Status,Recommendations,VEC,GIS,Topic
(a) Backfill instability,Entire route,--,Unable to assess due to snow cover.,Unresolved.,Reassess in 2013.,1. PHYSICAL ENVIRONMENT,,
(a) Backfill instability,Pipeline right-of-way,--,Trench crown observed along entire route.,Unresolved.,Reassess and monitor in 2013.,1. PHYSICAL ENVIRONMENT,,
(a) Strippings/subsoil mixing,Entire route,--,Unable to assess due to snow cover.,Unresolved.,Reassess in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(b) Degradation of soil structure and lowering of soil productivity through compaction and rutting,Entire route,--,Unable to assess due to snow cover.,Unresolved.,Reassess in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Entire route,--,Unable to assess due to snow cover.,Unresolved.,Reassess in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Eroded gully 50 cm x 1 m x 300 m at KP 26.0.,Unresolved.,Repair erosion and monitor in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Entire route,--,Unable to assess subsidence due to snow cover.,Unresolved.,Reassess in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(a) Alterations of natural flow patterns,Entire route,--,Unable to assess due to snow cover.,Unresolved.,Reassess in 2013.,3. WATER QUALITY AND QUANTITY,,
(a) Loss of wetland habitat and loss or reduction of hydrological function (filtration),Entire route,--,Unable to assess wetland habitat due to snow cover.,Unresolved.,Reassess in 2013.,4. WETLANDS,,
(a) Loss or alteration of native vegetation and vegetation important to wildlife,Entire route,--,Unable to assess vegetation due to snow cover.,Unresolved.,Reassess in 2013.,5. VEGETATION,,
(b) Weed introduction and spread,Entire route,--,Unable to assess weeds due to snow cover.,Unresolved.,Reassess in 2013.,5. VEGETATION,,
(b) Weed introduction and spread,Right-of-way adjacent to Liard Highway.,"Scentless chamomile outbreak at KP 5.0. Sprayed in 2012, follow-up treatments planned for 2013 and 2014.",Unable to assess weeds due to snow cover.,Unresolved.,Monitor in 2013.,5. VEGETATION,,
(c) Loss of rare plant population,Entire route,--,Unable to assess rare plants due to snow cover.,Unresolved.,Reassess in 2013.,5. VEGETATION,,
(a) Loss or alteration of potential wildlife habitat,Entire route,--,Unable to assess wildlife habitat due to snow cover.,Unresolved.,Reassess in 2013.,6. WILDLIFE AND WILDLIFE HABITAT,,
