Legal Location (W4M),Land Use1,Condition/ Issue Noted (Rating),KP2,Notes,Recommendation(s),Status,VEC,GIS,Topic
SW-09-076-05,Forested,Limited Vegetation Establishment (Moderate Issue),0+000 to 0+640,Limited vegetation establishment was observed across the full extent of the right-of-way.,Monitor in 2016,Monitor,,,
SW-09-076-05,Forested,Noxious and Invasive Weeds  (Moderate Issue),0+000 to 0+610,"Canada thistle (1% cover), perennial sow thistle (1% cover), annual hawksbeard (3% cover) and lamb’s quarters (3% cover) were observed on the right-of-way.","Monitor in 2016, implement weed control as required",Monitor,,,
SW-09-076-05,Forested,Material Left on Right-of-Way (Moderate Issue),0+350,"Rig mats left on the spoil side of the right-of-way (Photo 1, Appendix B).",Remove rig mats when practical,Rig mat removal scheduled for January 2016,,,
SE-08-076-05,Forested,Subsidence (Moderate Issue),0+805 to 0+930,"Intermittent minor subsidence was observed on the pipeline crown over the ditchline (approximately 10 cm deep) (Photo 2, Appendix B). The subsidence is not inhibiting the recovery of the right-of-way or causing a pipe integrity concern, therefore no repairs are required, at this time.",Monitor in 2016,Monitor,,,
SE-08-076-05,Forested,Limited Vegetation Establishment (Moderate Issue),0+810 to 1+465,Limited vegetation establishment was observed across the full extent of the right-of-way. The remainder of the quarter section has good vegetation establishment.,Monitor in 2016,Monitor,,,
SE-08-076-05,Forested,Noxious and Invasive Weeds  (Moderate Issue),0+810 to 1+465,"Canada thistle (1% cover), perennial sow thistle (1% cover), annual hawksbeard (3% cover) and lamb’s quarters (3% cover) were observed on the right-of-way.","Monitor in 2016, implement weed control as required",Monitor,,,
SE-08-076-05,Forested,Uneven Tie-In (Moderate Issue),0+870 to 0+950,"Intermittent uneven tie-in (15 to 45 cm) observed on both sides of the right-of-way (Photo 3, Appendix B).",Monitor vegetation in 2016,Monitor,,,
SE-08-076-05,Forested,Rare Plant,1+100,Golden saxifrage (S4; Chrysosplenium iowense) was not observed on the right-of-way. Habitat on the right-of-way was characterized as suitable for re-establishment. Due to recent changes to the ACIMS classification – golden saxifrage is no longer considered rare.,None - unsuccessful;  resolved,Complete (species is no longer rare),,,
SE-08-076-05,Forested,Uneven Tie-In (Moderate Issue),1+160 to 1+465,"Uneven tie-in (15 to 45 cm) observed on both sides of the right-of-way (Photo 4 and 5, Appendix B).",Monitor in 2016,Monitor,,,
SW-08-076-05,Forested,Uneven Tie-In (Moderate Issue),1+465 to 1+600,"Uneven tie-in (15 to 45 cm) observed on both sides of the right-of-way (Photo 4 and 5, Appendix B).",Monitor in 2016,Monitor,,,
SW-08-076-05,Forested,Limited Vegetation Establishment (Moderate Issue),1+465 to 1+800,Limited vegetation establishment was observed across the full extent of the right-of-way. The remainder of the quarter section has good vegetation establishment.,Monitor in 2016,Monitor,,,
SW-08-076-05,Forested,Noxious and Invasive Weeds  (Moderate Issue),1+465 to 1+800,"Canada thistle (1% cover), perennial sow thistle (1% cover), annual hawksbeard (3% cover) and lamb’s quarters (3% cover) were observed on the right-of-way.","Monitor in 2016, implement weed control as required",Monitor,,,
SW-08-076-05,Mineral Wetland (Open Water Pond),None,1+760 to 1+820,"Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include:   pre-construction contours partially restored, microtopography issue identified (see below from KP 1+770 to 1+910)   appropriate species were beginning to establish; and   absence of excessive ponded water or impeded flow due to the construction right-of-way",Monitor in 2016,Monitor,,,
SW-08-076-05,Forested,Microtopography Issue  (Low Issue),1+770 to 1+910,"Piles of unknown foreign soil located next to the spoil side of the right-of-way. Material likely originated from adjacent right-of-way and not the Project as stumps and trees were observed on the material piles. Piles range in height from 0 to 200 cm (Photo 7, Appendix B).",Monitor in 2016 to ensure that material does not erode or slump on to the right-of-way.,Monitor,,,
SW-08-076-05,Unnamed Watercourse (WC1),None,1+800,"  No terrain instability was observed.   Good first-year vegetation establishment was observed for this watercourse crossing (Photo 6 and 7, Appendix B) although a pre-existing microtopography issue was identified (see below from KP 1+770 to 1+910).    Silt fencing can likely be removed on the east side of the crossing at 1+800; Minimal erosion on the surrounding slopes",Monitor in 2016,Silt fence removed in October 2015; Monitor,,,
SW-08-076-05,Potential Western Toad Breeding Pond,Wildlife Habitat,1+800,A potential Western Toad breeding pond was noted prior to construction. This pond is located off-right-of-way and construction activities did not impact the pond.,None,Complete,,,
SE-07-076-05 SW-07-076-05 SE-12-076-06 SW-12-076-06,Forested,None,2+280 to 5+600,Good vegetation establishment is noted throughout the quarter sections.,None,Complete,,,
SE-07-076-05,Forested,Rare Plant,3+000,Three northern slender ladies’-tresses (S2; Spiranthes lacera) were observed on the south side of an undisturbed portion of the right-of-way. None were observed on the disturbed portion of the right-of-way but they are expected to re-establish over time.,None – successful; resolved,Successfully complete,,,
SW-07-076-05,Forested,Access Control / Microsites,3+600,Rollback was not observed on the right-of-way. Due to multiple adjacent rights-of-way access control/rollback was not implemented at this location.,None,Successfully Complete,,,
SE-12-076-06,Forested,Rare Plant,4+000,Two northern slender ladies’-tresses (S2; Spiranthes lacera) were observed on the south side of an undisturbed portion of the right-of-way. None were observed on the disturbed portion of the right-of-way but they are expected to re-establish over time.,None – successful; resolved,Successfully complete,,,
SW-12-076-06,Forested,Access Control / Microsites,5+300,"Mounding was observed across the entire right-of-way (Photo 8, Appendix B). Mounding was moved as part of the field program to ensure it was most effective (from KP 5+200 listed in EPP).",None,Successfully Complete,,,
SE-11-076-06,Mineral Wetland (Emergent Marsh),None,6+160 to 6+260,"Wetland observed to be on an acceptable trajectory of reaching pre-construction functional conditions. Indicators noted on the right-of-way include (Photo 9, Appendix B):   pre-construction contours restored;   appropriate species were beginning to establish; and   absence of excessive ponded water or impeded flow due to the construction right-of-way",Monitor in 2016,Monitor,,,
SE-11-076-06,Unnamed Watercourse (WC2),None,6+200,"  No terrain instability was observed.   Good first-year vegetation establishment was observed for this water crossing (Photo 10, Appendix B).    Silt fencing on the east bank of the watercourse crossing is located in the watercourse. Limited willow staking was observed on both banks of the watercourse crossing. Minimal erosion observed on the surrounding slopes.",Monitor in 2016,Silt fence removed in October 2015; Monitor,,,
