Legal Location (W6M),Land Use,Vegetation Issue(s),Soil Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
SE 29-75-09,Tame Pasture,No,Subsidence,Subsidence observed on right-of-way at KP 0.00.,Subsidence was repaired in September 2012. Monitor in 2013.,,,
NE 20-75-09,Cultivated,No,"Hydrovac holes, Subsidence",STwo hydrovac holes observed on the right-of-way at KP 0.13 and one hydrovac hole observed at KP 0.15. ubsidence observed on the right-of-way at KP 0.43.,Hydrovac holes were repaired in September 2012. Monitor hydrovac holes and subsidence in 2013.,,,
NW 20-75-09,Hay,No,Erosion,Hay has not yet been seeded by landowner. Rill erosion observed on right-of-way at KP 0.80.,Rill erosion was repaired in September 2012. Monitor in 2013.,,,
NW 20-75-09,Tame Pasture,Weeds,No,"High densities of stinkweed, wild buckwheat and dandelion observed on right-of-way from KP 1.00 to KP 1.40.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NW 20-75-09,Unnamed tributary to Bear River,Weeds,No,Patch of creeping thistle) observed on right-of-way on the west bank at KP 1.25.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
NE 19-75-09,Hay,Weeds,Hydrovac holes,TModerate density of wild buckwheat and narrow-leaved hawk’s-beard observed on right-of-way from KP 1.40 to KP 1.61. Hay has not yet been seeded. wo hydrovac holes observed on right-of-way at KP 1.43.,"HMonitor weeds in 2013 and, if warranted, implement weed control measures. ydrovac holes were repaired in September 2012, monitor in 2013.",,,
SE 19-75-09,Cultivated,No,No,None.,None.,,,
SE 19-75-09,Hay,Weeds,No,"Moderate densities of narrow-leaved hawk’s-beard, shepherd’s-purse, hemp-nettle and pineappleweed observed on right-of-way from KP 1.77 to KP 2.07.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,,
SE 19-75-09,Unnamed tributary to Bear River,No,No,None.,None.,,,
SE 19-75-09,Cultivated,Reduced crop growth,Admixing,MReduced crop density and crop height observed on right-of-way from KP 2.12 to KP 2.22. inor admixing observed on right-of-way from KP 2.12 to KP 2.22.,Monitor vegetation establishment in 2013.,,,
SW 19-75-09,Cultivated,No,Hydrovac holes,Three hydrovac holes observed on right-of-way at KP 2.72 during ground reconnaissance.,Hydrovac holes were repaired in September 2012. Monitor in 2013.,,,
SE 24-75-10,Hay,Weeds,"Subsidence, Erosion","SGModerate densities of wild buckwheat, narrow-leaved hawk’s-beard and pineappleweed observed on right-of-way from KP 3.14 to KP 3.95. Crop has not yet been seeded. ubsidence observed on the right-of-way at KP 3.80. ully erosion observed on right-of-way at KP 3.95.","MGMonitor weeds in 2013 and, if warranted, implement weed control measures. onitor subsidence in 2013. ully erosion was repaired in September 2012. Monitor in 2013.",,,
SW 24-75-10,Cultivated,Reduced crop growth,Compaction,MReduced crop height observed on right-of-way from KP 3.95 to KP 4.05. inor subsoil compaction observed on right-of-way from KP 3.95 to KP 4.05.,"Monitor vegetation establishment in 2013 and, if warranted, alleviate compaction.",,,
SE 23-75-10,Treed,No,No,None.,None.,,,
SW 23-75-10,Treed,No,Rutting,Soil rutting caused by tractor (third party impact) observed on right-of-way at KP 5.67 and KP 6.19.,None.,,,
SE 22-75-10,Hay,Weeds,Admixing,"MLow to moderate densities of wild buckwheat, common plantain, narrow-leaved hawk’s-beard and pineappleweed observed on right-of-way from KP 6.50 to KP 7.33. Hay has not yet been seeded by landowner. inor admixing observed on right-of-way from KP 6.50 to KP 7.33.","MMonitor weeds in 2013 and, if warranted, implement weed control measures. onitor vegetation establishment in 2013.",,,
SE 22-75-10,Drainage,No,No,None.,None.,,,
SW 22-75-10,Hay,Weeds,Compaction,"MModerate to high densities of wild buckwheat, narrow-leaved hawk’s-beard, dandelion, common plantain and maple-leaved goosefoot observed on right-of-way from KP 7.33 to KP 8.14. Hay has not yet been seeded by landowner. inor subsoil compaction observed on right-of-way from KP 7.33 to KP 8.14.","MMonitor weeds in 2013 and, if warranted, implement weed control measures. onitor vegetation establishment in 2013 and alleviate compaction, if warranted.",,,
SE 21-75-10,Hay,Moderate vegetation establishment,No,Vegetation establishment is observed to be less on right-of-way compared to off right-of-way from KP 8.14 to KP 8.36.,Monitor vegetation establishment in 2013.,,,
NE 16-75-10,Hay,Moderate vegetation establishment,Erosion,RVegetation establishment is observed to be less on right-of-way compared to off right-of-way from KP 8.36 to KP 9.00.  ill erosion observed on right-of-way at KP 8.57.,"RMonitor vegetation establishment in 2013. ill erosion was repaired in September 2012, monitor in 2013.",,,
NE 16-75-10,Drainage,No,Rutting,Soil rutting caused by vehicles (third party impact) observed on right-of-way at KP 8.36.,None.,,,
NW 16-75-10,Tame Pasture/Treed,No,No,None.,None.,,,
