Location Range,Issue(s),KP  Range,Prior Observations (Source),2013 TERA Observations,2015 Assessment,December 2015 DetailsStatus/Action Plan,December 2016 Status & Update,VEC,GIS,Topic
a‑59‑A/94O14 to c‑49‑A/94O14(KP 0.00 to KP 1.00),Physical Environment - Subsidence,0.8 (2015 km 0.62),2010 (Westcoast): Subsidence observed intermittently and issue causing water to pond from 2011 (TERA): No subsidence was noted from KP 0.5 to 2012 (TERA): Unable to assess subsidence due to snow cover.,Subsidence observed at KP 0.80 (30 m long x 1 m wide x 0.50 m deep) ponding water over the trench line.,Ongoing monitoring required,2015 assessment noted a possible hole present; filled in with bullrush,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
c‑49‑A/94O14 to a‑40‑A/94O14(KP 1.00 to KP 2.00),Physical Environment - Subsidence,2,2010 (Westcoast): Subsidence observed intermittently and issue causing water to pond from KP 1.00 to KP 2.00.2012 (TERA): Unable to assess subsidence due to snow cover.,Subsidence observed at KP 2.00 (20 m long x 5 m wide x 1.00 m deep) ponding water over the trench line.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
a‑90‑I/94O11 to a‑80‑I/94O11(KP 7.00 to KP 8.00),Physical Environment - Erosion,7.10 to 7.20 (2015 km 7.75 to 10.8),"2011 (TERA): Combination of water flow, susceptible soil and vehicle ruts leading to erosion 60 cm deep observed from KP 7.10 to KP 7.20.2012 (TERA): Unable to assess soil erosion due to snow cover.",Gully erosion (10 m long x 0.25 m wide 0.25 m deep) observed along the construction right-of-way from KP 7.10 to KP 7.20 in 2013.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
d-50-I/94O11 to a‑49‑I/94O11(KP10.00 to KP 11.00),Vegetation - Weeds,10.00 to 11.00,--,Moderate density of narrow-leaved hawk's-beard and sweet‑clover observed along the construction right-of-way from KP 10.00 to KP 11.00.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
a‑49‑I/94O11 to a‑39‑I/94O11(KP 11.00 to KP 12.00),Vegetation - Weeds,11.15,--,High density patch of sweet-clover observed along the construction right-of-way at KP 11.15.,Resolved - Ongoing monitoring required,Herbicide application occurred; monitor and apply treatment in 2016 as needed,Herbicide application occurred; monitor and apply treatment in 2017 as needed,,,
a‑49‑I/94O11 to a‑39‑I/94O11(KP 11.00 to KP 12.00),Physical Environment - Erosion,11.35 (2015 km 11 - 11.85),--,Gully erosion (20 m long x 1.00 m wide 0.75 m deep) observed along the construction right-of-way at KP 11.35.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
a‑39‑I/94O11 to a‑29‑I/94O11 (KP 12.00 to KP 13.00),Physical   Environment – SubsidenceWatercourse (Unnamed tributary to Deszen Creek [WC3]),12.53 (2015 km 12.6),--,Subsidence (5 m long x 5 m           wide x 2.00 m deep) observed      along the construction right-of- way at KP 12.53 in water crossing (WC3) causing pooling above trench line.,Ongoing  monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor       and implement rehabilitation if there is     increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the      environmental observation is stabilizing. Ongoing       monitoring is recommended with rehabilitation if          there is the potential to impact the pipeline or  surrounding area,,,
a‑39‑I/94O11 to a‑29‑I/94O11 (KP 12.00 to KP 13.00),Physical Environment – Subsidence,12.8,--,Subsidence (5 m long x 5 m wide x 1.50 m deep) observed at KP 12.80 in a non-classified drainage causing pooling above trench line.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
c‑8‑I/94O11 to a‑98‑H/94O11 (KP 14.00 to KP 15.00),Physical Environment – SubsidenceWatercourse (Unnamed tributary to Deszen Creek [WC4]),14.01 (2015 km 14.91),--,Subsidence (25 m long x 10 m wide x 1.5 m deep) observed along the construction right-of-way at KP 14.01 in water crossing (WC4) causing pooling above trench line.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
c‑8‑I/94O11 to a‑98‑H/94O11 (KP 14.00 to KP 15.00),Physical Environment – SubsidenceWatercourse (Unnamed tributary to Deszen Creek [WC5]),14.56 (2015 km 15.35),,Subsidence (5 m long x 3 m wide x 0.50 m deep) observed at KP 14.56 in water crossing (WC5) causing pooling above trench line.,Ongoing monitoring required,2015 assessment noted this issue was unresolved; recommended to monitor and implement rehabilitation if there is increased potential to impact pipeline and surrounding area.,The 2016 aerial assessment has confirmed that the environmental observation is stabilizing. Ongoing monitoring is recommended with rehabilitation if there is the potential to impact the pipeline or surrounding area,,,
