Environmental Issues,Location,Mitigative Measures and Observations in 2013,Status,Recommendations,VEC,GIS,Topic
(a) Coarse fragments,Various,"Gravel observed in drainage at • KP 2.02. Refuse including plastic piping, • metal stakes, geotech fabric and plastic sheeting was found on the construction right-of-way from KP 0.00 to KP 1.03, KP 8.32 and KP 23.21.",Unresolved,Monitor vegetation establishment and drainage at KP 2.02. Remove and dispose of construction supplies appropriately.,1. PHYSICAL ENVIRONMENT,,
(b) Contouring and drainage,Various,"Surface contouring does not • match adjacent or preconstruction grade, or contouring is adversely affecting drainage at KP 0.43, KP 1.16, KP 2.30, KP 3.25 and KP 23.49.",Unresolved,"Monitor in 2015 and recontour, if warranted.",1. PHYSICAL ENVIRONMENT,,
(a) Strippings/subsoil admixing,--,No areas of admixing were • observed along the construction right-of-way in 2013.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(b) Degradation of soil structure and lowering of soil productivity through compaction and rutting,Various,"Rutting observed from KP 0.00 • to 0.67, KP 1.27, KP 7.04 and KP 7.15.",Unresolved,"Monitor in 2015 and repair rutting, if warranted.",2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Various,"Erosion channels, rills and • gullies, observed on the construction right-of-way at KP 0.77, KP 2.40, KP 6.45, KP 6.76, KP 7.08, KP 13.61, KP 23.73, KP 23.90 and KP 24.05.",Unresolved,"Monitor in 2015 for vegetation establishment and soil erosion potential at locations listed and repair, if warranted.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Various,Subsidence observed from • KP 0.70 to KP 0.81 and at KP 7.88.,Unresolved,Repair trench subsidence in 2014 and monitor in 2015.,2. SOIL AND SOIL PRODUCTIVITY,,
(b)  Trench crown,Various,Trench crown (0.5 m high) • observed from KP 0.00 to KP 0.67 affecting cross right-of-way drainage.,Unresolved,"Install breaks in the trench crown in 2014, if warranted, and monitor in 2015 to ensure trench crown doesn’t affect cross right-of-way drainage.",2. SOIL AND SOIL PRODUCTIVITY,,
(a) Alterations of natural flow patterns,Various,Surface contouring has the • potential to alter natural flow patterns. See1.(b). Subsidence has the potential to • alter natural flow patterns. See 2.(b) Trench Subsidence.,Unresolved,See 1.(d) Contouring and 2.(d) Trench Subsidence.,3. WATER QUALITY AND QUANTITY,,
(a) Loss of wetland habitat and loss or reduction of hydrological function (filtration),Various,Moderate vegetation • establishment at KP 7.02 and KP 7.08.,Unresolved,Monitor vegetation establishment and erosion in 2015 as warranted.,4. WETLANDS,,
(a) Loss or alteration of native vegetation and vegetation important to wildlife,Various,"Poor vegetation establishment • observed from KP 0.77 to KP 1.39, KP 9.32 to KP 9.57 and at KP 13.82.",Unresolved,Monitor vegetation establishment in 2015.,5. VEGETATION,,
(b)  Weed introduction and spread,Various,"Weedy species observed at • densities of concern at KP 2.26, KP 10.58 and KP 11.88.",Unresolved,Control and/or monitor vegetation establishment in 2015.,5. VEGETATION,,
