Legal Land Description,1<s>st</s> Year (2013) Issue(s),1<s>st</s> Year (2013) Discussion,2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 36-65-3 W6,High Vegetation Establishment,"High vegetation establishment on the right-of-way, no concerns observed.","July 9, 2014 - ~ 90% vegetation establishment, compared to off RoW control. – Some thin vegetated areas. Weeds comparable to off RoW control. - Minor erosion North of meter station at KP 0+020. Continue to Monitor.  - Perennial Sow thistle KP 0+000 to 0+050.  - KP 0+520 depression or minor subsidence. Limited vegetation cover – Continue to monitor. - Cross drains well vegetated and functioning. July 19, 2014 - kp 0+000 to 0+050 - Herbicide application conducted to control noxious weeds (perennial sow thistle).","June 22, 2015 - >90% vegetation establishment on RoW. Excellent grasses vetch and clover establishment on RoW. - Minor erosion North of meter station KP 0+020. As reported last year but with further erosion, implement erosion control. - Cross drains well vegetated and functioning. July 24, 2015 - Minor erosion North of Meter station at KP 0+020. Installed three half straw wattle erosion breakers in identified erosion.  Sept. 24, 2015 – Perennial sow thistle located and herbicide application conducted along intermittent sections of RoW.",,,
NW 36-65-3 W6,"Noxious Weed, Invasive Species","Perennial sow-thistle, a Noxious weed, and sweet clover, an invasive species, were observed on the right-of-way from KP 1.22 to KP 1.62.","July 9, 2014 - ~ 95% vegetation establishment, compared to off RoW control. – Some thinly vegetated areas. Native grasses very well established. Deciduous species establishing. Weeds comparable to off RoW. - Cross drains well vegetated and functioning. July 19, 2014 - One perennial sow thistle plant (trace amount) was sprayed within tract.","June 22, 2015 - >90% vegetation establishment on RoW. Excellent grasses vetch and clover establishment on RoW.  - Cross drains well vegetated and functioning. Aug 23, 2015 - Noxious weeds were not identified.",,,
NW 36-65-3 W6,Treed Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,No issues noted,"June 22, 2015- Appears to be stable at time of assessment.  - Good establishment of vegetation, shrubs and deciduous species.  - Dry soils are present in areas of Treed swamp with pockets of water throughout swamp.  - Noxious weeds were not observed.",,,
NE 35-65-3 W6,"Noxious Weed, Invasive Species","Perennial sow-thistle, a Noxious weed, and sweet clover, an invasive species, were observed on the right-of-way from KP 1.22 to KP 1.62.","July 9, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Willows and deciduous species’ establishing within RoW. Exceptional native grass establishment within RoW. Other vegetation consisting of aven species’, scouring rush and Indian paintbrush. - Weeds comparable to off RoW. Non-noxious weeds consisting of hemp nettle, dandelion, milk vetch, American vetch, field horsetail and cow parsnip. - No subsidence or erosion issues evident within tract.","June 22, 2015 - >90% vegetation establishment on RoW. Excellent grasses vetch and clover establishment on RoW. Weeds such as Hemp nettle, Cow parsnip, Dandelion are present on RoW.  - Cross drains well vegetated and functioning.  - Adjacent foreign line shows signs of recent spray activity. Aug 23, 2015 - Noxious weeds were not identified.",,,
NE 35-65-3 W6,Treed Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,"July 9- Wetland (treed swamp) at KP 1+250 to KP 1+620 appears to be stable at time of assessment. Appropriate mulch thickness evident within wetland. Areas within wetland exhibiting dry soil conditions indicated by upland vegetation establishment, with standing water in other areas. Hydrology appears to be maintained within some areas. Good willow establishment within wetland. Organic peat depth reaching greater than 40cm in some areas. Continue to monitor for enhancement of wetland conditions.","June 25, 2015 -  willows, common cattail, sedges, reed grasses, all present; no standing water; very thick (>95% comparable to off RoW) vegetation throughout wetland area; - KP1+250 willows, common cattail, sedges, reed grasses,  all present; Standing water on both sides of the roach with cross ditch in place; very thick (>95% comparable to off RoW) vegetation throughout wetland area;",,,
NE 35-65-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 9, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Willows and deciduous species’ establishing within RoW. Exceptional native grass establishment within RoW. Other vegetation consisting of aven species’, scouring rush and Indian paintbrush. - Weeds comparable to off RoW. Non-noxious weeds consisting of hemp nettle, dandelion, milk vetch, American vetch, field horsetail and cow parsnip. - No subsidence or erosion issues evident within tract.","June 22, 2015 - >90% vegetation establishment on RoW. Excellent grasses vetch and clover establishment on RoW.  - Cross drains well vegetated and functioning. - Adjacent foreign line shows signs of recent spray activity. Aug 23, 2015 - Noxious weeds were not identified.",,,
SE 2-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 9, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Willows and deciduous species’ establishing within RoW. Exceptional native grass establishment within RoW. Other vegetation consisting of aven species’, scouring rush and Indian paintbrush. - Weeds comparable to off RoW. Non-noxious weeds consisting of hemp nettle, dandelion, milk vetch, American vetch, field horsetail and cow parsnip. - No subsidence or erosion issues evident within tract.","June 22, 2015. >90% vegetation establishment on RoW. Excellent grasses vetch and clover establishment on RoW. - Cross drains well vegetated and functioning. Aug 23, 2015 - Patch of Canada thistle was observed on ditchline at KP 2+500. Sept. 24, 2015 - Herbicide application conducted along intermittent sections of RoW.",,,
SW 2-66-3 W6,High Vegetation Establishment,High vegetation establishment and no concerns observed on the right-of-way.,"July 8, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Willows and deciduous species’ establishing within RoW. Exceptional native grass establishment within RoW. Other vegetation consisting of clover, wild rose, aven species’ and Indian paintbrush. - Weeds comparable to off RoW. Non-noxious weeds consisting of hemp nettle, dandelion, milk vetch, American vetch, field horsetail and cow parsnip. - No subsidence or erosion issues evident within tract.","June 22, 2015- Vegetative coverage approximately 95%, compared to off RoW control. Common weeds observed included cow parsnip and hemp nettle. - Subsidence and erosion was not observed. - No noxious/prohibited weeds were observed.",,,
NW 2-66-3 W6,Low Vegetation Establishment,A bare area is present on the right-of-way at KP 3.6. This area is expected to re-establish in subsequent years. Surrounding vegetation establishment is high.,"July 8, 2014 - 90 - 95% vegetation cover on RoW compared to off RoW control. Good willow and deciduous species’ establishment within RoW. Exceptional native grass establishment within RoW. Other vegetation consisting of clover, wild rose, aven species’ and Indian paintbrush  - Canada thistle and bull thistle existing on RoW from KP 3+720 to 3+810.  - Cross drains functioning well within tract with good vegetation establishment within. - No subsidence or erosion issues evident within tract. July 19, 2014 - kp 3+000 to 3+900 – Herbicide application was conducted within intermittent sections of the RoW, to control perennial sow thistle, Canada thistle and bull thistle. August 10, 2014 – Successful spray application observed. - Small patch of Canada thistle evident on ditchline (KP 3+800), monitor in 2015.","June 22, 2015 - Vegetative coverage approximately 95%, compared to off RoW control. - Patch of reduced vegetative growth (~50%) at KP 3+475, continue to monitor.  - Subsidence was not observed. - Diversion berms/ditches are functioning and/or vegetating. - Perennial sow thistle observed at KP 3+070 along and south of the ditch line. Recommend weed mitigation measures. - Canada thistle observed along the ditch line at 3+690 for approximately 80m. Recommend weed mitigation measures. July 12, 2015 – KP 3+000 to 3+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Aug 23, 2015- - Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 3+000, 3+300, 3+660. Fall herbicide spot spray application is recommended. Sept. 24, 2015 - Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle.",,,
SW 11-66-3 W6,Watercourse Crossing: Patterson Creek,Rill erosion was observed on the banks of Patterson Creek from KP 4.3 to KP 4.6. Erosion control measures are preventing sediment from entering the creek. Moderate vegetation establishment was observed on the slopes leading to Patterson Creek.,"May 22, 2014 - Patterson Creek - Diversion berms appear stable at this time, functioning appropriately, sediment collecting in some silt fencing, monitor and repair as required. Straw waddles within berm drainages appears to be functioning well.  - Vegetation on slopes remains relatively thin at this time. - Slope on south side of creek crossing – recent and effective water flow evident at rock drains on east side of RoW at bottom of slope.   - Minor erosion rills existing on the top of south slope (northwest facing) - slope on north side of creek (southeast facing). July 23, 2014 - Implemented straw waddle erosion control material within erosion at the top of the south bank at Paterson Creek (KP 4+350). - Removed steel pegs along diversion berms on north and south banks of Paterson Creek (KP 4+390, 4+410, 4+430, 4+450, 4+490, KP 4+525, 4+550, 4+570, and 4+600).","June 22, 2015 - Vegetative coverage approximately 70%, compared to off RoW control. - Banks are defined and stabile. - Coir banks are functioning properly. - Substantial flow was observed. - Erosion mitigation measures implemented previously are functioning. Recommend supplementing with additional erosion control, especially along the disturbance occurring along ditch line on the south slope. Approximately 15m long. - Rutting observed along the eastern side of the slope south of the crossing, and down the center of the ROW on the slope on the north side of the crossing. Monitor. July 12, 2015 – KP 3+000 to 3+900; Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. July 24, 2015 – KP 4+700; Installed four wattles in areas of erosion on slope to Patterson Creek. Aug 23, 2015 – Previous herbicide application appears successful. Although, patches of unaffected perennial sow thistle were observed at KP 3+960, 4+000, 4+200, 4+400 South West side of Patterson Creek. Fall herbicide spot spray application is recommended. - Silt fence remains at bottom of Patterson Creek South slope and can be removed. Straw wattle made of plastic erosion material can be removed along with steel pegs on South slope. Additional erosion breakers could be installed at top of South slope.  Sept. 24, 2015- Herbicide application conducted along intermittent sections within RoW to control perennial sow thistle and Canada thistle. Oct. 3, 2015- Installed eight wattles for erosion control. Removed 40m of silt fence, 60m of plastic netting boom wattles, steel pegs, and rebar.",,,
