,Shrub Cover (% ground cover) On RoW,Shrub Cover (% ground cover) Off RoW,Herb Cover (% ground cover) On RoW,Herb Cover (% ground cover) Off RoW,Moss Cover (% ground cover) On RoW,Moss Cover (% ground cover) Off RoW,VEC,GIS,Topic
Plot 1,5,15,45,70,5,25,,"Site 1 (km 16 - <s>613533 E, 6505604 N</s>) Rare Plant Protection Area",
Plot 2,0,45,45,55,0,15,,"Site 1 (km 16 - <s>613533 E, 6505604 N</s>) Rare Plant Protection Area",
Plot 3,2,30,50,60,5,35,,"Site 1 (km 16 - <s>613533 E, 6505604 N</s>) Rare Plant Protection Area",
Average Cover,2.33,30,46.66,61.66,3.33,25,,"Site 1 (km 16 - <s>613533 E, 6505604 N</s>) Rare Plant Protection Area",
Plot 1,10,30,25,25,3,70,,"Site 2 (km 46 - 642237 E, 6504326 N)  Permafrost Protection Zone",
Plot 2,0,20,15,25,2,70,,"Site 2 (km 46 - 642237 E, 6504326 N)  Permafrost Protection Zone",
Plot 3,0,25,10,15,5,75,,"Site 2 (km 46 - 642237 E, 6504326 N)  Permafrost Protection Zone",
Average Cover,3.33,25,16.66,21.66,3.33,71.66,,"Site 2 (km 46 - 642237 E, 6504326 N)  Permafrost Protection Zone",
Plot 1,3,70,45,45,0,25,,"Site 3 (km 66 - 661536 E, 6503050 N)  Permafrost Protection Zone",
Plot 2,0,60,35,55,0,45,,"Site 3 (km 66 - 661536 E, 6503050 N)  Permafrost Protection Zone",
Plot 3,0,12,55,75,0,15,,"Site 3 (km 66 - 661536 E, 6503050 N)  Permafrost Protection Zone",
Average Cover,1,47,45,58,0,28,,"Site 3 (km 66 - 661536 E, 6503050 N)  Permafrost Protection Zone",
