Environmental Issues,Location,Issue and Mitigative Measures to be Implemented,Status,Proposed Post-Construction Measures,VEC,GIS,Topic
Removal of Roach,Kwoen Re-Injection Pipeline ROW (various locations Kp 0 to 10 ),"AVC issued by the NEB for roach, varying in height from 30 to 100 cm left permanently over the ditchline.  Roach to be removed during future maintenance and construction",Partially Resolved.,Roach removed between Kp 0 and 1.3 during Goodrich Re-injection Pipeline Construction. Outstanding commitment to remove roach over other sections during future maintenance or construction activities.,Erosion Control and Terrain,,
Slope Failure,Plant Site,Slope failure on the west boundary of the plant site.,Resolved. Surface water managed. No further erosion has occurred.,N/A,Erosion Control and Terrain,,
Erosion Design Criteria,Boulder Creek,Upgrades made to watercourse bed and bank restoration to meet 1:100 year design criteria,Resolved,Monitor for erosion and physical integrity,Watercourse Crossings and Drainage,,
Riparian Restoration,Boulder Creek,AVC issued by the NEB:  Riparian vegetation at Boulder Creek was not successfully established as per item #25 of the Environmental Protection Plan.  Riparian revegetation plan required.,Delayed.  To be planted in spring 2005.,"Riparian restoration plan, monitor to determine survivorship.",Watercourse Crossings and Drainage,,
Removal of old silt fence,Kwoen Extension Pipeline,AVC issued by the NEB for silt fencing and straw bales left in place adjacent to watercourses but not maintained or repaired.   Removal required.,"Resolved.  Silt fence and straw bales removed September 20, 2003",N/A,Watercourse Crossings and Drainage,,
Seeding of Topsoil Berm,Plant Site,Commitment to NEB and BC Agricultural Land Commission to seed berm.,Resolved.,To be re-contoured and reseeded when disturbed by planned reclamation at Boulder Creek.,Vegetation and Regeneration,,
Seeding of ROW,Pipeline & Plant,ROW north of Boulder Creek leading up into the plant site has not been seeded.,Resolved.  Reseeded in fall of 2002.,Continue  to  monitor  and  report on,Vegetation and Regeneration,,
Seeding of ROW,Re-Injection Pipeline (KP 0.0 – 0.228),Other construction and reclamation in the area have compromised any vegetation that had germinated.  This includes area adjacent to the plant site where the valve system is located.  Areas should be re-seeded as soon as possible.,Resolved. Reseeded in fall of 2002.,Continue to monitor and report on.,Vegetation and Regeneration,,
Seeding of ROW,Re-Injection Pipeline (KP 0.150 – 10.3),Vegetation growth is sparse to non-existent (June 2002) in isolated sections.  Recommend continued monitoring to determine whether re-seeding in some sections is required.,Resolved. Monitored in 2003.  Re-seeding not required.,Continue  to  monitor  and  report on.,Vegetation and Regeneration,,
Seeding of ROW,Re-injection Extension Pipeline (KP 3+188),"No vegetation growth in vicinity of watercourse B, Crossing 4 and re-injection well site a-43-B/93-P-5",Resolved. Seeded in September 2003.,Continue  to  monitor  and  report on.,Vegetation and Regeneration,,
