Environmental Issues,Location,Mitigative Measures and Observations in 2013,Status,Recommendations,VEC,GIS,Topic
(a) Coarse fragments,Various,"• Construction evidence including soil piles, sediment fences and burn piles at KP 0.040. • Excess woody debris observed from KP 0.104 to KP 0.175, KP 0.501 to KP 0.589, KP 0.787 to KP 0.805, KP 0.852 to KP 1.010, KP 1.040 to KP 1.126, KP 1.755 to KP 1.820, KP 3.351, KP 3.492, KP 4.808, KP 4.870 to KP 4.939 and KP 5.196.",Unresolved,"Redistribute soil across the construction right-of-way and remove construction supplies appropriately in 2014, as necessary. Monitor woody debris in 2015 to ensure it is not affecting vegetation establishment.",1. PHYSICAL ENVIRONMENT,,
(b) Contour and Drainage,Various,"• Contour issues at KP 1.040, KP 3.084 to KP 3.115 and at KP 4.546 • Contour issues observed at KP 4.984 and at KP 5.040. Issue caused by cattle disturbance. • Drainage issues observed at KP 0.040, KP 2.447, KP 2.815, KP 4.370, KP 8.950, KP 12.390, KP 19.257 and KP 19.269. • Drainage issues observed from KP 4.939 to KP 4.970 and from KP 11.230 to KP 11.406. Issue exacerbated by cattle soil disturbance.",Unresolved,"Monitor in 2015 and recontour, if warranted.",1. PHYSICAL ENVIRONMENT,,
(a) Strippings/subsoil admixing,Various,• No areas of admixing were observed along the construction right-of-way in 2013.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(b) Degradation of soil structure and lowering of soil productivity through compaction and rutting,Various,• Rutting observed at KP 3.777 and KP 4.984. • Rutting observed at KP 15.923. Issue caused by third party vehicle use.,Unresolved,"Monitor in 2015 and repair rutting, if warranted.",2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Various,"• Erosion issues observed at KP 0.104, KP 0.805, KP 1.750, KP 2.640 to KP 2.695, KP 3.351, KP 5.101 and KP 19.620. • Erosion issues observed at KP 0.679, 1.040, KP 1.822, KP 3.776, KP 8.208 and KP 8.829. Issues caused or exacerbated by cattle or third party vehicle disturbance.",Unresolved,"Monitor in 2015 for vegetation establishment and soil erosion at locations listed and repair, if warranted.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Various,"• Subsidence was observed from KP 2.470 to KP 2.544, KP 2.731 to KP 2.770, KP 3.273, KP 3.408 to KP 3.497, KP 4.512 to KP 4.896, KP 4.657, KP 5.488 to KP 5.529, KP 6.363 to KP 6.393, KP 11.605 to KP 11.655, KP 12.433 to KP 12.464, KP 14.163 to KP 14.297, KP 15.009 to KP 15.084, KP 16.368 to KP 16.373, KP 16.501, KP 17.966 to KP 17.982, KP 17.792 to KP 17.797, KP 18.446 to KP 18.536 and KP 18.755 to KP 18.793. • Subsidence was observed at KP 3.836 to KP 4.006, KP 3.986, KP 4.071 to KP 4.433, KP 4.125, KP 7.529, KP 7.574 to KP 7.607 KP 9.279 to KP 9.393, KP 9.476 to KP 9.714, KP 9.741 to KP 9.775, KP 9.873 to KP 9.911 and KP 9.918. Issues were exacerbated by cattle and/or third party vehicle use.",Unresolved,Repair trench subsidence in 2014 and monitor in 2015.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench crown,Entire route,• No areas of remnant trench crown were observed along the construction right-of-way in 2013.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(a) Alterations of natural flow patterns,Various,• Subsidence has the potential to alter natural flow patterns. See 2.(d) Trench Subsidence.,Unresolved,See 2(d) Trench Subsidence.,3. WATER QUALITY AND QUANTITY,,
(a) Loss of wetland habitat and loss or reduction of hydrological function (filtration),Various,"Low-lying areas along the construction right-of-way • were observed to be consistent with preconstruction drainage contours. Low establishment of wetland vegetation was observed and likely due to soil disturbance caused by cattle at KP 0.805, KP 4.870 to KP 4.970 and KP 5.101. Low establishment of wetland vegetation at • KP 11.406.",Unresolved,"Monitor in 2015 for the re-establishment of vegetation cover, soil erosion and weed growth at locations listed.",4. WETLANDS,,
(a) Vegetation establishment,Various,"Establishment issues observed at KP 0.104 to • KP 0.175, KP 0.501 to KP 0.589, KP 0.787 to KP 0.805, KP 0.852 to KP 1.010, KP 1.040 to <s>KP 1.126, KP 1.755 to KP 1.820, KP 3.492</s>KP 4.808, and KP 5.196. Issues resulting from excess woody debris. Establishment issues observed at KP 3.725, • KP 3.833, KP 4.870 to KP 4.939, KP 6.895, KP 8.829 to KP 9.142, KP 9.714 to KP 9.911 and at the Sunset Creek compressor station (KP 19.800). Issues caused by soil disturbance caused by cattle or third party vehicle use. Establishment issue observed at KP 3.492 resulting • from excess woody debris. Issue exacerbated by wildlife disturbance or third party vehicle use.",Unresolved,"Monitor in 2015 for the re-establishment of vegetation on the construction right-of-way and reseed, if warranted.",5. VEGETATION,,
(b) Weed introduction and spread,Various,"Weed issues were observed from KP 8.048 to • KP 8.208, KP 10.540 to KP 10.760 and KP 12.907 to KP 13.081. The only weed of concern identified during the • PCEM Program consisted of Canada thistle, a Noxious weed, at a moderate density from KP 8.048 to KP 8.208.",Unresolved,"Control Canada thistle from KP 8.048 to KP 8.208 to prevent spread to other areas in 2014. Control weeds in listed areas, if warranted, and monitor the construction right-of-way for weed problem areas as well as weed growth and introduction in 2015.",5. VEGETATION,,
