Vegetation Type,Dominant Species in Reference Plots,Mean Cover (%),Dominant Species in Disturbed Plots,Mean Cover (%),VEC,GIS,Topic
Mature Coniferous Forest,Pleurozium schreberi,55,Festuca rubra,1.8,,,
Mature Coniferous Forest,Hylocomium splendens,6.7,Dicranum sp.,0.5,,,
Mature Coniferous Forest,Maianthemum canadense,4,Pleurozium schreberi,0.3,,,
Mature Coniferous Forest,Dicranum sp.,2,,,,,
Immature Coniferous Forest,Cornus canadensis,29.3,Festuca rubra,12.7,,,
Immature Coniferous Forest,Kalmia angustifolia,21.7,Osmunda cinnamomea,5.7,,,
Immature Coniferous Forest,Abies balsamea,10.3,Agrostis stolonifera,1.2,,,
Immature Coniferous Forest,Pleurozium schreberi,5,Carex brunnescens,1.2,,,
Immature Coniferous Forest,Maianthemum canadense,4,Dactylis glomerata,1,,,
Herbicided Clear-cut,Abies balsamea,16.7,Festuca rubra,9,,,
Herbicided Clear-cut,Rubus idaeus,15.7,Trifolium hybridum,5.5,,,
Herbicided Clear-cut,Deschampsia flexuosa,11.7,Trifolium pratense,3.3,,,
Herbicided Clear-cut,Kalmia angustifolia,11.7,Dactylis glomerata,1.5,,,
Herbicided Clear-cut,Cornus canadensis,6.3,Agrostis stolonifera,1.3,,,
Barrens,Rhododendron canadense,33.3,Agrostis stolonifera,1.3,,,
Barrens,Kalmia angustifolia,13,Carex brunnescens,1.3,,,
Barrens,Cornus canadensis,12.3,Festuca rubra,1,,,
Barrens,Viburnum nudum,12.3,,,,,
Barrens,Vaccinium myrtilloides,9,,,,,
Barrens,Maianthemum canadense,8.3,,,,,
Barrens,Photina melanocarpa,7.7,,,,,
Barrens,Vaccinium angustifolium,4,,,,,
Tall Shrub Thicket,Alnus viridis,40,Trifolium hybridum,28.3,,,
Tall Shrub Thicket,Polytrichum sp.,15,Festuca rubra,19.3,,,
Tall Shrub Thicket,Solidago rugosa,11.3,Solidago rugosa,9.3,,,
Tall Shrub Thicket,Doellingeria umbellata,5.7,Agrostis stolonifera,8.3,,,
Tall Shrub Thicket,Symphyotrichum novi-belgii,4,,,,,
Tall Shrub Thicket,Spiraea alba,1,,,,,
