Legal Location (W4M),Land Use,Issue(s),Notes,Recommendation(s),VEC,GIS,Topic
NW 34-94-7 to SW 10-97-7,Treed,Poor to moderate vegetation establishment,Poor to moderate vegetation establishment observed on right-of-way from KP 0.00 to KP 23.27 caused by natural revegetation practices and newly constructed linear disturbances that parallel and share the right-of-way.,Monitor vegetation growth in 2013.,,,
SE/NE 3-95-7,Treed Fen,Limited vegetation establishment,The wetlands from KP 0.50 to KP 0.72 and KP 0.79 to KP 1.95 were observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 3-95-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 0.72 to KP 0.79 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NE 3-95-7,Treed,"Rare plants – goldthread, weeds, trench crown","The rare plant species, goldthread, was not observed at KP 1.95.  The hydrology in the area appears to have been altered by the pipeline trench crowns within the pipeline corridor and the rare plant location was inundated with water.  One Noxious weed species, perennial sow-thistle, was observed at high density.","Further monitoring is recommended for rare plants in 2013. Monitor weeds in 2013, and, if warranted, implement weed control measures. Assess drainage in 2013 and, if warranted, install cross right-of-way drainage.",,,
SE 10-95-7,Shallow Open Water,"Limited vegetation establishment, construction debris",The wetland from KP 2.76 to KP 2.90 was observed to be in functional-at-risk condition due to limited vegetation re-establishment and construction debris along the right-of-way. See Plate 1.,Monitor wetland in 2013. Leave for natural recovery. Remove construction debris in wetland.,,,
NE 10-95-7 to NW 15-97-7,Treed Fen,Limited vegetation establishment,The wetland from KP 2.99 to KP 5.42 was observed to be in functional-at-risk condition due to limited vegetation re-establishment along the right-of-way.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 15-97-7 to SW 22-95-7,Shrubby Fen,Limited vegetation establishment,The wetland from KP 5.42 to KP 5.65 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
SW 22-95-7,Shallow Open Water,Limited vegetation establishment,The wetland from KP 5.78 to KP 5.80 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 22-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 6.83 to KP 7.11 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
NW 22-95-7,Treed Fen,Limited vegetation establishment,The wetland from KP 7.30 to KP 7.43 was observed to be in functional-at-risk condition due to limited vegetation re-establishment.,Monitor wetland in 2013. Leave for natural recovery.,,,
