Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 13-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Low vegetation density throughout this tract (0 – 50 % vegetation cover compared to off right-of-way). No secondary issues noted (e.g., erosion), no work recommended, continue to monitor vegetation recovery. Good emergence of willows, shrubs and aspen. - Alder, willow and poplar starting to infill; birdsfoot trefoil clumps, and grasses. - Adequate cross drains present and functional – no ponding present. - KP 0+000 (valve site), KP 0+150, KP 0+180, and KP 0+270 erosion, repairs recommended. Aug 26 – Aug 28, 2016 - KP 0+000 – remove filter bags and t-posts from treed area off right of way. Issue resolved. KP 0+000, KP 0+050, KP 0+180, and 0+270 – installed erosion control materials to repair erosion noted earlier in the growing season.","July 4, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot Trefoil, vetch, and clover. Previous year bare patches are starting to establish vegetation. Near end of track lower density of vegetation. Wheat grasses, timothy, willows, and aspens are also establishing. - KP 0+000. 0+050, and 0+270 previous year erosion implements are effective, still providing a purpose and vegetating. Issues resolved. - KP 0+180 erosion is still present, although previous erosion control effective. Recommend additional repairs. August 28, 2017 – KP 0+180 - Additional erosion control measures installed, issue resolved. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 – Vegetation is at 80 - 100% vegetation cover compared to off ROW controls. All previous vegetation cover issues resolved. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses.  - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - KP 0+180 erosion control is present and functioning. Biodegradable wattles are functional.",,,
NW 13-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Moderate establishment of vegetation throughout this tract (50 – 80 % vegetation cover compared to off right-of-way), with alder, willow and poplar infilling; moderate cover of birdsfoot trefoil clumps, yarrow, and grasses. Low vegetation issue noted in 2014 resolved. - KP 0+828 to 0+928 - Reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way), no secondary issues noted (e.g., erosion), no work recommended, issue resolved; Aug 29, 2016 - KP 0+700 – erosion noted, erosion repaired by hand and with installation of erosion control materials.","July 4, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. - KP 0+700 previous erosion control is effective and vegetating well. Issue resolved. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW controls. All previous vegetation cover issues resolved. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses.  - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - No noxious weeds identified in this ¼.",,,
SW 24-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Moderate establishment of vegetation throughout this tract (50 – 80 % vegetation cover compared to off right-of-way); alder, willow and poplar infilling; moderate cover of birdsfoot trefoil clumps, yarrow, and grasses. Low vegetation issue noted in 2014 resolved.","July 4, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - KP 0+700 previous erosion control is effective and vegetating well. Issue resolved. - Natural line of sight barrier establishing at KP 1+000 due to willow growth.  - KP 1+470 - Sink hole observed, recommend repairs.  August 28, 2017 – KP 1+470 – Sink hole repair completed, issue resolved. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW controls. All previous vegetation cover issues resolved. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses. - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - KP 1+000 natural line of sight break from excellent establishment of aspen and alders.  - KP 1+470 previous sink hole. Repairs are effective sink hole no longer present and vegetation is establishing.  - No noxious weeds identified in this ¼.",,,
SW 24-96-5 W6,Rare Plant (KP 1+500),"No scalloped moonwort (S1) were observed on July 30, 2014. Habitat has been restored to suitable conditions for this species at this location. Further monitoring recommended.","Aug 21, 2016 - Species not observed at recorded pre-disturbance location. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions. Further monitoring at this site is not recommended. Issue resolved.","Additional monitoring commitment made in May 17, 2017 NEB IR response.","July 30, 2018 - Two individuals were observed at the reported pre-disturbance location. Mitigation for this rare plant occurrence is considered to have been effective, and this site is considered resolved.",,,
SE 23-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Good vegetation establishment of birdsfoot trefoil, grasses and some American vetch (High; 80 – 100 % vegetation cover compared to off right-of-way). Shrubs, willows and aspen establishing throughout the right of way. Low vegetation issue noted in 2014 resolved. - KP 1+970 – Drainage – Stable with established vegetation, moderate flow identified at this time.  - T-post and rope delineation was removed from riparian area on north side of watercourse crossing. - Adequate cross drains present and functional – no ponding present. - KP 2+540 – Marker post requires repairs. July 12, 2016 – Intermittent herbicide application conducted to control scentless chamomile (Low; 0 – 10 % cover). Aug 29, 2016 - Scentless chamomile was identified (Low; 0 – 10 % cover) on the south side of the watercourse crossing, recommend implementation of control measures. - KP 2+540 – Marker post repaired, issue resolved. Sept 19, 2016 - KP 2+380 – Herbicide application conducted to control scentless chamomile (Low; 0 – 10 % cover).","July 4, 2017 - Vegetation cover on the RoW is 65- 80% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - KP 0+700 previous erosion control is effective and vegetating well. September 30, 2017 - No noxious weeds were observed. All previous weed issues resolved.","July 19, 2018 – Vegetation is at 80 - 100% vegetation cover compared to off ROW controls. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses.   - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - No noxious weeds identified in this ¼.",,,
SE 23-96-5 W6,Unnamed tributary to Midget Creek (KP 2+400) Low Vegetation Establishment,Low vegetation establishment observed on approach slopes of watercourse.,"July 8, 2016 - Pipeline marker posts and pipeline identification signs require repairs. - The watercourse has sediment deposition from high flow event, monitor in 2017. - Sediment fencing present and no longer required, recommend removal. Aug 29, 2016 - Marker posts repaired on both sides of watercourse and all sediment fencing removed, issues resolved.","July 4, 2017 - KP 2+400 unnamed tributary to Midget Creek. Banks are stable and vegetating well.","July 19, 2018 - KP 2+400 Unnamed tributary to Midget Creek.  - Vegetation is 80-100% cover compared to off RoW.  - Banks are stable and vegetation such as willows and grasses establishing.  - Good cobble distribution within channel, no erosion.",,,
SW 23-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Good vegetation establishment of birdsfoot trefoil, grasses and some American vetch (High; 80 – 100 % vegetation cover compared to off right-of-way). Shrubs, willows and aspen establishing throughout the right of way. Intermittent areas of reduced vegetation cover (Moderate; 50 – 80 % vegetation cover compared to off right-of-way), no secondary issues noted (e.g., erosion), no work recommended, issue resolved. 2014 issue of low vegetation cover is resolved. - KP 2+700 – Sediment fence recommended for removal. - KP 2+800 to 3+125 – Scentless chamomile was identified along ditchline (Low; 0 – 10 % cover), 2 garbage bags were filled today by hand picking larger plants, recommend herbicide application for emerging weeds. - KP 2+840 – Perennial sow thistle was identified (Low; 0 – 10 % cover), recommend herbicide application. - Adequate cross drains present and functional – no ponding present. July 10, 2016 - KP 2+800 to 3+125 - Scentless chamomile (Low; 0 – 10 % cover) controlled through combination of hand picking mature plants and herbicide application on emerging plants. July 12, 2016 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle (Low; 0 – 10 % cover). Aug 29, 2016 - KP 2+700 – removed sediment fence, issue resolved. Sept 19, 2016 - KP 2+920 – 3+150 – Intermittent herbicide application to control emergent scentless chamomile (Low; 0 – 10 % cover).","July 4, 2017 - 80-100% overall vegetation establishment throughout this tract, consisting of brome, wheatgrass, sedges, timothy; birdsfoot trefoil, sweet clover and alsike clover. Establishing willows and alders are beginning to create natural visual barriers within sections of the right of way - KP 3+030 – 1 scentless chamomile (juvenile) was observed, plant was picked and bagged for removal. July 24, 2017 – KP 2+850 and 3+020 – Herbicide application conducted to control scentless chamomile and perennial sow thistle. Issue resolved. September 30, 2017 – No noxious weeds identified. Effective weed control observed, issue resolved.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW controls. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses.   - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - No noxious weeds identified in this ¼. Previous noxious weed issues resolved.",,,
SE 22-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 9, 2016 - Low vegetation density (0 – 50 % vegetation cover compared to off right-of-way) throughout the majority of this tract, no secondary issues noted (e.g., erosion), no work recommended, continue to monitor vegetation recovery. Good emergence of willows, shrubs and aspen. - KP 3+620 – Ponding water noted, cross drain required. - KP 3+640 – Marker posts require repairs. Aug 29, 2016 - KP 3+620 – Cross drain dug by hand, issue resolved. - KP 3+640 – Marker posts repaired.","July 4, 2017 - Vegetation establishment is 80-100% compared to off right of way. Establishment of brome, wheatgrass, sedges, timothy, cotton grass, bulrushes and cattails are evident within low wet areas  - KP 3+660 – Scentless chamomile observed, recommend weed control. July 24, 2017 – KP 3+660 – Herbicide application conducted to control scentless chamomile. Issue resolved. September 30, 2017 – No noxious weeds identified. Effective weed control observed, issue resolved.","July 19, 2018 - Vegetation is at 80-100 % vegetation cover compared to off ROW controls. Vegetation is dominated by bird’s foot trefoil but also contains grasses, sedges, willows, wild raspberry, common cattails, yarrow, tall larkspur, clover, vetch, and mosses.   - Aspen and alders are encroaching from off RoW. Good sign of land use recovery within RoW. Good establishment of willows in lower elevation areas. - Trench crown is present and stable. - Cross drains are present and functioning no ponding water observed.  - No erosion or subsidence was observed.  - No noxious weeds identified in this ¼. All previous noxious weed issues resolved.",,,
SW 22-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 9, 2016 – Mix of moderate (50 – 80% vegetation cover compared to off right-of-way) and poor (0 – 50 % vegetation cover compared to off right-of-way) vegetation on right of way, continue to monitor vegetation recovery. - Minor erosion rills along ditch line in sloped areas were observed. Minor rills will not be an issue once vegetation establishes. No work required. Monitor vegetation recovery. - Diversion berms in ¼ are vegetating and functional. - Drainage at 5+150 has two streams that come to a confluence just on work side of ditch line. Area is well vegetated. - Sediment fencing to be removed on either side of drainage. - Signs and marker posts require repairs. - No noxious weeds were observed in this ¼. Aug 20 and 29, 2016 - KP 5+170 – removed sediment fence and repaired marker posts and signs, issue resolved.","July 5, 2017 - 65-80%% overall vegetation establishment throughout this tract, consisting of intermittent patches of brome, wheatgrass, birdsfoot trefoil and alsike clover. Good establishment of willows and alders in areas is generating natural visual barriers. Good establishment of grasses, sedges and cattails within low, wet areas. 2014 low vegetation issue resolved. - Minor erosion rills noted in 2016 are no longer evident, issue resolved. - Diversion berms are stable in this tract, with no erosion identified. - KP 5+130 – drainage – bed and banks of drainage are stable and well vegetated. Considerable flow is identified at present. The additional channel previously identified, presently exhibits moderate flow. The channel is establishing vegetation within. Aggregate exists within the bed of the channel, mitigating scouring of bed. - No noxious weeds were identified in this tract. September 30, 2017 - No noxious weeds were observed.","July 19, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, aspens, alders, raspberry, and birds-foot trefoil. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Observed moderate water flow at drainage ditch at KP 5+160. Ditch bank was completely vegetated in grasses and sedges.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 22-96-5 W6,Treed Fen (KP 4+300 to 4+450),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include: • pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 9, 2016 - Wetlands vegetating quite well with wetland grasses, shrubs and willows on the majority of the wetland (High; 80 – 100 % vegetation cover compared to off right-of-way). There is open ponded water on both sides of ditch line but cross drains are in place to allow for proper migration.","July 8, 2017 - Treed fen on RoW from KP 4+300 to 4+450 is at proper functionality and appears stable. - Vegetation establishment within wetland is 80-100% compared to off RoW. Dominant vegetation consisting of herbaceous graminoids with emerging willows throughout. - No noxious weeds were observed in wetland. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table resulting in saturated soils and standing water throughout. - No subsidence or erosion was observed in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off RoW Black Spruce and Pine to emerge onto RoW over time, retaining species diversity. Wetland showing good habitat potential for wildlife.","July 17, 2018 - Treed Fen on RoW from KP 4+300 to KP 4+450 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off RoW control. Vegetation throughout wetland is present on a floating mat of substrate.  - Vegetation throughout wetland on RoW consisting of graminoids (sedges, rushes & grasses), sphagnum mosses and common cattail. Good establishment of willow shrubs throughout wetland. Labrador tea, lodgepole pine saplings and spruce saplings infilling along RoW edges. Excellent establishment of hydrophytic vegetation throughout wetland.  - No noxious weeds were identified within wetland. - Trench crown present through wetland with sufficient cross-drains for hydrology to be maintained across the RoW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring on and off RoW. Substrate samples showed peat accumulation but approximate depth proved to be difficult due to substrate saturation. - Substrate within wetland exhibiting fully-saturated conditions with the water table residing at the ground surface standing water throughout (depth 10-50cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species were observed in wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the RoW. Coniferous trees will continue to infill onto RoW over time.",,,
