Legal Location,1st Year (2013) Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 33-62-7 W6,Shallow open water: artificially created pond,"June 22, 2014 - emergent and submergent vegetation present along south edge.","June 25, 2015 - Submergent and emergent vegetation present around entire pond aquatic  - Vegetation establishing well. - Amphibians present.","June 30, 2016 - has well established semi-aquatic vegetation (cattails, horsetail, and sedges, reeds) and surrounded by well-established (>95% cover) terrestrial vegetation; - water was clear which indicates a lack of sedimentation inflow from recent rains; this water provides a wildlife use source; - over flow, if any, would go to the south; - wetland is on a trajectory to reaching pre‑construction functional condition.","June 21, 2017 - Open water pond at KP 0+100 to 0+130 observed on ROW appears stable.  - Vegetation successfully established within pond, showing 80-100% comparable to off ROW control. Good establishment of submergent and emergent grasses and rushes. - Surface water presence indicates that hydrology is maintained. - Substrate is healthy as vegetation is establishing uniformly throughout pond. - Wetland is stable and at pre-construction functionality. - No subsidence, erosion or weed issues observed in wetland.",,,
NW 33-62-7 W6,Moderate vegetation establishment,"June 22, 2014 - 70-75% vegetation established compared to off ROW. - Sparsely vegetated areas along ditchline. - Cross drains working effectively to drain water off ROW.","June 25, 2015- Vegetation coverage approximately 80%, mostly grasses.  Some bare patches on ROW exist, due to woody debris.  - Diversion berm/ditches are functioning and vegetating.","June 30, 2016- - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated.","June 21, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control. Good establishment of grasses, willows and broadleaf shrubs. - No noxious weeds were observed in tract. - Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 15, 2017 – Intermittent herbicide application to control meadow hawkweed. September 12, 2017 - No noxious weeds observed in ¼. Issue resolved.",,,
NE 33-62-7 W6,Moderate vegetation establishment,"June 22, 2014 - 60-65% vegetation established compared to off ROW. - Extensive areas of bare soil along ditchline. - Cross drains working effectively to drain water off ROW. - Drainage located at KP 0+630. - Vegetation is well established along banks and erosion control measures installed are functional.","June 25, 2015- Vegetation coverage approximately 80%, mostly grasses. - Some bare patches on ROW exist may be attributed to woody debris.  - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Some ponding water evident adjacent new construction,  - KP 0+800 replace missing sign and post on pipeline markers August 20, 2015 – pipeline marker posts replaced and sign repaired, issue resolved.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. August 10, 2016 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 0+885)","June 21, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control. Good establishment of grasses, willows and broadleaf shrubs. - No noxious weeds were observed in tract. Previous year herbicide application appears to have been effective. - Cross drains are functioning well. - Drainages through tract are stable and functioning well. - Repaired marker post at KP 0+790, issue resolved - No subsidence or erosion issues evident in tract. July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 12, 2017 – meadow hawkweed is no longer evident, issue resolved. - KP 0+875 – herbicide application conducted to control small patch of perennial sow thistle, issue resolved.",,,
NE 33-62-7 W6,Watercourse crossing: unnamed tributary to Seymour Creek - KP 1+023,"June 22, 2014 - Minor subsidence located on west bank of the tributary, monitor","June 25, 2015- Vegetation established on banks no signs of erosion.  - Deciduous species emerging from within revetment banks.  - Ponding on ditch line - recommend cobble redistribution. August 20, 2015 – cobble redistributed, issue resolved.","June 25, 2015- Vegetation established on banks no signs of erosion. Subsidence noted in 2014 is no longer evident, issue resolved. - Deciduous species emerging from within revetment banks.  - Ponding on ditch line - recommend cobble redistribution.","June 21, 2017 - WC1 stable. Banks show 80-100% vegetation cover with good establishment of grasses. - Watercourse is shallow and wide across ROW. - Low flow observed through watercourse, ponding on ditch line no longer evident, issue resolved.",,,
NW 34-62-7 W6,Treed bog,"June 21, 2014 - Vegetation is well established in treed bog located at KP 1+700. - Silt fence is in place at KP 1+700 - Silt fence is functional at time of assessment.","June 25, 2015 - Low areas of moderate vegetation establishment on ROW adjacent ditchline.  - Standing water and aquatic plants present - sedges and rushes.  - Deciduous species establishing well on ditchline.  Diversion berms are moving water across ROW.","June 30, 2016 - This is a perched basin wetland surrounded pine and poplar; - this wetland is currently stable with well-established (>95%) willow and grass species;  - the area is dependent on local water inflow and may regress, naturally, under drought condition; - there was no standing water; no evidence of cross drainage hydrology issues; - wetland is on a trajectory to reaching pre‑construction functional condition","June 21, 2017 - Treed bog at KP 1+550 to 1+600 observed on ROW appears stable.  - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of mosses, rushes, grasses and willows. - Trench crown through wetland has naturally settled over the years but remains stable. - No significant ponding issues observed in wetland. - Good depth of peat and moss growth on soils indicates substrate stability is maintained. - High moisture content in soils indicates hydrology is maintained. - Wetland is stable and at pre-construction functionality; conifers will begin to emerge on ROW over time. - No subsidence, erosion or weed issues observed in wetland.",,,
,Moderate vegetation establishment,"June 21, 2014 - 70-75% vegetation establishment.","June 25, 2015 - Vegetation coverage approximately 80%, mostly grasses. Some bare patches on ROW. - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms tied in from new construction are functioning but may require contouring. - KP 1+600 - minor erosion on ditchline. August 20, 2015 – installed erosion control materials (straw wattles), monitor in 2016. Reset pipeline markers and sign at KP 1+860.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. Some minor ponding due to adjacent line contour and tie in. - Previously noted erosion at KP 1+600 is no longer evident, issue resolved. - Trace amounts of Buttercup was identified and picked at KP 2+250. Monitor.  August 10, 2016 – Intermittent herbicide application conducted to control meadow hawkweed and Canada thistle.","June 21, 2017 - Vegetation establishment throughout tract is 80-100% comparable to off ROW control. Good establishment of grasses, willows and broadleaf shrubs.  - No noxious weeds were observed in tract. Previous year herbicide application appears to have been effective. Tall buttercup (KP 2+250) issue resolved. - Trench crown remains functional and well vegetated. - Cross drains are functioning well. - No subsidence or erosion issues evident in tract. July 15, 2017 - Intermittent herbicide application conducted to control meadow hawkweed. September 12, 2017 - KP 1+840, Canada thistle individual observed and controlled via herbicide application. Issue resolved. -meadow hawkweed is no longer evident, issue resolved",,,
NE 34-62-7 W6,Treed fen,"June 21, 2014- 70-75% vegetation establishment. - Poorly contoured ground at KP 2+200 has caused water to pond on south side of ditchline. - Silt fencing is in place on west edge of fen at KP 2+550. - Silt fence is non-functional and could be removed at any time. - Erosion rill present at ditchline at KP 2+900, no berms installed along slope - continue to monitor. July 17, 2014 - Removed silt fence material at KP 2+550, issue resolved.","June 25, 2015 - Good vegetation establishment on ROW adjacent ditchline, - Standing water and aquatic plants present - sedges and rushes.  - Deciduous species establishing well on ditchline.  - Diversion berms are moving water across ROW – monitor for appropriate flow after adjacent construction cleanup. - no erosion noted during assessment. Issue noted at KP 2+900 is no longer evident, issue resolved.","June 30, 2016 - this is a cleared black spruce wetland; - areas of standing water; no evidence of cross drainage hydrology issues, ponding issue noted in 2014 at KP 2+200 is no longer present, issue resolved. - vegetation is well established (>95%), with grasses, willows and occasional cattails; - wetland is on a trajectory to reaching pre‑construction functional condition; - Successional development of willow, black spruce and tamarack will occur over time as seen by the willow growth has on the older right-of-way.","June 21, 2017 - Treed fen at KP 2+500 to 2+930 observed on ROW stable. - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, mosses and willows throughout wetland. - Trench crown through wetland has naturally settled over the years but remains stable. - Good depth of organic soils and vegetation growth indicate substrate is maintained. - High moisture content in soils and the high water table indicate hydrology is maintained. - Wetland is stable and at pre-construction functionality; conifers will begin to emerge on ROW over time. - No subsidence, erosion or weed issues observed in wetland.",,,
NE 34-62-7 W6,Moderate vegetation establishment,No issues noted,"June 25, 2015 - Vegetation coverage approximately 85%, mostly grasses.  - Signs of ATV activity exist bordering new construction side of ROW.  - Diversion berms tied in from new construction are functioning but may require contouring. - Ponding water throughout.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. Ponding water noted in 2015 is no longer evident, issue resolved. August 10, 2016 - KP 2+360 signs and posts require repairs.","June 21, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Vegetation consists mainly of grasses, willows, and clover.  - KP 2+360 marker posts and signage have been repaired. Issue resolved.  - KP 2+950 - perennial sow thistle identified and handpicked, bagged, and disposed of. - Cross drains well vegetated and stable slopes.  July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - No noxious weeds observed in ¼. All noxious weed issues resolved.",,,
NW 35-62-7W6,Moderate vegetation establishment,"June 22, 2014 - 60-65% vegetation established compared to off ROW. - Portion of ROW is located within a clear-cut block. - Large areas of bare soil attributed to disturbed soils and mulch present along ditchline, potentially impeding vegetation growth. July 17, 2014 - Implemented straw waddle erosion control material within rill erosion on west facing hill slope (KP 3+000 to KP 3+040).","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Deciduous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - A strip of coarse woody debris was observed along the southern edge of the ROW. Likely from the adjacent new construction. - Signs of ATV activity were noted. - Silt fence associated with the new construction to the south, has failed at KP 3+220, resulting in sediment being deposited across the ROW. - The erosion control measures implemented last year, at KP 2+900 to 3+030, appear successful. New construction tied in with a cross drain and silt fence on the opposite side of their ROW. Appears to be functioning well. Issue resolved. August 20, 2015 – Reset pipeline markers and sign at KP 3+200.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. Some minor ponding due to adjacent line contour and tie in.  August 10, 2016 – Intermittent herbicide application conducted to control meadow hawkweed.","June 21, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Vegetation is consisting mainly of grasses, willows, and clover. - Cross drains well vegetated and stable banks functioning well.  - No weeds identified July 15, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 - KP 3+740, individual nodding thistle observed and controlled via herbicide application. Issue resolved. -meadow hawkweed is no longer evident, issue resolved",,,
NE 35-62-7 W6,Moderate vegetation establishment,"June 22, 2014 - 65-75% vegetation cover on ROW compared to off ROW control. Extensive areas along ROW exhibiting bare areas with vegetation just starting to establish. - Poor drainage evident along ditchline (KP 3+800 to KP 3+875), Intermittent ponding. Minimal flow of water out of ponding to low area off ditchline to the southwest. Continue to monitor, may need to implement cross drain if problem escalates in magnitude. - Significant area of relatively bare vegetation cover from KP 4+080 to KP 3+930. Extensive woody debris present within area. Continue to monitor","June 25, 2015 - Vegetative coverage approximately 80%, mostly grasses. Deciduous species are establishing on the ROW. - Diversion berm/ditches are functioning and vegetating. - Intermittent areas of minor subsidence observed along ditch line. Monitor. - Coarse woody debris identified throughout the ROW. Monitor. - A strip of coarse woody debris was observed along the southern edge of the ROW, from the adjacent new construction. - Signs of ATV activity were noted. - Pipeline marker sign at KP 4+100 crooked/falling over. Recommend re-establishing. August 20, 2015 – Reset pipeline marker sign at KP 4+100. Issue resolved.","June 30, 2016 - Good vegetation coverage compared to off ROW consisting mainly of grasses and clover. All previous vegetation cover issues resolved. -Cross drains and roach drains functioning effectively and well vegetated. - Previously noted areas of Intermittent subsidence and poor drainage (KP 3+800 to 3+875) are no longer evident, issues resolved. August 10, 2016 – Intermittent herbicide application conducted to control meadow hawkweed.","June 21, 2017 - Vegetation cover on the ROW is 80 - 100% compared to the off ROW control. Vegetation is consisting mainly of grasses, willows, and clover.  - Cross drains well vegetated, and stable slopes. - No weeds identified.",,,
