Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 3-109-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs within the portion of this tract south of facility (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 0+065 – Perennial sow thistle (Low; 0 – 10 % cover) observed outside of Moody Creek Compressor Station, control measures recommended. July 25, 2016 – Herbicide application conducted to control perennial sow thistle.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. Previous weed issues resolved. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 28, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. - Vegetation consists of various grasses, cattail, rush, sedges, alder and aspen - No noxious weeds were identified in ¼. - Cross-drains functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 3-109-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). . Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present - KP 0+530 – Pipeline signs and marker posts loose / leaning – recommend repairs. - KP 0+950 – Part of a digging mat remains in ditch alongside Baseline Road – requires removal. Sept 22, 2015 – KP 0+530, 0+950, and 0+980 – Pipeline identification signs and marker posts were repaired, issues resolved. Sept 25, 2016 - KP 0+980 – Part of digging mat along Baseline Road was removed and disposed of, issue resolved.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 28, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control.  - Vegetation consists of various grasses, yellow rattle, tamarack, alder, willow, aspen, raspberry, Labrador tea, and planted white spruce. - KP 0+195 - Perennial sow thistle observed, recommend herbicide application. - KP 0+520 – Steel cable observed, recommend removal. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4. Aug 9, 2018 – KP 0+195 – Herbicide application conducted to control perennial sow thistle. - KP 0+520 – Steel cable removed, issue resolved.",,,
,Mixedwood Treed Swamp (0.40 to 0.46),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Swamp on ROW from KP 0+400 to 0+460 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting saturated conditions as indicated by intermittent areas of standing water. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","July 28, 2018 - Treed Swamp on ROW from KP 0+400 to KP 0+460 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), alder and sphagnum mosses. Excellent establishment of hydrophytic vegetation throughout wetland including common cattail, common Mares tail, scouring rush, marsh cinquefoil, vernal water starwort and duckweed.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland but has slightly settled as a result of hydrological influence. Sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Strong organic scent emitted from any disturbance of the saturated substrate indicating successful decomposition of plant material from bacteria. Humification occurring throughout (accumulation of leaf litter). - Substrate within wetland exhibiting fully-saturated conditions with the water table at the ground surface. Standing water present throughout the entire wetland (depth 5-15cm).  - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Treed Fen (0.50 to 0.75),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Treed fen on ROW from KP 0+500 to 0+750 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting saturated conditions as indicated by intermittent areas of standing water. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","July 28, 2018 - Treed Fen on ROW from KP 0+500 to KP 0+750 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), alder, horsetails, yellow rattle, buck brush, Labrador tea, reindeer lichen, willow and sphagnum mosses. Excellent establishment of hydrophytic vegetation throughout wetland including common cattail, common Mares tail, scouring rush, marsh cinquefoil, vernal water starwort and duckweed. Tamarack and spruce saplings infilling across the width of the ROW.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Strong organic scent emitted from any disturbance of the saturated substrate indicating successful decomposition of plant material from bacteria. Humification occurring throughout (accumulation of leaf litter). Some peat accumulation in slightly elevated areas (including the roach) of wetland with mottling occurring. Proper depth of peat unable to be determined due to saturation level of wetland. - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table at or slightly below the ground surface. Intermittent standing water present throughout the wetland (depth 5-15cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
SW 3-109-12 W6 to  NW 34-108-12 W6,Treed Fen (0.80 to 1.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Treed Fen on ROW from KP 0+800 to 1+400 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. Hydrophytic vegetation emerging throughout wetland (common cattail).  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting saturated conditions as indicated by intermittent areas of standing water and hydrophytic vegetation. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","July 28, 2018 - Treed Fen on ROW from KP 0+800 to KP 1+400 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. Majority of vegetation establishing on a mat of substrate from KP 1+000 to KP 1+400. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), yellow rattle, common great bulrush, marsh grass paranassus, willows and mosses. Excellent establishment of hydrophytic vegetation throughout wetland including common cattail, scouring rush, marsh cinquefoil, vernal water starwort and pondweed. Labrador tea and black spruce saplings infilling on ROW edges. Some areas within wetland on elevated roach exhibiting higher density of sweet clover and alsike clover.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Strong organic scent emitted from any disturbance of the saturated substrate indicating successful decomposition of plant material from bacteria. Humification occurring throughout (accumulation of leaf litter). Some peat accumulation in slightly elevated areas (including the roach) of wetland with mottling occurring. Proper depth of peat unable to be determined due to saturation level of wetland. - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table at or slightly below the ground surface. Intermittent standing water present throughout the wetland (depth 5-15cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
NW 34-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). . Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present. - KP 1+000 and 1+500 – Marker post loose / leaning, repair recommended. Sept 22, 2015 - KP 1+000 and 1+500 – Pipeline identification sign and marker posts repaired, issue resolved.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified. - Rollback and mounding was identified and in good working conditions providing access control and is vegetating well.","July 28, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Alder has covered the majority of the work side of the ROW. Heights of trees in excess of 10 feet (3 meters)  - Vegetation consists of various grasses, cattail, rush, sedges, raspberry, willow, alder and aspen - KP 0+980 to 1+375 – Perennial sow thistle observed intermittently, recommend herbicide application. - Rollback present from KP 1+000 to 1+040 for access control. Vegetation in rollback consists mostly of grasses. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4. Aug 9, 2018 – KP 0+980 to 1+375 – Intermittent herbicide application conducted to control perennial sow thistle.",,,
NW 34-108-12 W6,Shrubby Fen (1.40 to 1.50),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Shrubby Fen on ROW from KP 1+400 to 1+500 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting semi-saturated conditions as indicated by progression of vegetation throughout. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","July 28, 2018 - Shrubby Fen on ROW from KP 1+400 to KP 1+500 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. Wetland vegetation growing on mat of substrate. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), willows, field dock, and sphagnum mosses. Excellent establishment of hydrophytic vegetation throughout wetland including common cattail, arum-leaved arrowhead, common Mares tail and marsh cinquefoil.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland but has slightly settled from hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Strong organic scent emitted from any disturbance of the saturated substrate indicating successful decomposition of plant material from bacteria. Humification occurring throughout (accumulation of leaf litter). - Substrate within wetland exhibiting fully-saturated conditions with the water table at the ground surface. Standing water present throughout entire wetland (depth 10-15cm). - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Treed Fen (1.50 to 1.74),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 20, 2016 - Progressive succession of wetland vegetation establishment observed (High; 80 – 100 % vegetation cover compared to off right-of-way), indicating that the wetland is functional. - Adequate cross drains present and functional – no ponding present.","August 18, 2017 - Treed Fen on ROW from KP 1+500 to 1+740 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting semi-saturated conditions as indicated by progression of vegetation throughout. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed","July 28, 2018 - Treed Fen on ROW from KP 1+500 to KP 1+740 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. Elevation of terrain is slightly increasing moving south along the ROW.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. Wetland vegetation growing on mat of substrate. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), willows, horsetails, alder, reindeer lichen and sphagnum mosses. Moving south, vegetation cover consists of spruce saplings, tamarack saplings. Labrador tea and bog cranberry.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland but has slightly settled from hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring throughout entire wetland. Peat moss increasing moving south with mottling occurring within the substrate. - Substrate within wetland exhibiting semi-saturated conditions with the water table slightly below the ground surface. No standing water present through wetland. - Wetland providing good habitat opportunities through good vegetation cover and sufficient snags. Several bird and amphibian species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
SW 34-108-12 W6,Treed Fen (1.80 to 1.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 18, 2017 - Treed Fen on ROW from KP 1+800 to 1+900 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with the emergence of deciduous tree species on ditch roach. - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy throughout wetland via uniform vegetation cover. - Wetland exhibiting saturated conditions as indicated by intermittent areas of standing water. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","July 28, 2018 - Treed Fen on ROW from KP 1+800 to KP 1+900 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), alder, willow, common cattail and horsetails. - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW. No issues of hydrologic connectivity were noted. - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. Strong organic scent emitted from any disturbance of the saturated substrate indicating successful decomposition of plant material from bacteria. Humification occurring throughout (accumulation of leaf litter). Some peat accumulation in slightly elevated areas (including the roach) of wetland with mottling occurring. Proper depth of peat unable to be determined due to saturation level of wetland. - Substrate within wetland exhibiting semi- to fully-saturated conditions with the water table at or slightly below the ground surface. Intermittent standing water present throughout the wetland (depth 5-10cm).  - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird species observed using wetland. Evidence of mammal use also present throughout wetland.  - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
SW 34-108-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 20, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this tract (High; 80 – 100 % vegetation cover compared to off right-of-way). Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.","July 21, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Considerable establishment of grasses, willows, alders, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract. - Cross drains functioning well no ponding water identified.","July 28, 2018 - Vegetation at 80 - 100% vegetation cover compared to off ROW control. Alder has covered the majority of the work side of the ROW. Vegetation consists of various grasses, raspberry, yarrow, alder, aspen and willow. - KP 1+920 – Perennial sow thistle observed, recommend herbicide application. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4. Aug 9, 2018 – KP 1+920 – Herbicide application conducted to control perennial sow thistle.",,,
