Legal Location (W6M),Land Use,Condition/ Issues Noted (Rating),"KP<s> (a), (b) </s>",Notes,Recommendation(s),VEC,GIS,Topic
NW 03-064-07,Forested,None,0+000 to 0+200,"• good vegetation establishment was noted throughout the quarter section (Photo 13, Appendix C)",None,,,
SW 03-064-07,Forested,Moderate to High Issues with Plant Growth (moderate),0+200 to 1+180,• intermittent decreased percent cover of vegetation was noted throughout the quarter section (approximately patches of 100-200 m of decreased percent cover of vegetation),Monitor in 2017,,,
SW 03-064-07,Forested,Noxious Weeds (moderate),0+200 to 1+180,• populations of perennial sow thistle (Sonchus arvensis) were noted,Monitor in 2017 and implement weed control as required,,,
NE 28-063-07,Forested,Moderate to High Issues with Plant Growth (high),3+050 to 3+765,• decreased percent cover of vegetation was noted throughout the quarter section,Monitor in 2017,,,
NE 28-063-07,Forested,Noxious Weeds (low),3+450,"• two scentless chamomile (Tripleurospermum inodorum) individuals were on the slope. • picked and disposed of properly on July 26, 2016",Monitor in 2017 and implement weed control as required,,,
SE 28-063-07,Forested,None,3+765 to 4+220,"• good vegetation establishment (Photo 14, Appendix C)",None,,,
SE 28-063-07,Forested,Temporary Ponding (moderate),3+940,"• temporary ponding was noted against the roach (Photo 1, Appendix C) • issue repaired fall of 2016 (Photo 2, Appendix C)",Monitor in 2017,,,
SE 28-063-07,Forested,Moderate to High Issues with Plant Growth (high),4+220 to 4+645,• decreased percent cover of vegetation was noted throughout the remainder of the quarter section • sparse areas of establishing native vegetation were observed,Monitor in 2017,,,
SE 28-063-07,Forested,Temporary Ponding (moderate),4+500,"• ponding was noted against the roach (Photo 3, Appendix C) • issue repaired fall of 2016 (Photo 4, Appendix C)",-Monitor in 2017,,,
SE 28-063-07,Forested,Erosion Control,4+620,• silt fencing was down on the ROW • silt fencing repaired fall of 2016,-None,,,
NE 21-063-07,Forested,Moderate to High Issues with Plant Growth (moderate),4+645 to 5+575,• decreased percent cover of vegetation was noted throughout the quarter section • sparse areas of establishing native vegetation were observed,Monitor in 2017,,,
SE 21-063-07,Forested,Moderate to High Issues with Plant Growth (moderate),5+575 to 6+485,"• intermittent decreased percent cover of vegetation was noted throughout the quarter section (Photo 17, Appendix C) • sparse areas of establishing native vegetation were observed",Monitor in 2017,,,
NE 16-063-07,Forested,Moderate to High Issues with Plant Growth (high),6+485 to 6+500,• decreased percent cover of vegetation was noted throughout the quarter section • sparse areas of establishing native vegetation were observed•,Monitor in 2017,,,
NE 16-063-07,Forested,Moderate to High Issues with Plant Growth (high),6+500 to 7+340,• decreased percent cover of vegetation was noted throughout the quarter section • sparse areas of establishing native vegetation were observed,Monitor in 2017,,,
NE 16-063-07,Forested,Erosion (moderate),6+850,"• erosion control below the ground water seepage is effective (Photo 7, Appendix C) • erosion approximately 10 cm deep was noted across the ROW (above the ground water seepage and existing erosion control) • issue repaired fall of 2016 (Photo 8, Appendix C)",Monitor in 2017,,,
SW 16-063-07,Forested,Moderate to High Issues with Plant Growth (high),7+340 to 8+240,"• decreased percent cover of vegetation was noted throughout the quarter section, except around watercourse 1",Monitor in 2017,,,
SW 16-063-07,Forested,Noxious Weeds (low),7+570,"• populations of scentless chamomile (Tripleurospermum inodorum) were on the ROW (<20 individuals) • picked and disposed of properly on July 26, 2016",Monitor in 2017 and implement weed control as required,,,
SW 16-063-07,Forested,Rig Mat,7+940,• a rig mat is present on the ROW  • rig mat removed December 2016.,None,,,
SW 16-063-07,Forested,Watercourse (WC 1) unnamed tributary to Comeau Creek,8+175,"• no terrain instability (e.g., subsidence, erosion etc.) observed • good first-year vegetation establishment was observed for this watercourse crossing including surrounding the silt fencing (KP 8+175). • rollback was present surrounding the watercourse • Photo 25, Appendix C • silt fence removed fall of 2016",Monitor in 2017,,,
NW 09-063-07,Forested,Moderate to High Issues with Plant Growth (high),8+240 to 9+290,• decreased percent cover of vegetation was noted throughout the quarter section • sparse areas of establishing native vegetation were observed,Monitor in 2017,,,
NW 09-063-07,Forested,Noxious Weeds (moderate),8+500 to 9+100,• populations of scentless chamomile (Tripleurospermum inodorum) were noted throughout the quarter section,"Monitor in 2017 and implement weed control, as required.",,,
