Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,TERA Observation(s) in 2014,Repairs to Date  (2010 to 2014),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
NW 32-39-4,231.9 to 232.2,421,Vegetation - Establishment,High density of creeping (Canada) thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way.,Issue not assessed during 2013 survey. Status of issue amended to unresolved as a result of the 2012 NEB IR No. 1.,Unable to access due to road conditions. Enbridge is currently working with the landowner to revegetate this area. This issue was changed from a weed issue to an establishment issue in 2014 to more accurately reflect the current issue.,"Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Enbridge will continue working with landowner to resolve this issue. See Appendix B for details.,,W4M,Alberta
SW 32-39-4,232.2 to 232.9,422,Vegetation - Establishment,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way.,Issue not assessed during 2013 survey. Status of issue amended to unresolved as a result of the 2012 NEB IR No. 1.,Unable to access due to road conditions. Enbridge is currently working with the landowner to revegetate this area. This issue was changed from a weed issue to an establishment issue in 2014 to more accurately reflect the current issue.,"Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Enbridge will continue working with landowner to resolve this issue. See Appendix B for details.,,W4M,Alberta
SE 32-39-4,232.9 to 233.8,423,Vegetation - Establishment,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way. EI has requested additional observation in 2013 to ensure downy brome has not re-established.,"Site not assessed by TERA due to unsafe road conditions. Communication with EI has determined that weeds (downy brome) are still a concern at this site, however, are being managed by Enbridge Operations.",Unable to access due to road conditions. Enbridge is currently working with the landowner to revegetate this area. This issue was changed from a weed issue to an establishment issue in 2014 to more accurately reflect the current issue.,"Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Enbridge will continue working with landowner to resolve this issue. See Appendix B for details.,,W4M,Alberta
SW 23-38-2,260.3,473,Vegetation – Weeds,"High density of flixweed, kochia, foxtail barley, wild buckwheat and lamb's-quarters on construction right-of-way.",Moderate density of kochia and flixweed observed on construction right-of-way during ground reconnaissance.,"Moderate densities of kochia, flixweed and lamb's-quarters observed on construction right-of-way during ground reconnaissance. Patch is creeping into hay field.",Reseeded area is establishing well. An isolated patch of yellow toadflax exists in this area.,No weed issues observed on construction right-of-way.,"Tract sprayed in summer 2012 in preparation to reseed. Yellow toadflax was picked, bagged and disposed of in summer 2014.",Resolved,None.,,W4M,Alberta
NW 33-36-27,290.2 to 290.8,527,Soils - Subsidence,--,--,--,Not surveyed by TERA in 2013. Enbridge discussed this issue with the landowner in the fall of 2013. Course of action will be determined in spring 2014.,Subsidence reported by landowner in late fall. Enbridge will work with the landowner in 2015 to resolve the issue.,--,Unresolved,Enbridge will work with the landowner in 2015 to resolve the issue.,,W3M,Saskatchewan
NE 27-35-25,315.65 to 315.90,569,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"Weed densities, including Canada thistle, remain higher on the construction right-of-way than off.",No weed issues observed on construction right-of-way. 2013 hand spraying was successful.,Weeds sprayed in fall 2011 and summer 2012. 2013: Selective hand spraying of Canada thistle completed.,Resolved,None.,,W3M,Saskatchewan
SE 27-35-25,315.9 to 316.0,570,Vegetation - Weeds,"High density of foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, foxtail barley, gumweed and flixweed observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way.,"Weed densities, including Canada thistle, remain higher on the construction right-of-way than off.",No weed issues observed on construction right-of-way. 2013 hand spraying was successful.,Weeds sprayed in fall 2011 and summer 2012. 2013: Selective hand spraying of Canada thistle completed.,Resolved,None.,,W3M,Saskatchewan
NW 17-35-24,322.3,580,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Land fallow at time of survey. Unable to assess.,Issue not assessed in 2013 to avoid crop damages.,Not assessed by TERA in 2014 to avoid crop damage. Issue assessed following harvest by EI. EI indicated that no crop issues were observed and that the landowner has not expressed any concerns with the area.,--,Resolved,None.,,W3M,Saskatchewan
NW 17-35-24,322.3,580,Soils - Compaction,--,Moderate compaction observed on construction right-of-way during ground reconnaissance.,Land fallow at time of survey. Unable to assess.,Issue not assessed in 2013 to avoid crop damages.,Not assessed by TERA in 2014 to avoid crop damage. Issue assessed following harvest by EI. EI indicated that there was no evidence of compaction at this location. Soil and vegetation parameters were equal on and off the construction right-of-way. Compaction issue likely resolved by repeated freeze/thaw cycles and tillage. Landowner has not expressed any concerns with this area.,--,Resolved,None.,,W3M,Saskatchewan
NE 9-35-24,324.5 to 325.4,585,Vegetation - Weeds,--,"Moderate density of foxtail barley, absinthe, perennial sow-thistle, gumweed and kochia observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley and moderate density of gumweed was observed on the construction right-of-way during ground reconnaissance.,Foxtail barley present in higher densities on the construction right-of-way than off.,Weeds are present at a higher density on the construction right-of-way than off.,Reseeded in fall 2011. Canada thistle spot sprayed in summer 2012.,Unresolved,This issue will be managed as directed within the AAFC CPP Management Plan. See Appendix B for details.,,W3M,Saskatchewan
