Plot,Coordinates,Species,Size,Qty,Health,Additional Comments,VEC,GIS,Topic
W8a,17T0594737 4831881,Populus grandidentata,150 cm whip,1,Dead,1 dead,,,Bottomland Planting Zone
W8a,17T0594737 4831881,Larix laricina,150 cm whip,2,,,,,Bottomland Planting Zone
W8a,17T0594737 4831881,Salix sp.,150 cm whip,4,Good,,,,Bottomland Planting Zone
W8a,17T0594737 4831881,Ulmus americana,150 cm whip,1,Dead,1 dead,,,Bottomland Planting Zone
W8a,17T0594737 4831881,Sambucus Canadensis,Potted,7,Good,,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Acer saccharum,150 cm whip,3,Dead,2 dead,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Acer saccharum,300 cm whip,1,Good,,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Betula papyrifera,300 cm whip,1,Good,,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Juglans nigra,150 cm whip,3,Good,,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Populus grandidentata,40 cm cal.,11,Good,,,,Bottomland Planting Zone
W8b,17T0594737 4831881,Populus tremuloides,40 cm cal.,2,Good,,,,Bottomland Planting Zone
W8c,,Acer rubrum,60 mm cal.,5,Good,2 dead,,,Bottomland Planting Zone
W8c,,Populus grandidentata,40 cm cal.,2,Dead,2 dead,,,Bottomland Planting Zone
W8c,,Populus grandidentata,60 cm cal.,1,Good,,,,Bottomland Planting Zone
W8c,,Ulmus americana,60 cm cal.,1,Dead,1 dead,,,Bottomland Planting Zone
