Quarter Section,Tract,Land Use,Land ID,2014 Issue,2015 Issue,2016 Issue,2016 Recommendation,2017 Issue,2017 Recommendation,2018 Issue,2018 Recommendation,Recommendation Rationale,Year 5 PCEM Status,VEC,GIS,Topic
SW 11‐20‐01 W4M,BESK‐0001.3,Cultivated,LAND ID 002,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
NW 02‐20‐01 W4M,BESK‐0001.4,Cultivated,LAND ID 003,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 02‐20‐01 W4M,BESK‐0001.4,Cultivated,LAND ID 003,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 32‐19‐29 W3M,BESK‐0007.0,Cultivated,LAND ID 011,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 21‐19‐29 W3M,BESK‐0013.0,Cultivated,LAND ID 017,‐‐‐,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 21‐19‐29 W3M,BESK‐0013.0,Cultivated,LAND ID 017,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 15‐19‐29 W3M,BESK‐0018.0,Cultivated,LAND ID 022,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 15‐19‐29 W3M,BESK‐0018.0,Cultivated,LAND ID 022,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 11‐19‐29 W3M,BESK‐0022.0,Cultivated,LAND ID 026,Subsidence,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NW 11‐19‐29 W3M,BESK‐0022.0,Cultivated,LAND ID 026,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 11‐19‐29 W3M,BESK‐0024.0,Cultivated,LAND ID 028,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
