Biophysical Element,Legal Land Description (W6M) and Kilometre Post (KP),Land Use,Outstanding Issue,Potential Adverse Environmental Effect,Proposed Action and Schedule,VEC,GIS,Topic
Instability in Fill Materials,"SE 20-75-10, KP 1.0",Bush/Tame Pasture,Hydrovac holes,Altered natural drainage,Hydrovac holes were filled in September 2011. Monitor in 2012.,1. Physical Environment,,
Instability in Fill Materials,"SW 20-75-10,  KP 2.0",Tame Pasture,Hydrovac holes,Altered natural drainage,Hydrovac holes were filled in September 2011. Monitor in 2012.,1. Physical Environment,,
Instability in Fill Materials,"SE 22-75-11,  KP 7.7",Bush,Hydrovac holes,Altered natural drainage,Hydrovac holes were filled in September 2011. Monitor in 2012.,1. Physical Environment,,
Instability in Fill Materials,"SE 22-75-11,  KP 7.7",Bush,Poor contouring,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Erosion,"SW 19-75-10, KP 3.71 to KP 3.84",Wetland,Rill erosion,Altered natural drainage,Monitor in 2012.,1. Physical Environment,,
Lowering of Soil Productivity through Topsoil/Subsoil Admixing,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Loss of Topsoil through Wind Erosion,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Trench Subsidence,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 20-75-10, KP 1.0 to KP 1.4",Bush /Tame Pasture,Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"NE 14-75-11, KP 6.0 to KP 6.3",Bush,Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 22-75-11, KP 8.0",Bush,Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Weeds,"SW 19-75-10, KP 3.71 to KP 3.84",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds,"NW 14-75-11, KP 6.50 to KP 6.52",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds,"SE 22-75-11, KP 7.98 to KP 8.00",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds,"SE 22-75-11,  KP 8.1",Bush,Weeds,Reduced desired vegetation growth,Scentless chamomile was picked and disposed of in October 2011. Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species(cont’d),"SW 22-75-11, KP 8.36 to KP 8.40",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Alteration of Natural Flow Patterns,--,--,--,--,No environmental issues identified during the 2011 PCMP.,4. Water Quality and Quantity,,
Alteration of Fish and Fish Habitat along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,5. Fish and Fish Habitat,,
Increased Sedimentation,--,--,--,--,No environmental issues identified during the 2011 PCMP.,5. Fish and Fish Habitat,,
Alteration of Wetland Habitat along the Route,"SW 19-75-10, KP 3.71 to KP 3.84",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"NW 14-75-11, KP 6.50 to KP 6.52",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"SE 22-75-11, KP 7.98 to KP 8.00",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,6. Wetlands,,
Alteration of Wetland Habitat along the Route,"SW 22-75-11, KP 8.36 to KP 8.40",Wetland,Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,6. Wetlands,,
Alteration of Wildlife Habitat along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,7. Wildlife and Wildlife Habitat,,
Loss of Species at Risk or Species of Special Status,--,--,--,--,No environmental issues identified during preconstruction activities.,8. Species at Risk or Species of Special Status,,
Alteration of Air Quality along the Route,--,--,--,--,No environmental issues identified during preconstruction activities.,9. Air Quality,,
Alteration of the Acoustic Environment along the Route,--,--,--,--,No environmental issues identified during preconstruction activities.,10. Acoustic Environment,,
Loss or alteration of Heritage Resources along the Route,--,--,--,--,No environmental issues identified during the 2011 PCMP.,11. Heritage Resources,,
