Legal Location (W6),Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 24-68-7,Treed,None.,,"• June 11, 2014: • Vegetation establishment 90-95% comparable to off ROW for majority of tract. High abundance of Meadow Brome along ROW within tract.  • Depression evident near valve site, may be associated with foreign pipeline crossing. Continue to monitor later in 2014. • Abundance of amphibians present within tract. - No contouring issues evident within tract. - No subsidence issues evident within tract.  • June 23, 2014 - KP 0+000 to 0+150 was sprayed with herbicide to control Canada thistle and perennial sow thistle. • July 22, 2014: • a hydro vac slot trench remains on adjacent pipeline ROW on the north side of existing header – requires filling in • a small patch of perennial sow thistle remaining at the south end of tract that was not identified at time of herbicide application • Broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses do not indicate stressing. • July 28, 2014: • Previously identified hydro vac slot trench at North end of tract was filled. Issue resolved. • Previously identified perennial sow thistle at KP 0+050 and KP 0+150 were controlled mechanically.","• May 31, 2015 – Vegetation is comparable to off ROW control. Sow thistle and tall buttercup were observed, implementation of control measures recommended. • July 9, 2015 – intermittent herbicide application conducted to control perennial sow thistle, tall buttercup and Canada thistle from KP 0+000 to 0+150. • August 16, 2015 – Perennial sow thistle was mechanically controlled adjacent to cross drain. • August 31, 2015: • Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species. • Perennial sow thistle was observed on ditch line at KP 0+000 and 0+130. Fall herbicide spot spray application is recommended. • September 22, 2015 – Intermittent herbicide application conducted to control perennial sow thistle.","• June 8, 2016:  • Good establishment of brome and American vetch as well as shrubs and willows. Vegetation is consistent with off right of way.  • 7 perennial sow thistle plants were identified along ditchline at KP 0+250. • Contours along pipeline right of way are consistent with off right of way land use. • Depression at valve site, noted in 2014, no longer evident, issue resolved. • July 4, 2016 – Noxious weeds were not identified in this tract. • August 13, 2016:  • One small patch of Canada Thistle was observed at KP 0+075. Herbicide application conducted. Intermittent perennial sow thistle patches were observed throughout, herbicide application was conducted to control. • Tall buttercup no longer present on ROW, issue resolved. • Although still present, substantial progress in the control of Canada thistle was noted with a reduction from 150 m area (2015) to one small patch at KP 0+075 in 2016.",,,
NE 23-68-7,Treed,None.,,"• June 11, 2014: • Vegetation establishment 90-95% compared to off ROW control. Few areas along ROW consisting of lesser vegetation cover (75%) comparable to off ROW control. • Various weeds present along ROW (Dandelion, Horsetail, Vetch & Bluebell) but comparable to off ROW control. • No contouring issues evident within tract. - No subsidence issued evident within tract - No further issues to report at this time. • June 23, 2014 – herbicide application conducted from KP 0+150 and 0+250 to control Canada thistle and perennial sow thistle • July 22, 2014 - broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing.","• May 31, 2015: • Vegetation is comparable to off ROW. • Sow thistle was observed, implementation of control measures recommended. • July 9, 2015 – intermittent herbicide application conducted to control perennial sow thistle and Canada thistle from KP 0+150 to 0+250. • August 31, 2015 – Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species.","• June 8, 2016: • Good establishment of brome and American vetch as well as willows. Vegetation is consistent with off right of way. 2014 issue with areas of reduced vegetation cover is resolved. • perennial sow thistle was identified throughout the entire tract in small intermittent patches along ditchline.  • July 4, 2016 – intermittent herbicide application conducted to control perennial sow thistle. • August 13, 2016: • Several patches of Canada thistle were observed in the 0+400 area. Herbicide application conducted. Intermittent perennial sow thistle patches were observed throughout, herbicide application was conducted to control. • Although still present, substantial progress in the control of Canada thistle was noted with a reduction from 100 m area (2015) to several patches at KP 0+400 in 2016.",,,
SE 23-68-7,Treed,None.,,"• June 11, 2014: • Vegetation establishment 70% comparable to off ROW control. Few areas along ROW consisting of poor vegetation cover (50%) comparable to off ROW control with 60% weeds. Small patch of Canada thistle and perennial sow thistle present within tract. Recommend spot spraying. • Cross drainages along ROW functioning well at this time but show some seasonal ponding. Continue to monitor later in 2014. • Erosion present along ROW near foreign access road from KP 0+680 to KP 0+720. Implement erosion control. • No contouring issues evident within tract. - No subsidence issues evident within tract. • June 23 - 24, 2014 – herbicide application conducted between KP 0+250 and 0+660 to control Canada thistle and perennial sow thistle. • July 11, 2013 – Installed 10 straw waddle erosion prevention breakers at KP 0+680 to 0+720. Re-contoured eroded area and filled with material on ROW. • July 22, 2014 – broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing. • July 28, 2014 – Previously identified perennial sow thistle at KP 0+420 was controlled mechanically. • September 18, 2014 – herbicide application conducted to control Canada thistle.","• May 31, 2015: • Vegetation is comparable to off ROW control. • Cross drainages are functioning and well vegetated but straw wattles installed last year are no longer effective, repairs are required. • Sow thistle was observed. Herbicide application recommended. • July 9, 2015 – intermittent herbicide application conducted to control perennial sow thistle and Canada thistle from KP 0+250 to 1+300. • August 16, 2015 – Six half and one full-length straw wattles were installed along erosion at KP 0+675. • August 31, 2015:  • Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species • Perennial sow thistle was observed on ditch line at KP 0+275, 0+425, and 0+630. Fall herbicide spot spray application is recommended. • September 22, 2015 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.","• June 8, 2016: • Good establishment of brome and American vetch as well as shrubs, willows, black poplar, rose bushes, raspberry bushes. Vegetation is consistent with off right of way. 2014 issues with vegetation cover and composition are resolved. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way, from the ditchline to the east right of way boundary. This disturbed area will be monitored as a part of that pipeline’s PCM program. • One Canada Thistle plant was identified on ditchline at KP 0+485. 3 Canada thistle plants were identified along ditchline at KP 1+180. • July 4, 2016: • herbicide application conducted to control Canada thistle at KP 0+485 and 1+180. • No signs of erosion were identified, previous erosion issue at KP 0+675 (2015) and KP 0+680 to 0+720 (2014) are no longer evident, issues resolved. Issues with cross drainages noted in 2014 and 2015 are no longer evident, issues resolved. • August 13, 2016: • Several patches of Canada thistle were observed. Herbicide application conducted. Intermittent perennial sow thistle patches were observed throughout – herbicide application was conducted to control. • Although still present, substantial progress in the control of Canada thistle and perennial sow thistle was observed. Affected area of Canada thistle reduced from 400 m (2014) down to a few patches and reduced density of perennial sow thistle over time was noted.",,,
NE 14-68-7,Treed,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",KP 2+000 One scentless chamomile plant found and picked. Monitor area. A new lease access road across the ROW has been built since the spring assessment at KP 1+600 on the east side of the ROW.,"• June 11, 2014: • Vegetation establishment 90-95% comparable to off ROW control. • No weed issues evident within tract at this time; Annual weeds (Dandelion, Horse Tail) present but comparable to off ROW control. • New lease road at KP 1+860. No issues evident from implementation of new lease road at this time. • Erosion within drainage of diversion berm present at KP 1+870. Repairs recommended. • Good vegetation establishment 85-90% at foreign pipeline crossing KP 1+930. No erosion or subsidence noted near crossing. - No contour issues evident within tract. • June 24, 2014 – Herbicide application conducted between KP 1+300 and 2+075 to control Canada thistle and perennial sow thistle. • July 22, 2014 – KP 1+495, 1+815,and 2+020 – small patches of perennial sow thistle exist, not identified at time of herbicide application - broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing. • July 28, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. Mechanical weed control completed at KP 1+420 (C.thistle), and 1+440, 1+495, 1+885, and 2+020 (p. sow thistle)","• May 31, 2015: • Vegetation is comparable to off ROW control.  • Cross drainages are functional and well vegetated. • There are depressions on ditch line that could result in ponding at 0+840, 0+880, and 1+200, continue to monitor. • Tall buttercup and sow thistle were observed, mitigation measures recommended. • July 9, 2015 – intermittent herbicide application conducted to control perennial sow thistle, tall buttercup and Canada thistle from KP 1+300 to 2+075. • August 31, 2015: • Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species. • Perennial sow thistle was observed on ditch line at KP 1+495, 1+800 (on east side of ROW), and intermittently at 2+000 to 2+075. Canada thistle was observed on west side of ROW at KP 1+400 and on ditch line at 1+850. Fall herbicide spot spray application is recommended. • September 22, 2015 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.","• June 8, 2016: • Good establishment of vegetation- grasses, clover, vetch.  • Cross drains well vegetated and functioning.  • Depressions on ditch line that could result in ponding at 0+840, 0+880, and 1+200 noted in 2015, were not identified as impeding the recovery of the ROW, therefore the issues are resolved. • erosion at KP 1+870 (2014) is no longer evident, issue resolved. • Perennial sow thistle noted sporadically at KP 1+825 to end of ¼. Mainly on ditchline and East side of ROW. Canada thistle (3 plants) observed just South of Road crossing at KP 1+850 • July 4, 2016 – intermittent herbicide application conducted to control perennial sow thistle from KP 1+825 to end of ¼ and Canada thistle at KP 1+850. • August 13, 2016:  • Several patches of Canada thistle and intermittent perennial sow thistle were observed from KP 1+850 to 2+100. Herbicide application conducted to control. • Scentless chamomile noted on ROW in 2012 and 2013, no longer present, issue resolved. • Although still present, substantial progress in the control of Canada thistle was observed. Affected area of Canada thistle reduced from 700 m (2014) down to several patches in 2016.",,,
SE 14-68-7,Treed,Monitor vegetation growth in 2013.,,"• June 11, 2014: • Vegetation establishment 90-95% comparable to off ROW control. Previously stripped areas for construction show poor vegetation establishment compared to off ROW control (65-70%). Few bare areas present along ROW. Few areas with an accumulation of woody debris present along ROW. • Perennial sow thistle present within tract. Recommend spot spraying. • KP 2+570 to KP 2+620 exhibits poor drainage across ROW indicated by cattails and standing water on west side of ditchline as opposed to east side of ditchline. This may attribute to previously assessed lack of vegetation (2013). Implementation of improved cross drainage across ROW would likely remediate issue.  • Ephemeral draw on ROW shows ponding water at this time. Ephemeral draw is not noted on construction alignment sheets but could be attributed to the identified ‘dugout’. The ‘dugout’ was identified in satellite imagery to be pre-existing to construction. Good aquatic habitat structure present within drainage. Amphibian presence is abundant. • June 12, 2014 - Dug two cross drains with at KP 2+480 and KP 2+530 at poor drainage area between work and spoil side on ROW. • June 24, 2014 – Herbicide application conducted between KP 2+075 and 2+925 to control Canada thistle and perennial sow thistle. • July 22, 2014: • KP 2+114 - a small patch of perennial sow thistle exists along ditchline, not identified at time of herbicide application • cross drains implemented at KP 2+480 and 2+530 on June 12, 2014 have accommodated drainage of ponding water appropriately – water levels have completely subsided, issue resolved. • KP 2+650 – a considerable amount of perennial sow thistle existing on both sides of identified water body, within 30m – recommend mechanical removal of noxious weeds • Broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses indicate slight stressing within areas of broad herbicide application. • July 28, 2014 – Previously identified Perennial Sow thistle at KP 2+115, 2+380, 2+420, 2+620, and 2+650 was controlled mechanically.","• May 31, 2015: • 90-95% vegetation establishment compared to off-ROW control. • Bare patches of soil present along ditchline. • Perennial sow thistle located along east side of ditchline at KP 2+240 and 2+340 – 2+480. Recommend herbicide application to mitigate weed establishment. • July 9, 2015 - Intermittent herbicide application conducted to control perennial sow thistle from KP 2+075 to 2+925.  • August 21, 2015 – Conducted mechanical weed control for perennial sow thistle on several discrete areas between KP 2+480 and 2+670. • August 31, 2015: • Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species  • Perennial sow thistle was observed intermittently on ditch line at KP 2+075 to 2+350, and at 2+700. Fall herbicide spot spray application is recommended. • September 22, 2015 – Intermittent herbicide application conducted to control perennial sow thistle.","• June 8, 2016: • Good establishment of vegetation- grasses, clover, vetch. Similar weeds to off ROW. Patches of reduced vegetation noted in 2012, 2014, and 2015, no longer reported, issues resolved. • Cross drains well vegetated and functioning.  • Perennial Sow thistle noted throughout tract. Mainly on ditchline and East side of ROW. • July 7, 2016 – intermittent herbicide application conducted to control perennial sow thistle. • August 13, 2016 – Intermittent perennial sow thistle observed. Herbicide application conducted to control.",,,
NE 11-68-7,Treed,Repair subsidence and monitor in 2013.,,"• June 11, 2014: • 90% vegetation cover to off ROW.  • Bare spots on ditch line with 50% vegetation cover compared to off ROW control. • KP 3+050, Excessive wood debris. Continue to monitor vegetation.  • KP 3+200, South side of access road has excessive weeds, mainly dandelion. • KP 3+490 – KP 3+750, several depressions on ditch line, possibly screw anchor bell holes.","• May 31, 2015: • 90-95% vegetation establishment compared to off-ROW control. • Bare patches of soil present along ditchline. • Depressions along each side of ditchline at KP 3+500 and KP 3+630 are well vegetated, issue resolved. • No noxious weeds observed within tract during assessment. • August 31, 2015 – Canada thistle was observed on ditch line at KP 3+400. Fall herbicide spot spray application is recommended. • September 21, 2015 – Intermittent herbicide application conducted to control Canada thistle at KP 3+400.","• June 11, 2016: • Vegetation is comparable to off ROW. Vetch, grasses, clover. Patches of reduced vegetation noted in 2014 (related to woody debris at KP 3+050) and in 2015, no longer reported, issues resolved. • Cross drains functioning effectively. • Small patch of Perennial Sow thistle observed at KP 3+510. • July 7, 2016 – herbicide application conducted to control perennial sow thistle at KP 3+510 • August 13, 2016:  • Intermittent perennial sow thistle observed throughout 1/4. Herbicide application conducted to control. • Canada thistle no longer present in 2016, issue resolved. • Subsidence noted in 2012 (KP 3+500, 3+630, and 3+680) and screw anchor depressions noted in 2014 (KP 3+490 – 3+750), are no longer noted and have not impeded the recovery of the ROW, therefore those issues are considered resolved.",,,
NE 11-68-7 to SW 12-68-7,Treed Bog,Monitor wetland in 2013. Leave for natural recovery.,"KP 3+775 – Wetland Muskeg wetland appears to have been ramped. Regeneration of natives is excellent. Black spruce, Labrador Tea, Bog Berry, and moss are recovering very well. Removed silt fence along the Cutbank Section","• June 11, 2014:  • Wetland muskeg appears to have been ramped on work side of ROW. There is no mulch present. • Regeneration of native plant and tree species is excellent on work side. Moss is also recovering very well.  • Vegetation on ramped portion (work side) of ROW differs from spoil side. The different access methods (freeze down and ramping) are very evident through wetland portion. Ramping seems to have been very affective.  • Vegetation looks good on spoil side but natives don’t seem to be as successful on spoil side of ROW.  • Minor rutting in wetland portion likely from recreational quad use.","• May 31, 2015: • Treed fen is functional and well vegetated with no mulch present. • Black Spruce and Tamarack seedlings 15-40cm tall are establishing along ROW. • Labrador Tea present within Treed Fen. • No noxious weeds observed within tract during assessment.","• June 11, 2016 – Treed fen is functional and well vegetated, vegetation cover issues noted in 2012 is resolved, with no mulch present. Adjacent construction has disturbed the east side of ROW within wetland. Black Spruce and Tamarack are established along ROW.- Labrador Tea present within Treed Fen. • August 13, 2016 – No noxious weeds were observed in the wetland. • September 13, 2016 – The early seral stage vegetative growth (e.g. tamarack, black spruce, willow, sphagnum moss, sedges, common cattails, reeds, bog birch, Labrador tea) is well established throughout the length of the ROW in the wetland. The slightly mounded roach has provided a good growing site for the infilling of vegetation (e.g., tamarack >150cm). There is no evidence of cross drainage hydrology issues. There has been some minor influence (ponded water) on the recovery trajectory with the recent construction of an adjacent pipeline in 2015/16. The area has had high precipitation during the summer of 2016. The wetland is functional and no further monitoring recommended.",,,
SW 12-68-7,Treed,None.,,"• June 11, 2014: • 90-100% vegetation cover compared to off ROW control.  • Cross-drains in ¼ functioning well. • June 24, 2014 – Herbicide application conducted between KP 4+000 and 4+600 to control Canada thistle and perennial sow thistle.","• May 31, 2015: • approx 95% vegetation establishment compared to off-ROW control • Cross drains located within tract are functional and well vegetated. • August 31, 2015 – A patch of Perennial Sow thistle located at KP 4+600. Recommend fall herbicide application. • September 21, 2015 – herbicide application completed at KP 4+600 to control perennial sow thistle.","• June 8, 2016; • Good establishment of brome and American vetch, as well as tamarack, willows and birch establishing along ditchline and west side of ROW. • Recent NGTL pipeline construction has disturbed the majority of the east portion of the right of way, from the ditchline to the east right of way boundary. This disturbed area will be monitored as a part of that pipeline’s PCM program. • August 13, 2016 – No noxious weeds observed. Issues with perennial sow thistle and Canada thistle resolved.",,,
SW 12-68-7,Bald Mountain Creek (WC1),"Monitor in 2013 and, if warranted, reseed.",KP 4+500 Bald Mountain creek looks good. Appears to be geotechnically stable. No erosion issues noted. Banks are regenerating with native species.  Some plantings are surviving but not doing any better than the natives. Removed silt fence along the Cutbank section.,"• June 11, 2014: • Erosion rill on south side of creek on edge of ditch line (KP 4+580), repairs recommended. • Coir lifts are stable on banks and willow chutes are growing nicely.  • Moderate vegetation above south bank of creek. Continue to monitor. • Removed silt fence on north side of creek. • Removed steel anchor pins from straw waddles • July 8, 2014 – Erosion repairs completed at KP 4+580. Re-contoured eroded area and filled with material on ROW.  • July 22, 2014 – KP 4+550 – south side of Bald Mountain Creek - ~1/4 of a large garbage bag of perennial sow thistle was handpicked.","• May 31, 2015: • Diversion berms located on north and south slopes of Cutbank Mountain Creek are functional and well vegetated. • Silt fence and sand bags installed at the top of the north slope of the creek were removed for disposal. • TCPL pipeline sign missing from north slope, marker posts are present. • Coir lifts are stable on banks and willow chutes are growing.  • Moderate vegetation growth along right bank of creek. • erosion repaired KP 4+580 no longer evident, issue resolved. This is likely the same erosion noted in 2012, therefore that issue is also resolved. • August 16, 2015 – Large patch of Canada thistle located on the north bank of Water Crossing (KP 4+500) and within 30m of the water, was mechanically controlled. • August 21, 2015 – Conducted mechanical weed control for perennial sow thistle on north bank of water crossing located at KP 4+550.","• June 8, 2016: • Pipeline marker sign has been installed - issue resolved. • Diversion berms on south facing slope, on north side of watercourse crossing – well vegetated and stable. Additional silt fencing installed due to recent, adjacent pipeline construction. • Recent rains have increased flow within watercourse considerably. Coir lifts remain stable, no erosion evident. Emerging willow chutes evident between coir lifts. A considerable amount of perennial sow thistle was identified along the north bank of the watercourse, on and off right of way. • June 13, 2016: • south side of watercourse – bank and coir lifts remain stable, willows emerging along bank. • Vegetation establishing well, vegetation consistent with off right of way, previous vegetation cover issues noted in 2012 and 2014 are resolved. • July 7, 2016: • herbicide application conducted (spot spraying) to control perennial sow thistle. • Canada thistle no longer present at KP 4+500, issue resolved.",,,
NW 1-68-7,Treed,None.,,"• June 11, 2014: • Vegetation in ¼ is comparable to off ROW. 90-100% vegetation coverage to off ROW. • No issues with subsidence or erosion in ¼. • June 24, 2014 – herbicide application conducted between KP 4+600 and 4+875 to control Canada thistle and perennial sow thistle. • July 22, 2014 - broadleaf vegetation within areas of herbicide application exhibit significant wilting. Grasses do not indicate stressing.","• May 31, 2015: • Vegetation is comparable to off ROW. 90-100% coverage as opposed to off ROW control. • No issues with subsidence or erosion in this tract. • No Noxious weeds were identified in this tract.  • August 31, 2015 – Noxious weeds were not observed. ","• June 13, 2016:  • Vegetation establishing well, vegetation consistent with off right of way. Good establishment of brome, American vetch and willows. • One patch of perennial sow thistle identified at 4+660 • July 7, 2016 – herbicide application conducted (spot spraying) to control perennial sow thistle at KP 4+660. • August 13, 2016: • No noxious weeds observed. • Canada thistle no longer present, issue resolved. Perennial sow thistle reduced from affecting 275 meters to 1 patch at KP 4+660.",,,
