Environmental Issues,Location,Mitigative Measures Implemented,Status,Proposed Post-Construction Measures,VEC,GIS,Topic
Topsoil/ subsoil mixing,KP 372.7,-  West side of road crossing was overstripped. -  No crop growth problems were evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Topsoil/ subsoil mixing,KP 512.1; KP 513.4 to KP 513.45; KP 516.1; KP 517.75; KP 518.05 to KP 518.2; KP 518.35; KP 519.05 to KP 519.3; KP 519.55; KP 519.8,-  Limited and localized topsoil/ subsoil mixing occurred during wet soil conditions during early spring clean-up on irrigated lands. -  No crop growth problems were evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Compaction,Entire route,"-  Construction was generally suspended during wet soil conditions. -  Penetrometer measurements were taken to determine pre-sence and depth of compaction.  Compacted dry subsoils, where encountered, were ripped prior to topsoil replacement. -  Wet subsoils were not ripped prior to topsoil replacement. -  Although penetrometer measurements were taken at frequent intervals, ripping of the subsoil could not be conducted on Loops 3, 4 and 5.  Therefore, some degree of subsoil compaction may be present. -  Topsoils were ripped or chisel plowed or disced where com-paction was present. -  Compaction was tested in all areas with visible crop growth problems during summer 2000 post-construc-tion monitoring.  No compac-tion differences were found between on and off right-of-way tests at these sites.",Resolved (Loops 1 to 5),---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Rutting,Tie-in locations,-  Some minor rutting occurred due to localized heavy traffic. -  No crop growth problems were evident during summer 2000 post-construction monitoring.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Rutting,KP 511.45 to KP 511.55; KP 513.3 to KP 513.4; KP 514.5 to KP 514.62; KP 514.9 (both sides of canal); KP 515.25 to KP 516.15; KP 517.8 (north side of road); KP 519.0 to KP 519.9,"-  Loss of soil structure occurred as a result of wet soils handling during early spring clean-up on irrigated lands. -  No crop growth problems were evident during summer 2000 post-construction monitoring, except at one pasture site that may require reseeding (KP 518.05 to KP 518.2).",Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Rutting,KP 518.05 to KP 518.2,-  Control weeds in summer 2001; reseeded if necessary.,Unresolved,Monitor success of the revegetation program.  Mow or otherwise control excessive weed growth.,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,Entire route,-  Successful revegetation were evident during summer 2000 post-construction monitoring except at the following locations: KP 556.5 to KP 558.0; KP 559.5 to KP 566.5; 575.0 to KP 576.5; KP 627.0 to KP 628.0.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
Weed proliferation,KP 556.5 to KP 558.0; KP 559.5 to KP 566.5; KP 575.0 to KP 576.5; KP 627.0 to KP 628.0,-  May require reseeding and weed control.,Unresolved,Monitor success of the revegetation program.  Mow or otherwise control excessive weed growth.,1. LOSS OF AGRICULTURAL CAPABILITY,,
,"Noncultivated areas, including the approach slopes to the South Saskatchewan River (KP 504.2 to KP 508.6)",-  Disturbed noncultivated portions of the route were reseeded. -  Noncultivated areas at the following locations were reseeded in the summer of 2000 because of poor vegeta-tion reestablishment: KP 352.2 to KP 353.2; KP 353.6 to KP 354.2; KP 354.2 to KP 355.1; KP 364.7 to KP 365.45; KP 392.8 to KP 393.65; KP 395.6 to KP 396.35; KP 414.0 to KP 415.5; KP 423.0 to KP 426.4; KP 498.15 to KP 498.5; KP 499.9 to KP 500.4; KP 500.7 to KP 501.6; KP 504.2 to KP 508.6; KP 517.85 to KP 518.05; KP 520.0 to KP 520.9 -  Successful revegetation was evident during summer 2000 post-construction monitoring except at the following loca-tions: KP 504.2 to KP 508.0; KP 519.9; KP 624.0 to KP 625.7.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
,KP 504.2 to KP 508.0; KP 519.9;  KP 624.0 to KP 625.7,-  May require reseeding and weed control.,Unresolved,Monitor success of the revegetation program.  Mow or otherwise control excessive weed growth.,1. LOSS OF AGRICULTURAL CAPABILITY,,
