Legal Location,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW-3-64-7 W6,Moderate Vegetation Establishment,"July 4, 2014 - ~ 85-90% vegetation establishment as opposed to off ROW control. Good Native grass establishment, comparable to off ROW. No erosion, subsidence or contour issues.","June 11, 2015 - Undisturbed portion of ROW is well vegetated, presence of minor. Approximately 95% vegetation establishment as opposed to off ROW control.   - Recent construction of adjacent pipeline has encroached on ROW, straw wattle material has been placed and is effectively controlling potential erosion, continue to monitor in 2016.","June 25, 2016- Good establishment of American vetch, native vegetation, willows, shrubs, and some grasses, consistent with off right of way. - Parallel adjacent disturbance exists along the west side of the right of way for the duration of this tract. - A patch of perennial sow thistle was identified at KP 0+135, recommend implementation of control measures. July 16, 2016 – KP 0+135 herbicide application conducted to control perennial sow thistle. August 11, 2016 – Intermittent herbicide application to perennial sow thistle in two patches.","June 15, 2017 -Vegetation is 80-100% comparable to off ROW. Good establishment of grasses and broadleaf vegetation. Recent year parallel pipeline disturbance not affecting ROW; area is vegetating well.  - KP 0+130 - Patch of perennial sow thistle at KP 0+130 at edge of HDD, recommend herbicide application. - Trench crown present and stable. July 9, 2017 - KP 0+080 and 0+130 – Intermittent herbicide application conducted to control perennial sow thistle.  Several meadow hawkweed individuals controlled with intermittent herbicide application. September 16, 2017 - KP 0+025 to 0+050, intermittent herbicide application conducted to control perennial sow thistle. Issue resolved. - Perennial sow thistle (KP 0+080 and 0+130) and meadow hawkweed are no longer evident, issues resolved.",,,
NE-3-64-7 W6,Watercourse Crossing: Cutbank River,"July 4, 2014 - ~ 95+% vegetation establishment within forested section as opposed to off ROW. Horizontally Drilled, no ground disturbance. The only impact is trees have been slashed 1m width for `600m to the Cutbank River. No Issues.","June 11, 2015 - Approximately 95% vegetation coverage as opposed to off ROW. This area was horizontally drilled – No erosion no ground disturbance on surface.   - 1m slashed are is beginning to fill in with emerging tree and plant species, on both sides of Cutbank River.","June 25, 2016 - HDD section – no disturbance. No issues","June 15, 2017 - WC 1 – Cutbank River crossing. River was crossing via HDD; no issues.",,,
NE-3-64-7 W6,"Rare Plant (KP 0+400) - lance-leaved grape fern (S2) - On August 8, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. This location was identified as a contingency route for the Cutbank River horizontal directional drill (HDD). The HDD was completed successfully approximately 300 m to the south of the rare plant location. Therefore, the recent construction activities have no bearing on the presence/absence of the rare plants at the site. Issue resolved.",,,,,,,
SE-10-64-7 W6,Watercourse Crossing: Cutbank River,"July 4, 2014 - Cutbank river - no issues - Removed silt fencing at KP 1+170 1+230, 1+250, 1+280 KP 1+580 on diversion berm outlet, East side of ROW.  - Silt fencing at KP 1+600 - still functional and required – monitor in 2015  - KP 1+280 ditch plug functioning effectively – no issues. - Slopes appear stable no erosion or subsidence, diversion berms functioning effectively.","June 11, 2015 - Approximately 95% vegetation coverage as opposed to off ROW. This area was horizontally drilled – No erosion no ground disturbance on surface.   - 1 m slashed are is beginning to fill in with emerging tree and plant species, on both sides of Cutbank River.","June 25, 2016 - HDD section – no disturbance.  No issues","June 15, 2017 - Hill slope leading to WC 1 – Cutbank River stable and showing 80-100% vegetation cover. Diversion berms functioning well. No issues.",,,
,Moderate Vegetation Establishment,"July 4, 2014 - ~ 85-90% vegetation establishment as opposed to off ROW, some sparse patches. Good Native grass establishment.  Diversion berm exhibiting ponding water KP 1+505, ditch plug present – no issues. June 28, 2014 – Herbicide application conducted within intermittent sections of the ROW, to control Tall Buttercup. July 26, 2014 – positive results from spraying activities on June 28, 2014.","June 11, 2015 - ~95% vegetation establishment as opposed to off ROW, several bare patches on north side of HDD, monitor in 2016. - Noxious weed (perennial sow thistle) observed at KP 0+700 to 1+580, mainly on ditchline. July 14, 2015 - Spot sprayed from KP 0+700 to 1+580 for perennial sow thistle and spiny sow thistle. August 27, 2015 - Perennial sow thistle and spiny sow thistle observed at KP 0+850. Recommend fall herbicide application. September 18, 2015 - Herbicide was applied at KP 0+850 to control perennial sow thistle and spiny sow thistle.","June 25, 2016- - Excellent establishment of grasses and American vetch, with few weeds identified. No noxious weeds identified at this time. - Diversion berms and steep slope are well vegetated and appear stable.  No erosion identified.  Ponding noted in 2014 at KP 1+505 is no longer evident, issue resolved. August 11, 2016 – Intermittent herbicide application conducted to control perennial sow thistle and oxeye daisy.","June 15, 2017 - Vegetation cover is 80 – 100% comparable to off ROW.  No noxious weeds observed in tract. - Removed silt fence sections in diversion berms at KP 1+010, 1+370 and 1+390.  Issue resolved. - No subsidence or erosion issues observed in tract. July 9, 2017 - No Noxious were identified. Vegetation continues to establish, exhibiting good growth.  September 16, 2017 - No noxious weeds observed in ¼.  2016 perennial sow and oxeye daisy issue resolved.",,,
NE-10-64-7 W6,High Vegetation Establishment,"July 4, 2014 - ~90-95% vegetation establishment as opposed to off ROW control. Excellent establishment of native grasses. No issues observed on ROW.","June 11, 2015 - Approximately 95% coverage as opposed to off ROW.  - Diversion berms functioning effectively and slopes appear well vegetated and stable.","June 25, 2016 - Good establishment of grasses and American vetch along majority of right of way. No noxious weeds identified at this time. - Silt fence at end of diversion berm at KP 1+865 was removed, issue resolved, straw wattles remain intact and functional – remediating minor erosion as previously assessed. - Diversion berms and slopes are well vegetated and stable. August 11, 2016 – Intermittent herbicide application to control Oxeye Daisy at KP 1+670.","June 15, 2017 - Vegetation cover 80-100% comparable to off ROW control. Excellent establishment of grasses along ROW.  No noxious weeds observed in tract. - Trench crown along ditch line stable and functioning well.  No subsidence or erosion issues observed in tract. - Removed silt fence sections in diversion berms at KP 1+520.  Issue resolved. July 9, 2017 - No Noxious were identified. Vegetation continues to establish, exhibiting good growth. September 16, 2017 - No noxious weeds observed in ¼.  2016 oxeye daisy (KP 1+670) issue resolved.",,,
NW-10-64-7 W6,Moderate Vegetation Establishment,"July 4, 2014 - 75 - 80% vegetation cover on ROW compared to off ROW control with areas of sparse coverage after KP 2+000, monitor in 2015. - Silt fencing within diversion berms (KP 1+770 and KP 1+865) were functional and required. Continue to monitor for appropriate time of removal. - Diversion berms along hill slope functioning well at time of assessment. - No erosion or subsidence issues to report.","June 11, 2015 – ROW is well vegetated, approximately 95% vegetation cover on ROW compared to off ROW control. Patches of limited vegetation cover were noted at KP 2+180, 2+200, and 2+250, monitor. - Diversion berms are functioning and well vegetated. - Ox-eye daisy observed from KP 1+700 to 2+300. Tall Buttercup observed from KP 2+300 to 2+450.  Recommend herbicide application. - The silt fencing existing at KP 1+770 was no longer necessary and was removed, issue resolved - The silt fencing existing at KP 1+865 is required, but requires repairs. Erosion uphill of diversion berm at ~ KP 1+865, recommend installing 6 to 12 straw wattles to mitigate. July 14, 2015 – Intermittent herbicide application from KP 1+700 to 2+300 for ox-eye daisy. Spot sprayed from KP 2+300 to 2+450 for tall buttercup. July 23, 2015 - Installed straw wattles and repaired silt fencing at KP 1+865, issue resolved. August 27, 2015 – Additional Ox-eyed daisy observed at KP 2+250. Recommend fall herbicide application at KP 2+250. September 18, 2015 - Herbicide was applied to control ox-eyed daisy at KP 2+250.","June 25, 2016 - Excellent establishment of grasses and American vetch along majority of right of way, with few weeds identified. No noxious weeds identified at this time.  Some small areas exhibiting slightly less vegetation continue to establish with emerging vegetation. - Diversion berms and steep slope are well vegetated and appear stable.  No erosion identified. August 11, 2016 – intermittent herbicide application conducted to control meadow hawkweed and Canada thistle (KP 1+890).  Tall buttercup and oxeye daisy no longer present on right of way, issues resolved.","June 15, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW.  Previously noted patches of limited/less vegetation are no longer evident, issues resolved. - KP 2+240 – 2+300 - Meadow hawkweed identified in patches and intermittently throughout ROW. Recommend herbicide application.  July 9, 2017 – intermittent herbicide application conducted to control meadow hawkweed (KP 2+240 to 2+300) and oxeye daisy (KP 2+200). September 16, 2017 – All previously noted noxious weed issues resolved.",,,
NE-10-64-7 W6,Moderate Vegetation Establishment,"July, 4, 2014 - 70 - 75% vegetation cover on ROW compared to off ROW control. Several areas along ROW with thinner veg associated with recent disturbances. - Ox-eye daisy found within tract in sparse densities.  - Silt fencing within diversion berm (KP 2+390) still functional and required – monitor and remove when required. - No erosion or subsidence issues to report. June 28, 2014 – Intermittent herbicide application conducted to control Tall Buttercup. July 5, 2014 - Picked all visible ox eyed daisy noxious weeds within tract. Approximately 45 plants were handpicked and bagged. July 26, 2014 – Positive results from spraying on June 28. Additional noxious weeds (ox-eye daisy) picked (20 plants) at KP 2+170 and 2+300.","June 11, 2015 - ROW is well vegetated, approximately 95% vegetation cover on ROW compared to off ROW control. A patch of limited vegetation cover was noted at KP 2+320, monitor in 2016. - Diversion berms are functioning and well vegetated. - Tall Buttercup observed from KP 2+300 to 2+450. Recommend herbicide application. - All silt fencing observed was necessary and functional. July 14, 2015 – Intermittent herbicide application conducted to control tall buttercup from KP 2+300 to 2+450. August 27, 2015 - Perennial sow thistle and Canada thistle observed at KP 2+350. Recommend fall herbicide application. September 18, 2015 - Herbicide was applied at KP 2+350 to control perennial sow thistle and Canada thistle.","June 25, 2016- Vegetation is well established with desirable species throughout ROW. Good establishment of wild flowers, grasses, alfalfa and vetch. Patch of reduced vegetation cover (KP 2+320) is no longer evident, issue resolved. - No noxious weeds identified.  - No erosion or subsidence issues. August 11, 2016 – Intermittent herbicide application conducted to control meadow hawkweed (several small patches), perennial sow thistle (several small patches), and oxeye daisy (individual plants).  Tall buttercup and Canada thistle are no longer present, issues resolved.","June 15, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. - KP 2+300 – 2+450 - Meadow hawkweed identified. Recommend herbicide application. - KP 2+400 – Silt fence was removed from ROW. Issue resolved. July 9, 2017 – KP 2+300 – 2+450 – intermittent herbicide application conducted to control meadow hawkweed. September 16, 2017 - No noxious weeds observed in ¼.  All previously noted noxious weed issues resolved.",,,
SE-15-64-7 W6,Low Vegetation Establishment,"July 4, 2014 - 65-75% vegetation cover on ROW compared to off ROW control. Several areas along ROW exhibiting thinner vegetation cover. Monitor in 2015 - Area (KP 2+660 to KP 2+510) for approximately 50m exhibits ponding of water on west side of ditchline likely attributed to poor drainage. Implementing cross-drain will likely remediate issue.  Monitor in 2015","June 11, 2015 - ROW is well vegetated, approximately 80% vegetation cover on ROW compared to off ROW control. 2014 low vegetation cover issue resolved. - Diversion berms are functioning and well vegetated.  Patch of reduced vegetation cover noted at KP 3+250, monitor. - Tall Buttercup observed from KP 2+300 to 2+450. Recommend herbicide application. - There was no ponding observed on the ROW.  Ponding water, noted in 2015, from KP 2+510 to KP 2+660 is no longer a concern, no further work required, issue resolved. - All silt fencing observed was necessary and functional. July 14, 2015 – Intermittent herbicide application conducted from KP 2+300 to 2+450 for tall buttercup","June 25, 2016- Vegetation is well established with desirable species throughout ROW. Good establishment of wild flowers, grasses, alfalfa and vetch. Good establishment of willows, wild rose bushes and poplar saplings in riparian area. Patches of reduced vegetation cover, including KP 3+250, are no longer evident, issue resolved. - No noxious weeds were identified. - No erosion or subsidence issues. - KP3+300 – TWP has thinner vegetation cover than ROW, however it is establishing. August 11, 2016 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 2+950; handpicked and disposed of), and oxeye daisy.","June 15, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. - KP 2+600 – 2+950 and 3+010 – Meadow hawkweed identified, recommend herbicide application. - KP 3+000 – Silt fence was removed from ROW, issue resolved. July 9, 2017 - intermittent herbicide application conducted to control meadow hawkweed (KP 2+600 – 2+950 and 3+010) and oxeye daisy (KP 3+100). September 16, 2017 - No noxious weeds observed in ¼. All previously noted noxious weed issues resolved.",,,
SE-15-64-7 W6,Watercourse Crossing: Unnamed Tributary to Cutbank River,"July 24, 2014 - Unnamed tributary to Cutbank River (KP 2+960) stable at time of assessment. South side of bank exhibits lesser vegetation establishment compared to north bank. Rollback effective. Willows establishing well on both banks.  Small patch of scentless chamomile found on south bank of tributary - weeds were hand-picked and disposed of. Revetment posts and Dekawe material functioning well at time of assessment. Recommend leaving silt fence in place at this time. Continue to monitor in 2015.","June 11, 2015 - Vegetation is comparable to off ROW. Vegetative cover approaches 100% on the north side of the crossing and 50% on the south side of the crossing. Woody infill (willow) was observed. - Banks appear to be stabile with no subsidence or erosion observed. - Diversion berms and silt fencing are functioning and well vegetated. Rollback, employed as an erosion control measure, is effective. - Recommend removing all (approximately 200’) of silt fencing from the north side of the crossing, while leaving the south silt fencing in place, as it is required and functional. - Tall Buttercup and perennial sow thistle were observed, recommend spot spraying. July 27, 2015 - Removed all of the silt fencing, associated stakes and t-bars from the north side of the crossing. Issue resolved. September 18, 2015 - Herbicide was applied to control tall buttercup and perennial sow thistle.","June 25, 2016- Watercourse #2 - Tributary is stable and vegetated with minimal flow. No issues. - Roll back on slopes to tributary has proven effective at trapping sediment while diverting run off. - Pulled silt fence at KP 3+050 and KP 3+120. Issue resolved - KP 2+940, sign and posts are loose and falling over. - All remaining silt fence on both sides of WC #2 can be removed as soon as practical.","June 16, 2017 - KP 3+030 – Removed Silt fence and T-posts on both sides of WC #2. Issue resolved. - KP 2+940, Installed fallen over marker posts and secured signage. Issue resolved. - Noxious weeds are no longer evident, all previous issues resolved.",,,
