Approximate KP [Legal Location],1st Year Issue/ Condition,1st Year (2014) Issue(s),2nd Year (2015) PCRM Assessment and Work Completed,3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Residential – soccer fields (KP 0+025) No issues.,Sod on the soccer field is comparable to the Control. Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Trees surrounding station at KP 0+018 in fair to poor condition. Recommend further monitoring of tree health. - Fallen mature tree evident located at KP 0+098. Recommend removal of woody debris off ROW. - No subsidence or erosion evident throughout tract. Oct 14, 2016 - Planted 160 Emerald Cedars around the two fenced facilities at KP 0+000.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Watercourse [11]/ Wetland (KP 0+325) No issues observed,No issues observed Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Watercourse #11 was dry during time off assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition. Cattails and Canada thistle evident at in wetland/drainage area.  - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Near a watercourse crossing (KP 0+360) No issues.,The area surrounding the watercourse had effective erosion control and no terrain instability was noted. Recommendations: None,"November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - Watercourse #11 was dry during time off assessment, native grasses established and appears stable at this time. - Wetland area dry at this time; grasses and vegetation established and in good condition. Cattails and Canada thistle evident at in wetland/drainage area.  - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Residential – soccer fields (KP 0+420 to 0+520) vegetation issue (moderate),Small dead patches of sod along the fence; and medium sized dead sod patches in the drainage ditch (ditch is intentional). Recommendations: Monitor in 2015 and re-vegetate as required.,"November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - No subsidence or erosion evident throughout tract.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Woodland (KP 0+400 to 0+650) Noxious weed issue (high),"The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.","November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","June 9, 2016 - No subsidence or erosion evident throughout tract. June 24, 2016 - Intermittent mechanical weed control completed within ROW.",,,
KP 0+000 - 0+520 [West half LT 13 CON 4 WHS],Woodland (KP 0+455 to 0+485) Thin topsoil - thickness issues (moderate),A 30 m patch of cattail is present on the northwest side of ROW where no soils disturbance appears to have occurred. Areas of bare ground are approximately 25% of the ROW. The topsoil appears to be thinner along the ditchline of the ROW. Recommendations: Monitor in 2015 and implement remedial action if necessary.,"November 23, 2015 - Silt fence removal completed, issue resolved. - Discussed weed concerns with City of Brampton Park Foreman, suggested that we leave weed control until growing season 2016 as cutting weeds that have gone to seed late in the year may cause the weeds to spread. Recommend reassessment early in 2016 growing season to determine concentration of Scentless Chamomile and other weeds. Mechanical and Herbicide application may be required.","Bare ground noted in 2014 (KP 0+455 to 0+485) no longer evident, issue resolved.  Reported thin topsoil has not inhibited the ROW from attaining equivalent land capability, issue resolved.",,,
KP 0+000 - 0+520 [East half LT 12 CON 4 WHS],,,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. - Canada thistle, ox-eye daisy, tall buttercup, bull thistle, scentless chamomile, dog-strangling vine evident throughout tract.  Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control and intermittent herbicide application conducted along the ROW from KP 0+621 – KP 0+000 to control weeds noted on June 9thassessment. July 27, 2016 - Noxious weeds evident along pathway; recommend mechanical weed control.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Woodland (KP 0+400 to 0+650) Noxious weed issue (high),"The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. Recommendations: Monitor in 2015, implement weed control as required.",,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control completed.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Residential (KP 0+720 to 1+225) No issues observed,ROW was turned over to developer of housing - ponding; weeds; microtopography issues are all currently noted along the ROW due to the housing development being constructed. This area includes watercourse crossings 9 and 10. Recommendations: None - Land turned over to the housing developer for management.,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. - Canada thistle, bull thistle, broadleaf plantain, scentless chamomile, perennial sow thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Mechanical weed control completed.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Watercourse [10] (KP 0+850) No issues observed,"Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Recommendations: None - Land turned over to the housing developer for management.",,"June 9, 2016 - Watercourse appears to be in good condition. Native grasses established, low flow within watercourse, water level mid-way.",,,
KP 0+520 - 0+950 [West half LT 13 CON 4 WHS] And  KP 0+520 - 1+300 [East half LT 12 CON 4 WHS],Watercourse [9] (KP 1+050) No issues observed,"Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Recommendations: None - Land turned over to the housing developer for management.",,"June 9, 2016 - Watercourse appears to be in good condition. Native grasses established, low flow within watercourse, water level mid-way.",,,
KP 1+150 [Subdivision of - West half LT 12 CON 4 WHS],Residential (KP 0+720 to 1+225) No issues observed,ROW was turned over to developer of housing - ponding; weeds; microtopography issues are all currently noted along the ROW due to the housing development being constructed. This area includes watercourse crossings 9 and 10. Recommendations: None - Land turned over to the housing developer for management.,,"June 9, 2016 - 90-95% vegetation establishment on ROW compared to off ROW control. Vegetation consisting of turf grasses. Minor bare areas throughout tract, monitor in 2017. - Canada thistle, scentless chamomile, bull thistle and ox-eye daisy evident throughout tract. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 24, 2016 - Intermittent mechanical weed control conducted.",,,
KP 1+330 - 1+470 [East Half LT 12 CON 5 WHS],Crop – soybeans (KP 1+445) No issues observed,No issues. Crop is comparable to the Control. A few perennial sow thistle plants were noted on the Control adjacent to the ROW. Recommendations: None,,No issue noted during assessments.,,,
KP 1+520 - 1+930 [East Half LT 12 CON 5 WHS],Crop – soybeans (KP 1+565) No issues observed,No issues. Crop is comparable to the Control. Recommendations: None,,"June 9, 2016 - Cultivated, sprout height on ROW appears to be similar to off ROW. - Bull thistle and scentless chamomile observed along fence adjacent to CN railway at KP 1+515. Canada thistle observed along crop border. Recommend implementation of control measures. - No subsidence or erosion evident in tract. June 23, 2016 - No weed management measurements required, weeds along crop border appear to be sprayed with crops. Weed issues noted in 2014 and 2015 (KP 1+620 to 1+720) are no longer present and are managed with crops, issue resolved.",,,
