Legal Location (W4M),Condition/ Issues Observed (Rating),"KP1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
NE 33-080-13,Plant Growth (Moderate) Erosion (Moderate) Noxious Weeds (Moderate),KP 0-030 to KP 0+100 (Compressor Station),• The soil stockpile for the compressor station and the area outside the compressor station fence line has limited plant growth  • Contours were effectively re-established surrounding the compressor station • Trace covers of establishing native vegetation were observed • Sediment fencing on the south side of the stockpile needed minor repair; repairs scheduled for winter 2017/2018. • Common tansy (Tanacetum vulgare) present at low densities and limited distribution,Monitor plant growth in 2018; limited establishment is consistent with Year 1 regrowth. Repair sediment fencing. Monitor in 2018 and control weeds.,Unresolved,,,
NE 33-080-13,Rare Plants (NA),KP 0+000 to KP 0+200,• Rare plant transplant location was found • Could not positively identify the red and yellow collar moss (Splachnum rubrum and Splachnum luteum) as sporophytes were not visible,Monitor in subsequent assessments.,Unresolved,,,
NE 33-080-13,Subsidence (Moderate),KP 0+000 to KP 0+200,• Trench crown subsidence was observed throughout the quarter section (observed via helicopter – no depth available) • Subsidence is not impacting land use and no mitigation is recommended,Monitor in 2018. Land use not affected.,Unresolved,,,
NE 33-080-13,Plant Growth (Moderate),KP 0+100 to KP 2+500,• Limited vegetation throughout the quarter section • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation and are not a c,Monitor in 2018. Limited establishment is consistent with Year 1 regrowth.,Unresolved,,,
NE 33-080-13,Rare Plant (NA),KP 0+710,• Deflated tube lichen (Hypogymnia wilfiana) was not located • Habitat in which it was originally found was disturbed by construction of the ROW; no further monitoring is recommended,None.,Resolved,,,
SE 32-080-13,Line-of-Sight (NA),KP 2+700,• Vegetation screen to reduce line-of-sight is effective,None.,Resolved,,,
SE 32-080-13,Construction Debris (NA),Hydrostatic test line,"• Hydrostatic test line is well vegetated • Six rig mats observed by the open water • Location of the mats is in the northeast quarter of the section, off-ROW",Remove rig matting if associated with the construction of this pipeline.,Unresolved,,,
SW 32-080-13,Construction Debris (NA),KP 2+700 to KP 3+200,• Two rig mats on ROW buried in coarse woody debris,Remove rig matting in 2018.,Unresolved,,,
SW 32-080-13,Wetland (Low),KP 2+700 to KP 3+200,• Wetland is on an acceptable trajectory of reaching pre-construction functional conditions • Appropriate wetland species are beginning to establish; sparse vegetation in the middle of the fen on the trench crown • Pre-construction contours restored,Monitor in 2018.,Unresolved,,,
SW 32-080-13,Erosion (Moderate),KP 3+200,• Erosion parallel to ditchline; repairs scheduled for the winter of 2017/2018,Repair erosion and monitor in 2018.,Unresolved,,,
SW 32-080-13,Plant Growth (Moderate),KP 2+900 to KP 3+800,• Limited plant growth is consistent with Year 1 expectations and no mitigation is required • Trace covers of establishing native vegetation,Monitor in 2018. Limited establishment is consistent with Year 1 regrowth.,Unresolved,,,
,Mounding (NA) ATV Use (NA),KP 3+400 to KP 3+470,• Mounding is in place • No ATV tracks were observed; however ATVs could get around this access control feature on parallel disturbances,Monitor in 2018.,Unresolved,,,
NE 31-080-13,ATV Use (NA),KP 4+000 to KP 4+300,"• ATVs appear to be using the nearby cutline to get around access control features, tracks were observed",Monitor in 2018.,Unresolved,,,
NE 31-080-13,Line-of-Sight (NA),KP 4+460 to KP 4+470,• Vegetation screen to reduce line-of-sight is effective,None.,Resolved,,,
NE 31-080-13,Rollback (NA) ATV Use (Low),KP 4+870 to KP 4+496,• Rollback is not controlling access as ATVs are using a cutline to get around • ATV tracks were observed,Monitor in 2018.,Unresolved,,,
NE 31-080-13,Mounding (NA) ATV Use (Low),KP 5+120 to KP 5+300,"• Mounding is in place; however it is not successfully controlling access, as access is present on parallel disturbances • ATV tracks were present",Monitor in 2018.,Unresolved,,,
NE 31-080-13,Subsidence (Moderate),KP 5+300,• Subsidence of approximately 10 cm noted over the ditchline • Subsidence is not impacting land use and no mitigation is recommended,Monitor in 2018. Land use not affected.,Unresolved,,,
