Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 13-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Low vegetation density throughout this tract.  No secondary issues noted (e.g., erosion), no work recommended, continue to monitor vegetation recovery. Good emergence of willows, shrubs and aspen. - Alder, willow and poplar starting to infill; birdsfoot trefoil clumps, and grasses. - Adequate cross drains present and functional – no ponding present. - KP 0+000 (valve site), KP 0+150, KP 0+180, and KP 0+270 erosion, repairs recommended. Aug 26 – Aug 28, 2016 - KP 0+000 – remove filter bags and t-posts from treed area off right of way. KP 0+000, KP 0+050, KP 0+180, and 0+270 – installed erosion control materials to repair erosion noted earlier in the growing season.",,,
NW 13-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Moderate establishment of vegetation throughout this tract, with alder, willow and poplar infilling; moderate cover of birdsfoot trefoil clumps, yarrow, and grasses. Low vegetation issue noted in 2014 resolved. - KP 0+828 to 0+928 - Reduced vegetation density, no secondary issues noted (e.g., erosion), no work recommended, issue resolved; Aug 29, 2016 - KP 0+700 – erosion noted, erosion repaired by hand and with installation of erosion control materials.",,,
SW 24-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Moderate establishment of vegetation throughout this tract; alder, willow and poplar infilling; moderate cover of birdsfoot trefoil clumps, yarrow, and grasses. Low vegetation issue noted in 2014 resolved.",,,
SW 24-96-5 W6,Rare Plant (KP 1+500),"No scalloped moonwort (S1) were observed on July 30, 2014. Habitat has been restored to suitable conditions for this species at this location. Further monitoring recommended.","Aug 21, 2016 - Species not observed at recorded pre-disturbance location. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions. Further monitoring at this site is not recommended. Issue resolved.",,,
SE 23-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Good vegetation establishment of birdsfoot trefoil, grasses and some American vetch. Shrubs, willows and aspen establishing throughout the right of way. Low vegetation issue noted in 2014 resolved. - KP 1+970 – Drainage – Stable with established vegetation, moderate flow identified at this time.  - T-post and rope delineation was removed from riparian area on north side of watercourse crossing. - Adequate cross drains present and functional – no ponding present. - KP 2+540 – Marker post requires repairs. July 12, 2016 – Intermittent herbicide application conducted to control scentless chamomile. Aug 29, 2016 - Scentless chamomile was identified on the south side of the watercourse crossing, recommend implementation of control measures. - KP 2+540 – Marker post repaired, issue resolved. Sept 19, 2016 - KP 2+380 – Herbicide application conducted to control scentless chamomile.",,,
,Unnamed tributary to Midget Creek (KP 2+400) Low Vegetation Establishment,Low vegetation establishment observed on approach slopes of watercourse.,"July 8, 2016 - Pipeline marker posts and pipeline identification signs require repairs. - The watercourse has sediment deposition from high flow event, monitor in 2017. - Sediment fencing present and no longer required, recommend removal. Aug 29, 2016 - Marker posts repaired on both sides of watercourse and all sediment fencing removed, issues resolved.",,,
SW 23-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 8, 2016 - Good vegetation establishment of birdsfoot trefoil, grasses and some American vetch.  Shrubs, willows and aspen establishing throughout the right of way. Intermittent areas of reduced vegetation cover, no secondary issues noted (e.g., erosion), no work recommended, issue resolved.  2014 issue of low vegetation cover is resolved. - KP 2+700 – Sediment fence recommended for removal. - KP 2+800 to 3+125 – Scentless chamomile was identified along ditchline, 2 garbage bags were filled today by hand picking larger plants, recommend herbicide application for emerging weeds. - KP 2+840 – Perennial sow thistle was identified, recommend herbicide application. - Adequate cross drains present and functional – no ponding present. July 10, 2016 - KP 2+800 to 3+125 - Scentless chamomile controlled through combination of hand picking mature plants and herbicide application on emerging plants. July 12, 2016 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle. Aug 29, 2016 - KP 2+700 – removed sediment fence, issue resolved. Sept 19, 2016 - KP 2+920 – 3+150 – Intermittent herbicide application to control emergent scentless chamomile.",,,
SE 22-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 9, 2016 - Low vegetation density throughout the majority of this tract, no secondary issues noted (e.g., erosion), no work recommended, continue to monitor vegetation recovery. Good emergence of willows, shrubs and aspen. - KP 3+620 – Ponding water noted, cross drain required. - KP 3+640 – Marker posts require repairs. Aug 29, 2016 - KP 3+620 – Cross drain dug by hand, issue resolved. - KP 3+640 – Marker posts repaired.",,,
SW 22-96-5 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 9, 2016 – Mix of moderate and poor vegetation on ROW, continue to monitor vegetation recovery. - Minor erosion rills along ditch line in sloped areas were observed. Minor rills will not be an issue once vegetation establishes. No work required. Monitor vegetation recovery. - Diversion berms in ¼ are vegetating and functional. - Drainage at 5+150 has two streams that come to a confluence just on work side of ditch line.  Area is well vegetated. - Sediment fencing to be removed on either side of drainage. - Signs and marker posts require repairs. - No noxious weeds were observed in this ¼. Aug 20 and 29, 2016 - KP 5+170 – removed sediment fence and repaired marker posts and signs, issue resolved.",,,
SW 22-96-5 W6,Treed Fen (KP 4+300 to 4+450),"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right-of-way include:• pre-construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and • absence of excessive ponded water or impeded flow due to the construction right-of-way.","July 9, 2016 - Wetlands vegetating quite well with wetland grasses, shrubs and willows on the majority of the wetland. There is open ponded water on both sides of ditch line but cross drains are in place to allow for proper migration.",,,
