Legal Location,1st Year Issue/ Condition,1st Year (2012) Issue(s),2nd Year (2013) PCRM Assessment and Work Completed,3rd Year (2014) PCRM Assessment and Work Completed,4th Year (2015) PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 29-75-09 W6,Tame Pasture,Subsidence,"  Slight subsidence noted during spring assessment south of the meter station, no issue at the time, and monitor as needed.   Landowner contacted NGTL in October, regarding the need for completion of subsidence repairs – NGTL completed assessment – repairs are required (KP 0+020).","May 24, 2014 - ROW is fenced in this tract, wires have been pulled back at the west end of the tract. Vegetation on ROW is comparable to off ROW. Subsidence as previously assessed in this tract is attributed to erosion from drainage through Meter Station.   Shallow depression exists appears to be poor contour at foreign pipeline crossing (Alliance). Canada thistle identified. Monitor in 2015 and control as required. August 8 and 9, 2014 - Repaired drainage issue at meter station (KP 0+000) and installed erosion control material. Seeded with timothy and alfalfa. Filled in minor subsidence with topsoil at third party pipeline crossing (KP 0+020). Repaired permanent fencing around perimeter of repair areas. Reinstalled gate on north side of repair area to prevent livestock access.","May 24, 2015 - ROW is fenced in this tract. Vegetation on ROW is comparable to off ROW.   Previously repaired area (KP 0+000 and 0+020) has  redirected the drainage off of ditchline and into drainage Northwest. Erosion control working effectively. Repairs are stable, including subsidence repair (first noted in 2012), issues resolved. Excellent vegetation establishment. Continue to monitor. ","June 1, 2016- Vegetation and weeds similar to of ROW. Pasture consisting of grasses and alfalfa.     Tract is fenced. Temporary fence paneling is set up around meter station, work being conducted on meter station.   2014 repair redirecting water off of ditchline is functioning well, ditchline is well vegetated. Swale directing water off ROW is starting to vegetate.",,,
NE 20-75-09 W6,Cultivated,SHydrovac holes ubsidence,,"May 24, 2014 - minor subsidence noted at side bend and poor contouring along north boundary of ROW normal farming practices should remediate. Seeding completed at this time. ROW is not fenced.","May 24, 2015 - Poor contour along north boundary of ROW (KP 0+450). Continue to monitor. Cultivated and seeded. Hydrovac holes (KP 0+130 and 0+150) identified in 2012, no longer evident, issue resolved.","June 1, 2016- Recently seeded to canola. Weeds on ROW consistent with off ROW.   Canada thistle identified on and off ROW – more off ROW - Landowner controlling weeds during farming operations (noticeable reduction in plant health), issue resolved. June 26, 2016- Minor subsidence and poor contour reported by landowner and during 2015 assessments.    All minor subsidence (including those reported in 2012 (KP 0+430) and 2015 (KP 0+450) and poor contouring will be addressed by the landowner reworking the field following the 2016 harvest. Issues resolved.",,,
NW 20-75-09 W6,Hay,Erosion,,"May 24, 2014 - the east portion of this 1/4, previously in Hay land, has been cultivated (erosion issue noted in 2012, KP 0+800, was eliminated by cultivation, issue resolved). Minor subsidence noted at east ¼ line, normal farming practices should remediate, continue to monitor. Fencing in poor condition, appears to have been damaged by cultivation equipment.","May 24, 2015 - East side of tract appears to have more rocks within ROW compared to off ROW. Recent cultivation may have turned stones up – recommend picking stones. October 4, 2015 - Hand-picked stones from the field. Erosion identified in 2012 no longer evident, issue resolved.","June 1, 2016 - East portion of tract is in cultivation. This tract has been seeded to cereal crop.   Rocks are consistent with off ROW, issue resolved. June 26, 2016- Minor subsidence and poor contour reported by landowner and during 2015 assessments.    All minor subsidence and poor contouring will be addressed by the landowner working the field, following the 2016 harvest. Issues resolved.",,,
NW 20-75-09 W6,Tame Pasture,Weeds,,"May 24, 2014 -the west portion of this quarter is improved pasture and has not been grazed and does not appear to be under any land use management at this time. Quarter line fence removed, fencing materials remain onsite. Materials should be removed, recommend contact with landowner to determine interest in materials.","May 24, 2015 - the west portion of this tract is in Improved Pasture. Establishing vegetation beneath litter ~85% compared to off ROW, with weeds comparable to off ROW. The weed issue identified in 2012 (KP 1+000 to 1+400) is no longer present as the weeds are comparable on and off the ROW. Issue resolved.","June 1, 2016- West portion of tract is in pasture – not currently used by landowner. Vegetation establishment is consistent with off right way. Weeds consistent with off ROW.",,,
,Unnamed tributary to Bear River,Weeds,,"May 24, 2014 - Banks of watercourse appear stable with good vegetation establishing, no erosion within ROW. Willow chutes appear to be sprouting new growth from between coir lifts along bank restoration. Silt fence on the east side of watercourse crossing was partially removed today. Silt fence on the west side of watercourse crossing was completely removed. There are no pipeline markers on either side of this watercourse crossing.","May 24, 2015 - banks of watercourse stable with good vegetation establishment, no erosion within ROW. Minor slumping of banks upstream and downstream off ROW. Willow chutes are established between coir lifts along bank restoration.   Silt fence on the east side of watercourse remains and  needs to be removed. Canada thistle present on either side of watercourse.  Pipeline markers are absent on either side of this  watercourse crossing.  Install as soon as practical in 2016. July 20, 2015 - Mechanically controlled weeds (Canada thistle). Silt fencing removed from east side of watercourse, issue resolved. September 26, 2015 - Applied herbicide to control Canada thistle.","June 1, 2016 – banks are stable, good vegetation establishment on both sides of crossing. Minimal flow at this time. - Canada thistle identified on the east side of watercourse crossing, none on the west side. July 19, 2016 – Herbicide application conducted to control Canada Thistle, on east side of watercourse. July 27, 2016- Markers, sign post and sign were installed on both sides of crossing, issue resolved.",,,
NE 19-75-09 W6,Hay,HWeeds ydrovac holes,"  Minor subsidence and contouring issues, requires repair in the fall.   Subsidence and contouring repairs completed in October.   Topsoil depth from stripping determined by 4 soil pits. Depth of cover probed to ensure safety. Topsoil depth ranged from 18-21 cm and depth of cover exceeded 1.6 meters.   Topsoil stripped and piled on west side of ROW. Subsoil redistributed to address subsidence and contour repair. Topsoil spread over site and repairs completed.","May 24, 2014 - East portion of this 1/4 is hay land, with vegetation comparable to off ROW (weed issue noted in 2012, KP 1+400 to 1+610, no longer present, issue resolved). Two large rocks were removed from the ROW by hand, issue resolved. No pipeline markers exist at the south ¼ line. Minor depression located, associated with natural drainage, continue to monitor for ponding water.","May 29, 2015-Tract is cultivated.   No pipeline markers exist at the south ¼ line, install as  soon as practical in 2016, pending landowner approval. Rocks present on ROW, similar to off ROW.   No ponding water, no signs of admixing, no evidence of  subsidence or poor contour issues, 2013 subsidence and contouring issues are resolved. Hydrovac holes identified in 2012 no longer evident, issue resolved.","June 8, 2016 - Good establishment of Fescue hay crop within the north portion of the tract; vegetation appears consistent to off ROW. The south portion of this tract has been  seeded to cereal crop.   Canada thistle was identified on the north edge of the ROW at Kp 1+450, recently controlled through farming practices as broadleaf weeds are showing signs of stress. July 22, 2016- Landowner requested that signs and marker posts not be installed due to the inconvenience of farming around them. Issue resolved.",,,
SE 19-75-09 W6,Cultivated,No,"  Minor subsidence and contouring issues, requires repair in the fall. Seeded to wheat and used for fall thrashing event for the Homestead Community Hall.   Subsidence and contouring repairs completed in October.   Topsoil depth for stripping determined by 4 soil pits. Depth of cover probed to ensure safety. Topsoil depth ranged from 18-21 cm and depth of cover exceeded 1.6 meters.   Topsoil stripped and piled on west side of ROW. Subsoil redistributed to address subsidence and contour repair.  Topsoil spread over site and repairs completed.","May 24, 2014 – This portion of the 1/4 is in cultivation and has not been seeded at this time. Previously repaired subsidence appears to have uneven contouring along the south ROW boundary, monitor to determine if it is impacting land use.","May 24, 2015 - The east portion of this tract is in cultivation. No subsidence or poor contouring is evident, 2013 and 2014 subsidence and contouring issues are resolved.","June 1, 2016 - The cultivated portion at the east end does not appear to have been seeded. Canada thistle was identified at the north ¼ line. July 19, 2016 – Herbicide application conducted to control Canada thistle along north ¼ line.",,,
SE 19-75-09 W6,Hay,Weeds,,"May 24, 2014 - The hay land portion of this tract does not appear to have been harvested last year. Weeds on ROW are comparable to off ROW (weed issue noted in 2012, KP 1+770 to 2+070, no longer evident, issue resolved. Poor contouring exists at side bend location east of watercourse crossing. Monitor to determine if contouring is impacting land use.","May 24, 2015 - The hayland portion consists of a large amount of Weeds on ROW (Dandelion) as opposed to off ROW. Vegetation cover is ~95% and is consistent with off ROW.","June 1, 2016- Good establishment of alfalfa and grasses within hayland, weeds consistent with off ROW (dandelion issue noted in 2015 is no longer evident, issue resolved), less alfalfa content on ROW than off. Contouring issue noted in 2014, east of watercourse, has not impacted land use capability, issue resolved.",,,
,Unnamed tributary to Bear River,No,,"May 24, 2014 - Banks of watercourse appear stable with good vegetation establishing, no erosion within ROW. Willow chutes appear to be sprouting new growth from between coir lifts along bank restoration. Silt fence on both sides of watercourse crossing was completely removed today. There are no pipeline markers on either side of this watercourse crossing.","May 24, 2015 – banks of watercourse appear stable with good vegetation establishment, no erosion within ROW.  Willow chutes appear to be sprouting new growth from between coir lifts along bank restoration.   Canada thistle exists on both sides of watercourse.  There are no pipeline markers on either side of this  watercourse crossing. Install as soon as practical in 2016. July 21, 2015 - Mechanically controlled weeds. August 26, 2015 - Applied herbicide, to control Canada thistle.","June 1, 2016 - banks are stable, good vegetation establishment on both sides of crossing. Minimal flow at this time. Canada thistle identified along the west bank of watercourse crossing (< 10 plants), no control measures recommended, desirable vegetation is likely to outcompete weeds at this low density. July 27, 2016- Markers, sign post and sign were installed on both sides of crossing, issue resolved.",,,
,Cultivated,AReduced crop growth  dmixing,,"May 24, 2014 - Cultivated land was seeded at this time.  Minor subsidence noted, normal farming practices should repair.","May 24, 2015 - The west portion of this tract consists of hayland. No subsidence noted. Vegetation comparable to off ROW.  2012 Reduced crop growth and admixing concerns, KP 2+120 to 2+220, are no longer evident, issues resolved.","June 1, 2016 - The cultivated portion at the west end of the tract has been seeded to cereal crop.  Intermittent minor subsidence exists, it not affecting land use and there is no work recommended. Issue Resolved. Canada thistle present on and off ROW. Landowner controlling weeds during normal farming operations (noticeable reduction in plant health), issue resolved",,,
