KP,Land use,Condition/Issues Noted  (Rating),Notes,Recommended mitigation measures,VEC,GIS,Topic
0+025,Residential – soccer fields,No issues observed,No issues. Sod on the soccer field is comparable to the Control.,None.,,,
0+245,Residential – soccer fields,vegetation issue (moderate),[Small dead patches of sod along the fence; and medium sized dead sod patches in the drainage ditch (ditch is intentional)  KP 0+420 to KP 0+520],Monitor in 2015 and re-vegetate as required.,,,
0+325,Watercourse/ Wetland,No issues observed,[No issues. Watercourse 11],None.,,,
0+360,Near a watercourse crossing,No issues observed,TNo issues.  he area surrounding the watercourse had effective erosion control and no terrain instability was noted.,None.,,,
0+470,Woodland,Noxious weed issue (high),"[The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. KP 0+400 to KP 0+650]","Monitor in 2015, implement weed control as required.",,,
0+470,Woodland,Thin topsoil thickness issues (moderate),A  [A 30m patch of cattail is present on the northwest side of ROW where no soils disturbance appears to have occurred. reas of bare ground are approximately 25% of the ROW. The topsoil appears to be thinner along the ditchline of the ROW.  KP 0+455 to KP 0+485],Monitor in 2015 and implement remedial action if necessary.,,,
0+630,Woodland,Noxious and invasive plant species issues (high),"[The presence of noxious weeds (Canada thistle, common ragweed, bull thistle, scotch thistle, annual sow thistle and perennial sow thistle) was noted on the ROW. Percentage of noxious weed cover was noted to be higher on ROW than off ROW in the surrounding wooded area. KP 0+400 to KP 0+650]","Monitor in 2015, implement weed control as required.",,,
0+720,Residential,No issues observed,T  [ROW was turned over to developer of housing - ponding; weeds; microtopography issues are all currently noted along the ROW due to the housing development being constructed. his area includes watercourse crossings 9 and 10. KP 0+720 to KP 1+225],None - Land turned over to the housing developer for management.,,,
0+850,Watercourse,No issues observed,"[Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Watercourse 10]",None - Land turned over to the housing developer for management.,,,
1+050,Watercourse,No issues observed,"[Two watercourses (9 and 10) have been combined into one channel by surrounding housing development project as planned prior to construction of Parkway Loop. As such, the watercourses have now been realigned to a different location that was not disturbed during construction therefore areas disturbed during construction are not present at the current watercourse crossing. Watercourse 9]",None - Land turned over to the housing developer for management.,,,
