Environmental Issues,Location,*Mitigative Measures and Observations in 2010,Mitigative Measures and Observations in 2011,Status,Recommendations,VEC,GIS,Topic
(a) Fill/backfill instability,Entire route,--,No issues were noted during • the 2011 PCEM. Trench subsidence issues are noted in element 2(d).,Unresolved,Continue monitoring for trench subsidence and for excessive crown loss causing altered drainage patterns and recontour where necessary.,1. PHYSICAL ENVIRONMENT,,
(a) Strippings/ subsoil mixing,Entire route,--,No subsoil mixing issues were • noted during the 2011 PCEM.,Resolved,None,2. SOIL AND SOIL PRODUCTIVITY,,
(b) Degradation of soil structure and lowering of soil productivity through compaction and rutting,Pipeline right-of-way,--,Rutting approximately 40 cm x • 100 m on east side of trench observed at KP 24.7,Unresolved,Repair rutting and monitor for vegetation establishment.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Steep slopes,North and south approach slopes • to watercourse from KP 4.2 to KP 5.2 required grading during construction. Potential exists for erosion on slopes.,Unable to access watercourse • due to ground conditions.,Unresolved,Monitor vegetation establishment and soil erosion potential.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,"Combination of water flow, • susceptible soil and vehicle ruts leading to erosion gully 60 cm deep from KP 7.1 to KP 7.2.",Unresolved,Repair gully erosion and monitor vegetation establishment and soil <s>erosion potential.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Erosion rill (15 cm x 10 cm x • 10 m) at KP 13.0.,Unresolved,Repair rill erosion and monitor vegetation establishment and soil <s>erosion potential.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Erosion gully (60 cm x 2 m x • 10 m) at KP 17.1.,Unresolved,Repair gully erosion and monitor vegetation establishment and soil <s>erosion potential.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Erosion rill (20 cm x 30 cm x • 5 m) at KP 20.3.,Unresolved,Repair rill erosion and monitor vegetation establishment and soil <s>erosion potential.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Moderate slopes,"Erosion observed on north slope • of unnamed drainage at KP 21.5. Approach slopes re-graded, bermed and seeded in 2010.",No erosion issues observed at • KP 21.5.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Erosion rill (10 cm x 30 cm x • 5 m) from KP 23.75 to KP 23.8.,Unresolved,Repair rill erosion and monitor vegetation establishment and soil erosion potential.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Moderate slopes,"Erosion observed on slopes of • unnamed drainage at KP 25.47. Approach slopes re-graded, bermed and seeded in 2010.",No erosion issues observed at • KP 25.47.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Steep slopes,"Erosion observed on the south • slope of unnamed drainage at KP 27.2. Approach slopes re-graded, bermed and seeded in 2010.",No erosion issues observed at • KP 27.2. Vegetation establishing well on slopes. See Plate 2.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,Subsidence observed • intermittently between KP 0.5 and KP 2.0. Issue causing water to pond.,No subsidence was noted • from KP 0.5 to KP 1. Unable to access right-of-way from KP 1.0 to KP 4.0.,Unresolved,Continue monitoring.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,Subsidence issues located • intermittently between KP 5.3 and KP 9.2.Potential for drainage issues.,No subsidence observed • along the right-of-way from KP 5.3 to KP 9.2.,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 2 m x • 5 m) at KP 12.,<s>Unresolved</s>,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (20 cm x 8 m x • 10 m) at KP 15.2.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 20 m x • 5 m) at KP 15.6.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,Subsidence observed • intermittently between KP 17.1 and KP 19.0. Issue causing water to pond.,Subsidence (75 cm x 3 m x • 3 m) observed at KP 18.4.  See Plate 3.,Unresolved,Repair subsidence and monitor.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (50 cm x 10 m x • 5 m) at KP 23.5.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (60 cm x 4 m x • 2 m) at KP 24.2.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 8 m • x1 m) at KP 25.5.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 10 m x • 1 m) at KP 26.1.,Unresolved,Repair subsidence and <s>monitor.</s>,2. SOIL AND SOIL PRODUCTIVITY,,
