Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 1-79-12,Treed - Gully erosion observed on the right-of-way at KP 0.12.  Erosion was repaired in September 2012.,"May, 2013 - 2012 repairs appear effective and vegetation is taking hold in the contoured swale. Erosion at KP 0+120, 2012 issue resolved. - There is some minor rutting from 3rd parties and minor subsidence. No work recommended, issue resolved - August 18, 2013 - Crew spot sprayed Canada thistle and picking and spraying Scentless Chamomile.","May 21, 2014 – KP 0+200 to 0+325, subsidence with bare areas on ditchline. Monitor. – KP 0+500 to 0+600, subsidence. Monitor – Survey lath to be removed throughout ¼.  – Vegetation growth at 90% of density off RoW. – Spraying from 2013 seemed effective. No weeds identified. – Minor rutting along RoW from recreationist ATV’s was noted within ¼. June 11, 2014 - Survey lath removed throughout ¼, issue resolved. – Thistle patches identified during reclamation work. Aug 28, 2014 – Herbicide application conducted to control thistle.","June 6, 2015 – Vegetation approx 90% of ground cover on RoW compared to off RoW.  – Herbicide application completed in 2014 appears effective (Canada thistle no longer present), continue to monitor.  - Scentless chamomile identified, picked, and bagged (KP0+270) approximately 120 plants, continue to monitor. – Minor rutting from ATV’s throughout, not impacting land use. – KP0+200 to KP 0+325 minor subsidence, not affecting land use, no work recommended, issue resolved July 15, 2015 – KP 0+270, scentless chamomile picked, bagged and disposed of (approx. 50 plants), recommend herbicide application. July 17, 2015 – KP 0+270 – intermittent herbicide application to control scentless chamomile. September 26, 2015 - Intermittent herbicide application, throughout ¼, to control Canada thistle.","June 1, 2016 - 90-100% vegetation cover compared to off-RoW.  - 2015 herbicide application appears effective. No noxious weeds observed (Canada thistle and scentless chamomile). Issue resolved. - KP 0+700, erosion rill running through seasonal drainage. Rill is vegetated, stable and is not affecting land use. Issue resolved. - KP 0+110 to 0+325 and 0+510 to 0+600, subsidence observed. Subsidence is vegetated, stable and is not affecting land use. Issue resolved.",,,
NW 1-79-12,Rare plants - Carolina geranium (KP 0+100) Resolved: No further monitoring is recommended.,,,,,,,
NW 1-79-12,Tributary of Henderson Creek,,,,"June 1, 2016 - KP 0+380, Unnamed Tributary to Henderson Creek is in good shape. Banks and bed appear stable. Excellent vegetation growth along banks.",,,
NE 2-79-12,Tributary of Henderson Creek-  Rill erosion observed on the right-of-way on the lower diversion berm of the east slope at KP 1.10.,"Oct 27, 2013 – KP 1+100 No rill erosion is evident in the vicinity with 100 % vegetation cover, issue resolved.",,"June 6, 2016 – Unnamed tributary is flowing steadily with low turbidity. Bank wraps and cribbing in excellent condition, there is vegetation cover throughout crossing. Bed of tributary is still and stable. No issue to report at this time.","June 1, 2016 - KP 1+100, Unnamed tributary is in good condition. Banks and bed appear stable. Excellent vegetation growth along banks.",,,
NE 2-79-12,Rare plants - hairy buttercup (KP 1+150) Unresolved: Further monitoring recommended.,"On August 10, 2013, Rare Plant Specialists visited the location and did not observe the rare plants. However, suitable habitat was observed at the site as well as other common buttercup species. Unresolved: Further monitoring is recommended in 2015, earlier in the growing season when the plants are most readily observed and after the rare plants have had sufficient time to re-establish.","September 7, 2014- Species not observed during site visit; however recorded GPS location of the pre-disturbance population is located outside of disturbed Project ROW. No suspected Project related effects to the pre-disturbance population. Issue resolved, no further monitoring is recommended.",,,,,
,PTreed - Rill erosion observed on the right-of-way on diversion berms with poor vegetation establishment at KP 1.78. oor vegetation establishment and tree planting survival on line of sight berm at KP 1.53.,"May, 2013 - Large grade cut appears to be stable. No erosion occurring and veg is re-establishing nicely. Minor rutting from quads on spoil side, monitor. Erosion starting in the bottom berm on the hill (KP 1+780), monitor.  August 18, 2013 Spot spraying Canada thistle and picking and spraying Scentless Chamomile September 20, 2013 KP 0+959 - Spot spraying thistle and other noxious weeds. Oct 27, 2013 – KP 1+530 Large patches of C. Thistle present – recommend control in 2014. Line of site berm has limited vegetation cover and requires seeding.","May 21, 2014 – KP 1+100, watercourse banks in excellent condition, silt fence and survey lath to be removed throughout ¼. – Bare areas on diversion berms at 1+675 and 1+800, touch up seeding required 2014. – Vegetation growth at 90% of density off RoW, with a few bare areas. – Spraying from 2013 seemed effective. No weeds identified. – Minor rutting along RoW from recreationist ATV’s was noted within ¼. June 11, 2014 – Canada Thistle patches identified. Plan on spot spraying 2014 throughout ¼. – KP 1+100 silt fence and survey lath removed throughout ¼, issue resolved. – Bare areas on diversion berms at 1+675 and 1+800, touch up seeding completed. Aug 28, 2014 - Noxious weeds (Canada Thistle) spot sprayed.","June 6, 2015 – Vegetation approximately 90% of ground cover on RoW compared to off RoW - Erosion noted in 2012 and 2013 (KP 1+780) is no longer evident, issue resolved. - poor vegetation cover on line of sight berm at KP 1+530 and diversion berms at KP 1+675 and 1+800 is no longer evident, issue resolved. . Small amounts of Canada thistle identified, not affecting land capability. Continue to monitor. – Minor rutting from ATV’s throughout, not impacting land use July 17, 2015 - Removed all Synthetic erosion control; wattles and metal pegs at unnamed tributary. Issue resolved. September 26, 2015 - Intermittent herbicide application, throughout ¼, to control Canada thistle.","June 1, 2016 - 90-100% vegetation cover comparable to off-RoW. - 2015 herbicide application appears effective. No noxious weeds observed. Issue resolved. - No erosion or subsidence observed within ¼.",,,
NW 2-79-12,Treed,"ASMay, 2013 KP 2+400 - Subsidence intermittent 2+350 - erosion on ditchline and erosion gully across the hotline.  ugust 18, 2013 Spot spraying Canada thistle and picking and spraying Scentless Chamomile  eptember 20, 2013 Spot spraying thistle and scentless chamomile.","May 21, 2014 – Bare areas on diversion berms and line of sight berm at KP 1+950, 2+000, 2+250, touch up seeding required 2014. Survey lath to be removed throughout ¼. – KP 2+400, subsidence. Monitor. – KP 2+550, erosion and subsidence across hotline. Monitor subsidence, repair erosion 2014. – Vegetation growth at 90% of density off RoW, with a few bare areas – Minor rutting along RoW from recreationist ATV’s was noted within ¼. June 11, 2014 - Erosion repaired across hotline at KP 2+550. Noxious weeds (Canada Thistle) noted, spray 2014. June 12, 2014 - Bare areas on diversion berms and line of sight berm at KP 1+950, 2+000, 2+250, touch up seeded, Survey lath removed throughout ¼, issue resolved. - Thistle patches identified during reclamation work.  Aug 25, 2014 Spot sprayed noxious weeds (Canada Thistle). Scentless chamomile no longer present, issue resolved.","June 6, 2015 – Vegetation approx 90% of ground cover on RoW compared to off RoW. Small amounts of Canada thistle identified, not affecting land capability. Continue to monitor. – Sparse vegetation on diversion berms, continue to monitor. – Roach looks good over ditch line, stable and well vegetated. – Subsidence at KP 1+950 on diversion berm, directly over ditch line. Recommend repairs. - Subsidence at KP 2+400 and erosion at KP 2+350 and 2+550 are no longer evident, issues resolved. July 17, 2015 -KP 1+950.-Installed wattles for erosion control measures along diversion berm. August 31, 2015 - KP 1+950- Filled in erosion/subsidence using material onsite. September 26, 2015 - Intermittent herbicide application, throughout ¼, to control Canada thistle.","June 1, 2016 - 90-100% vegetation cover compared to off-RoW.  - 2015 herbicide application appears effective. No noxious weeds observed. Issue resolved. - KP 1+950, 2+000, diversion berms and KP 2+250 line of sight berm still have bare areas. Recommend re-seeding and possible use of mulch/tackifier. - KP 1+950, erosion/subsidence repairs from 2015 were effective, Erosion control wattles effective, issue resolved. Little vegetative growth within area. Recommend re-seeding area. - KP 2+550, 2014 erosion repairs effective. Erosion control blanket has biodegraded. Issue resolved. - KP 2+570 to 2+690, intermittent subsidence observed. Subsidence is well vegetated, stable, and not affecting land use. No work recommended, issue resolved Oct 6, 2016 – KP 1+950, 2+000, diversion berms and KP 2+250 line of sight berm covered with layer of soil <s>amendment (biotic earth) and seeded. Issue resolved.</s>",,,
NE 3-79-12,Treed - Poor vegetation establishment and tree planting survival on line of sight berm at KP 2.29.,"May, 2013 - KP 2+800  Gully erosion across hotline within season drainage at 2+850. Repair (can be recontoured and lined with straw mat and waddles) KP 3+450 – More cross ROW erosion that should be repaired.  August 18, 2013 Spot spraying Canada thistle and picking and spraying Scentless Chamomile. September 20, 2013 KP 2+673 - spot spraying thistle and other noxious weeds. Oct 27, 2013 - KP 2+290 Line of site berm has limited vegetation cover and requires seeding.","May 21, 2014– KP 2+850, erosion across hotline. Repairs required 2014. – KP 2+950, minor erosion, repairs required 2014. – KP 3+200, subsidence. Monitor. – KP 3+450, subsidence and pooling water. Repairs required 2014. – Lathe to be removed throughout ¼, issue resolved – Vegetation growth at 90% of density off RoW. – Rutting along RoW from recreationist ATV’s was noted within ¼. June 11, 2014 – Canada Thistle patches identified during reclamation work, spraying required in 2014. June 12 - 13, 2014 – KP 2+850 and 2+950, erosion across hotline re-contoured, erosion controls installed and seeding completed. Seed blend approved by AESRD. – KP 3+450, subsidence repairs completed by hand. Seeding completed following topsoil replacement (seed mix approved by AESRD). August 25, 2014 - Noxious weeds (Canada Thistle) sprayed.","June 6, 2015 - Vegetation growth and density at 90% of off ROW - No weeds were identified. Line of sight (KP 2+290) vegetation issue is no longer evident, issue resolved. - ATV ruts were observed along ROW caused by recreational use. - KP 2+850 and 2+950, erosion repair completed last year is looking good. Repair is beginning to vegetate and erosion control materials appear to be affective. Issue resolved. - KP 3+200, subsidence noted in 2014, not affecting land use or revegetation of RoW (Oct 28, 2015). Issue resolved. - KP 3+450, subsidence/ponding water repair completed in 2014 was effective, as water is no longer pooling at this location, swale is vegetating, issue resolved. July 17, 2015 Canada thistle observed throughout. Recommend weed control. July 20, 2015 - intermittent herbicide application conducted to control Canada thistle and perennial sow thistle. September 26, 2015 - intermittent herbicide application conducted to control Canada thistle.","June 1, 2016 - 90% vegetation cover of off ROW  - 2015 herbicide application appears effective. No noxious weeds observed. Issue resolved. - ATV ruts were observed along ROW caused by recreational use. Caused by 3<s>rd</s> party, issue resolved.",,,
NW 3-79-12,"Treed - Subsidence was observed on the right-of-way at KP 3.70, KP 3.75, KP 3.96 and KP 4.10. Poor vegetation establishment and tree planting survival on line of sight berm at KP 3.95","May 2013 - Intermittent subsidence (including areas noted in 2012, KP 3+700, 3+750, 3+960, and 4+100) some is severe and warrants fixing.  KP 3+900 erosion gully across the hotline. Repair September 20, 2013 KP 3+508 Spot spraying thistle and other noxious weeds. 2 scentless picked and sprayed at KP 3.550 Oct 27, 2013 - Line of site berm (KP 3+950) has limited vegetation cover and requires seeding.","May 21, 2014 – KP 3+625, subsidence. Repairs required 2014. – KP 3+875, minor erosion. Monitor. – KP 3+950, bare areas on line of sight berm. Touch up seeding required 2014. – KP 3+900, erosion across hotline. Repairs required 2014. – KP 3+950, subsidence. Repairs required 2014. – Vegetation growth at 90% of density off RoW. Spraying from 2013 seemed effective. No weeds identified. – Rutting along RoW from recreationist ATV’s was noted within ¼. July 5, 2014 - Subsidence repairs (KP 3+625 and 3+950) and rutting repairs completed, area seeded with AESRD approved seed. Repaired cross drains and installed waddles at KP 3+900. Noxious weeds noted. Aug 25, 2014 - Noxious weeds sprayed","June 6, 2015 - Vegetation growth and density at 90% of off ROW control - No subsidence or erosional issues were observed in this ¼ section. - ATV ruts were observed along ROW caused by recreational (3<s>rd</s> party) use. - KP 3+625 (subsidence), 3+900 (erosion), 3+925 (erosion), and 3+950 (subsidence) repairs completed in 2014 are in good shape. There are no erosional issues and subsidence is no longer visible. Repaired area is vegetating well. Issues resolved - subsidence noted in 2012 and 2013 at KP 3+700, 3+750, and 4+100 and erosion (KP 3+875 are no longer evident, issues resolved. - KP 3+950, bare spots still exist on line of sight berm. Berm was re-seeded in 2014. Continue to monitor vegetation growth. July 17, 2015 Canada thistle observed throughout. Recommend weed control.  - KP 3+650 and 3+875, patches of scentless chamomile observed, picked, bagged, and herbicide application conducted. July 20, 2015 – intermittent herbicide application conducted to control Canada thistle and perennial sow thistle.  August 31, 2015 - KP 3+880 and KP 3+955, wattles appear to be damaged by wildlife/natural degradation. Installed of new stakes/wattles, issue resolved. September 26, 2015 - Intermittent (spot spraying) herbicide application conducted to control Canada thistle. - KP 3+875, patch of scentless chamomile was picked, bagged, and herbicide application conducted to control.","June 1, 2016 - 90% vegetation cover of off ROW  - 2015 herbicide application appears effective. No noxious weeds observed. Issue resolved. - ATV ruts were observed along ROW caused by recreational use. Caused by 3<s>rd</s> party, issue resolved. - KP 3+900, erosion rill repaired in 2014 is still eroding due to heavy water flow. Water is running over wattles and eroding soils across RoW. Recommend repairing eroded areas (using hand tools and onsite material) and installing more wattles to slow water down. - KP 3+900, diversion berms still have bare areas. Recommend re-seeding with possible use of mulch/tackifier. - KP 3+950, Subsidence repairs completed in 2014 are looking good (vegetated and stable). Issue resolved. Oct 6, 2016 – KP 3+900, completed erosion repair and installed 5 straw wattles, issue resolved. -KP 3+900, diversion berms covered with layer of soil amendment (biotic earth) and seeded. Issue resolved.",,,
NE 4-79-12,Hay/Cultivated - Subsidence observed on the right-of-way at KP 4.73.,"Oct 27, 2013 - KP 4+700 to 4+900 – intermittent subsidence located, including KP 5+920. Spoke to Landowner’s son on site (he worked the land this past growing season). He indicated that there was no concern with the current state of the RoW. They had worked the minor subsidence across the RoW, therefore no work required, issue resolved. 2012 subsidence issue at KP 4+730, issue resolved.","May 22, 2014 – KP 5+600 Rutting from farm machinery. Monitor, normal farming practices when under dry conditions will fix rutting, monitor. – Vegetation growth at 100% of density off RoW in hay field east of watercourse crossing and cultivated field west of watercourse crossing consistent with off RoW. Monitor crop growth. – No weeds identified. Aug 25, 2014 – Noxious weeds (Canada Thistle) noted and spot sprayed.","May 23, 2015 – Vegetation growth at 100% of density off RoW control. Monitor crop growth.  - KP 5+600 – rutting no longer evident, issue resolved. – Minor subsidence at 4+530 (east side of watercourse) and KP 4+750. Not affecting land use – no work recommended, issue resolved.","June 1, 2016 - Vegetation growth at 100% of density off RoW control. Field cultivated and seeded.  - Hay portion east of watercourse has been cultivated and seeded to cereal crop.  - No erosion was observed in this ¼. - KP 4+530, subsidence observed. Landowner expressed concerns with subsidence as land use has changed. Recommend topsoil fill. Planning to complete in 2017?",,,
