Potential Adverse Environmental Effect,Identified Issue,Location(s) (KL/KP),2011 Post-Construction Observations and/or Monitoring,Issue Resolution Status at End of 2011,Implemented or Recommended Measures to Resolve Issues,VEC,GIS,Topic
Erosion,Erosion rills or slumping,311.8,Grass vegetation has established on east approach slope. No new evidence of soil erosion was observed.,Resolved,,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,312.0,Grass vegetation continues to establish in localized areas of low grass establishment on the east approach slope. Only minor soil erosion (rilling) was observed in 2011.,Unresolved,Monitor in spring 2012 for evidence of soil erosion and low grass establishment and reseed where warranted.,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,346.6,"Gully erosion was repaired in 2010, no new erosion observed.",Resolved,,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,374.0,"All ESC measures installed in 2010 are functioning as planned, minor rilling was observed between coir logs as vegetation is slow to establish in these areas.",Unresolved,Monitor in spring 2012 for evidence of soil erosion and low grass establishment and reseed where warranted.,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,426.0,No evidence of new water erosion was observed in the gully in 2011. The vertical walls of the gully have begun to slough-in and grass vegetation is establishing.,Unresolved,Reduce the slope of the gully walls using hand tools and reseed in spring 2012.,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,458.8,Grass vegetation has established on the area to the west and adjacent the watercourse channel where sheet erosion was previously observed.,Resolved,,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,460.3,Grass vegetation has established on the area where rill erosion was previously observed.,Resolved,,PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,464.8,"At the time of the PCM survey, grass and woody vegetation were establishing well below the access road area where previous tension cracks were observed along the arm of Hargreaves Hill above the Fraser River.",Unresolved,"Approximately 180 willow, spruce and cedar plants were installed below the access road along the arm of Hargreaves Hill following the completion of earthworks in summer 2011. Monitor for erosion and vegetation establishment in 2012.",PHYSICAL ENVIRONMENT,,
Erosion,Erosion rills or slumping,Wolf Lake Pump Station,"Grass and forb vegetation were establishing well following earthworks and reseeding in 2010 to repair soil disturbance (rilling, cattle pugging and rutting). It appears cattle use was restricted in 2011. Only a few small, localized areas of low vegetation establishment were observed in 2011.",Resolved,,PHYSICAL ENVIRONMENT,,
Erosion,Erosion from slope onto edge of the Railway access road,Intermittent between 416.3 to 428.6,Only minor sedimentation was observed at the edge of the Railway access road.,Unresolved,"Sediment controls will be established at select locations in addition to seeding to encourage vegetation establishment in Spring 2012, where warranted.",PHYSICAL ENVIRONMENT,,
Erosion (cont'd),Erosion of watercourse banks,458.15 461.5,"At the time of PCM survey, erosion was observed at 458.15 and 461.5.",Unresolved,"Adjacent the 461.5 watercourse, approximately 240 alder, willow, spruce and cedar plants along with native grass seed were installed following earthworks in summer 2011. Monitor for erosion and vegetation establishment in 2012. Kinder Morgan has proposed remedial earthworks at the 458.15 watercourse in 2012. Prior to earthworks, riparian vegetation will be salvaged where feasible and replaced along with native grass seed installation following earthworks.",PHYSICAL ENVIRONMENT,,
Trench Subsidence,Sunken Trench,384.9 385.6 373.2,Grass vegetation was establishing well following earthworks in 2010.,Resolved,,PHYSICAL ENVIRONMENT,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing due to incorrect storage,336.2 to 336.6 419.0 to 421.0 427.0 434.3 to 435.4,Grass vegetation establishing well.,Resolved,,SOIL AND SOIL PRODUCTIVITY,,
Lowering of topsoil or root zone material capability through improper topsoil or root zone material/subsoil handling,Potential for soil mixing due to subsoil spilling on topsoil or root zone material,339.0 387.2 407.2 407.4 458.4 to 466.0,Grass vegetation establishing well.,Resolved,Monitor for grass vegetation establishment between KL 460.5 to KL 460.8 only in 2012.,SOIL AND SOIL PRODUCTIVITY,,
