Biophysical Element,Legal Land Description (W6M) and Kilometre Post (KP),Land Use,Outstanding Issue,Potential Adverse Environmental Effect,Proposed Action and Schedule,VEC,GIS,Topic
Instability in Fill Materials,"SE 34-79-12,  KP 1.0",Cultivated/ Tame Pasture,•  Minor subsidence,Altered natural drainage,Monitor subsidence in 2012.,1. Physical Environment,,
Erosion,"NW 26-79-12, KP 1.65",Bush,•  Minor erosion,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Erosion,"SW 24-79-12, KP 4.7",Tame Pasture/Bush,•  Moderate rill erosion,Altered natural drainage,Repaired in October 2011. Monitor in 2012.,1. Physical Environment,,
Erosion,"SE 23-79-12,  KP 4.9 to KP 5.1",Tame pasture,•  Severe gully erosion,Altered natural drainage,Repaired in October 2011. Monitor in 2012.,1. Physical Environment,,
Erosion,"SE 23-79-12,  KP 5.0",Henderson Creek,•  Severe gully erosion,Altered natural drainage,Repaired in October 2011. Monitor in 2012.,1. Physical Environment,,
Erosion,"SE 12-79-12,  KP 9.2",Bush,•  Minor rill erosion,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",1. Physical Environment,,
Lowering of Soil Productivity through Topsoil/Subsoil Admixing,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Degradation of Soil Structure and Soil Productivity through Compaction and Rutting,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Loss of Topsoil through Wind Erosion,--,--,--,--,No environmental issues identified during the 2011 PCMP.,2. Soil and Soil Productivity,,
Trench Subsidence,"SE 34-79-12,  KP 1.0",Cultivated/ Tame Pasture,•  Minor subsidence,Altered natural drainage,Monitor subsidence in 2012.,2. Soil and Soil Productivity,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SW 34-79-12, KP 0.3 to KP 0.5",Hay,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"NE 27-79-12,  KP 1.4 to KP 1.6",Tame Pasture,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 23-79-12,  KP 4.9 to KP 5.1",Tame pasture,•  Poor vegetation establishment,Erosion potential,Erosion repaired and reseeded in October 2011. Monitor in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 23-79-12,  KP 5.0",Henderson Creek,•  Poor vegetation establishment,Erosion potential,Erosion repaired and reseeded in October 2011. Monitor in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 14-79-12,  KP 6.4 to KP 7.0",Tame pasture,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"NW 12-79-12, KP 8.0 to KP 8.5",Tame Pasture/Bush,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SW 12-79-12, KP 8.5to KP 9.2",Bush,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Loss or Alteration of Native Vegetation and Vegetation Important to Wildlife,"SE 12-79-12,  KP 9.2 to KP 9.25",Bush,•  Poor vegetation establishment,Erosion potential,Monitor vegetation establishment in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"NE 23-79-12, KP 3.75 to KP 3.80",Wetland,•  Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"NW 24-79-12, KP 4.16 to KP 4.21",Wetland,•  Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"SE 23-79-12, KP 4.75 to KP 4.80",Wetland,•  Undesirable species,Reduced desired vegetation growth,Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"NE 14-79-12,  KP 5.9",Tame pasture,•  Weeds,Reduced desired vegetation growth,Scentless chamomile was picked and disposed of in October 2011. Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"NE 14-79-12, KP 6.12 to KP 6.15",Wetland,•  Weeds •  Undesirable species,Reduced desired vegetation growth,Scentless chamomile was picked and disposed of in October 2011. Monitor in 2012.,3. Vegetation,,
Weeds and Undesirable Species,"SE 12-79-12, KP 9.25",Bush,•  Weeds,Reduced desired vegetation growth,Creeping (Canada) thistle was sprayed in October 2011. Monitor in 2012.,3. Vegetation,,
Alteration of Natural Flow Patterns,"SE 34-79-12,  KP 1.0",Cultivated/ Tame Pasture,•  Minor subsidence,Altered natural drainage,Monitor subsidence in 2012.,4. Water Quality and Quantity,,
