Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
14,NW 33-41-8,189.4,348,Vegetation - Weeds,--,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,No weed issue observed on construction right-of-way.,Weeds sprayed in summer 2012 and July 2013.,Resolved,None.,,W4M,
17,SW 6-40-4,230.3,418,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation has been slower to establish in this area due to sandy soils. Vegetation is now established to an acceptable level. No issues observed.,--,Resolved,None.,,W4M,
17,NW 32-39-4,231.9 to 232.2,421,Vegetation – Weeds,High density of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way.,<s>Issue not assessed </s>during 2013 survey<s>. Status of issue amended to </s>unresolved as a result of the 2012 NEB Information Request (IR) No.1.,"Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Monitor in 2014.,,W4M,
17,SW 32-39-4,232.2 to 232.9,422,Vegetation – Weeds,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way.,<s>Issue not assessed </s>during 2013 survey<s>. Status of issue amended to </s>unresolved as a result of the 2012 NEB IR No.1.,"Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Monitor in 2014.,,W4M,
17,SE 32-39-4,232.9 to 233.8,423,Vegetation – Weeds,--,High density of downy brome observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal to off right-of-way. EI has requested additional observation in 2013 to ensure downy brome has not re-established.,"Site not assessed by TERA due to unsafe road conditions. Communication with EI has determined that weeds (downy brome) are still a concern at this site, however are being managed by Enbridge Operations.","Weeds baled and hauled away in summer 2011. Weeds sprayed in May, June and July 2012. Seeding completed in fall 2012. Weeds baled and removed summer 2013.",Unresolved,Monitor in 2014.,,W4M,
19,SW 23-38-2,260.0,473,Vegetation – Establishment,--,--,Livestock not consuming vegetation.,Vegetation establishing well at this location. No establishment issues observed.,Tract sprayed in summer 2012 in preparation to reseed. 2013: Reseeded.,Resolved,None.,,W4M,
19,SW 23-38-2,260.3,473,Vegetation – Weeds,"High density of flixweed, kochia, foxtail barley, wild buckwheat and lamb's-quarters on construction right-of-way.",Moderate density of kochia and flixweed observed on construction right-of-way during ground reconnaissance.,"Moderate densities of kochia, flixweed and lamb's-quarters observed on construction right-of-way during ground reconnaissance. Patch is creeping into hay field.",Reseeded area is establishing well. An isolated patch of yellow toadflax exists in this area.,Tract sprayed in summer 2012 in preparation to reseed.,Unresolved,Manage weeds and monitor in 2014.,,W4M,
20,NW 35-37-1,271.2 to 271.55,493,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed along construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation establishing well. No issues observed.,Reseeded in fall 2011.,Resolved,None.,,W4M,
21,NE 11-37-28,284.0,516,Vegetation - Weeds,"Moderate density of perennial sow-thistle, kochia, Russian pigweed and clover species observed on construction right-of-way during ground reconnaissance.","Moderate density of kochia, lamb’s-quarters and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",Patch of Canada thistle at the edge of some rig matting observed on construction right-of-way during ground reconnaissance.,Presence of Canada thistle originates from the integrity dig in the area. This issue will be addressed by Enbridge Operations personnel.,Weeds sprayed in summer 2012.,Resolved,None.,,W3M,
21,NW 33-36-27,290.2 to 290.8,527,Soils - Subsidence,--,--,--,Not surveyed by TERA in 2013. Repaired by Enbridge in fall 2013.,Subsidence repaired in fall 2013.,Unresolved,Monitor in 2014.,,W3M,
