Environmental Issues,Location,Mitigative Measures Implemented<s>1 </s>,Status,Proposed Post-Construction Measures,VEC,GIS,Topic
a) Compaction,Entire route,"- Soils were dry throughout the construction program and compaction was of limited concern. - The use of compaction alleviation measures (e.g., ripping, chisel plowing and paratilling) was limited at some locations due to concerns related to additional soil drying and pulverization. - Nevertheless, some residual compaction may remain at locations where compaction alleviation measures were not implemented. - Drought conditions prevented assessment during the 2002 post-construction monitoring program.",Unresolved,"- Monitor crop response in 2003 and take penetrometer readings where warranted.  Take remedial measures (e.g., paratill) if severe compaction is evident.",1. LOSS OF AGRICULTURAL CAPABILITY,,
b) Weed proliferation,Entire route,"- Disturbed noncultivated portions of the route were reseeded.  Certificates of analysis of the seeds were reviewed and retained.   - Straw used in crimping operations was obtained from the landowner or approved by the landowner prior to use. - Weed control implemented, where warranted, by Enbridge.",Unresolved,- Monitor for weed infestation in 2003.,1. LOSS OF AGRICULTURAL CAPABILITY,,
b) Weed proliferation,KP 177.97; KP 178.21 to KP 178.22; and KP 182.3,"- Leafy spurge present on construction right-of-way at the first two locations.  The plants, their root systems and the affected soil were excavated, loaded into trucks and transported to the Hardisty soil remediation site where oil contaminated soils are incinerated. - Plants were removed where found during the 2002 post-construction monitoring program.",Unresolved,- Monitor for leafy spurge infestations in 2003.,1. LOSS OF AGRICULTURAL CAPABILITY,,
b) Weed proliferation,KP 234.7,- Topsoil from a 20 m x 30 m area infested with yellow toadflax was salvaged and stockpiled separately from adjacent topsoils.  During clean-up the topsoil was replaced over its preconstruction location.  Equipment involved in topsoil salvage and replacement activities were cleaned prior to proceeding down the right-of-way. - Large patch (1000’s of plants) found on and off of the right-of-way at this location during the 2002 post-construction monitoring program.,Unresolved,- Control and monitor necessary in 2003.,1. LOSS OF AGRICULTURAL CAPABILITY,,
c) Three-lift soil handling,KP 248.3 to KP 250.2 KP 299.11 to KP 301.45 KP 310.23 to KP 310.47 KP 312.33 to KP 312.83,- Grading required at three-lift soils handling location; upper subsoils lift overlapped topsoil windrow. - Approval for variance from approved soils handling methods was obtained from the NEB. - No signs of adverse effects noted during the 2002 post-construction monitoring program.,Resolved,---,1. LOSS OF AGRICULTURAL CAPABILITY,,
"a) Wind erosion on sandy soils, dry soils, pulverized soils and soils difficult to revegetate",See Environmental Alignment Sheets,- Topsoil windrows were monitored for wind erosion.  Water was applied to the topsoil windrows. - Topsoil was stripped from the work side where shallow topsoils were present on cultivated or poorly sodded lands in order to minimize the risk of erosion and pulverization of dry soils. - Water was applied to the work side where topsoils were deep. - Appropriate seed mixes were sown on noncultivated portions.  Straw crimping was conducted on lands prone to erosion control including cultivated lands where the topsoil was pulverized. - Straw crimping was effective.  No evidence of wind erosion noted during the 2002 post-construction monitoring program.,Resolved,---,2. EROSION,,
b) Water erosion on moderately steep slopes,Long moderately steep slopes KP 177.3 to KP 178.4,- Straw crimping was implemented. - Straw crimping was effective.  No evidence of water erosion noted during the 2002 post-construction monitoring program.,Resolved,---,2. EROSION,,
a) Bank stability or erosion of approaches to the creek,Eyehill Creek KP 272.2,"- Banks and approaches were seeded.  - Straw crimping was conducted, where warranted. - Good revegetation noted during the 2002 post-construction monitoring program.  No erosion was evident.",Resolved,---,3. WATER CROSSINGS,,
a) Natural drainage patterns,Entire route,- Gaps were left in the topsoil pile at natural drainage ways during topsoil salvage operations. - The right-of-way was recontoured to the preconstruction profile and an appropriate trench crown was provided. - No drainage problems were noted during the 2002 post-construction monitoring program.,Resolved,---,4. DISRUPTION TO DRAINAGE,,
a) Loss of rare plants,KP 177.75 to KP 177.79,"- In order to protect sand millet, the work side was narrowed by ~5 m, no grading was allowed and a blade width of sod was salvaged and placed on straw matting.  The sod was then replaced and straw from the matting was then spread over the replaced sod.  Low milkweed at KP 177.7 were transplanted prior to commencement of construction. - No sand millet was located during the 2002 post-construction monitoring program.  Sod pieces were not rooted well.",Unresolved,- Monitor the success of the sand millet and low milkweed reestablishment in 2003.,5. VEGETATION,,
a) Loss of rare plants  (cont’d),KP 193.03,- A tree spade was used to transplant four burr oaks to north side of the right-of-way and a fifth was transplanted by hand.  No brushing was allowed within 50 m until the transplanting was completed. - 3 of the transplanted saplings were located during the 2002 post-construction monitoring program and an additional 3 saplings were found growing naturally.,Unresolved,- Monitor in 2003.,5. VEGETATION,,
a) Loss of rare plants  (cont’d),KP 197.85 to KP 198.065,"- The work side was narrowed by ~10 m, brush was hand cleared, straw was spread on the brushed area prior to the installation of a ramp and sod containing large Canada St. John’s wort was salvaged from the trench area and placed on a straw matting.  The ramp was then removed and the sod replaced.  Seed was collected from off right-of-way areas and saved for planting in 2002. - 22 sites each with 5-10 plants were found in depressions along the right-of-way during the 2002 post-construction monitoring program.",Resolved,---,5. VEGETATION,,
