Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
13,SE 19-42-9,HT 0.7,327.03,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,SE 19-42-9,HT 1.2 to HT 1.5,327.04,Vegetation – Weeds,"Chemical control of dandelion, pigweed, perennial sow-thistle in 2009.",Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,NW 17-42-9,HT 1.6,327.04,Vegetation – Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13,NW 17-42-9,HT 1.92 to HT 1.98,327.05,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: healthy (93%),"Narrowed construction right-of-way. Single lane traffic only; geotextile installed for vegetative mat protection, segregation and sediment control. Organics salvaged over trench line only.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: healthy with problems (77%). Weeds: none observed. Riparian: woody vegetation removed. Bare ground on right-of-way. Heavily disturbed by cattle.,Unresolved,Monitor in 2011.,,W4M,
13,NW 17-42-9,HT 2.0 to HT 2.1,327.05,Vegetation - Rare Plant,Narrowed down the construction right-of-way to avoid population of scratch grass.,Survival success of population.,1000's of plants confirmed.,Resolved,None.,,W4M,
13,NW 17-42-9,HT 2.0 to HT 2.1,327.05,Vegetation - Rare Plant,Confirmed prairie wedge grass outcroppings were south of approved construction right-of-way boundary.,Survival success of population.,12 plants found in 5 locations.,Unresolved,Monitor in 2011.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation – Weeds,Mowing of weed infestations on the right-of-way in 2009.,Potential for weed introduction and spread.,"Moderate density of scentless chamomile, narrow-leaved hawk's-beard and shepherd's-purse on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
13,NE 16-42-9,HT 4.0 to 179.9,327.08 332,Vegetation – Weeds,Chemical control of broad-leaf invasive species in 2009.,Potential for weed introduction and spread.,"Moderate density of scentless chamomile, narrow-leaved hawk's-beard and shepherd's-purse on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W4M,
13,NE 16-42-9,179.2,327.08,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
13 (Cont'd),NE 16-42-9 (Cont'd),179.6,332,Vegetation – Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W4M,
