Wetland Number,Total Wetland Area (ha),Wetland Area Within Corridor &TWA Before Disturbance 2008 (ha),Restored Wetland Area Within Corridor & TWA After Disturbance  2010 (ha),Restored Wetland Area Gain or Loss (ha),Permanent Wetland Alteration (ha),VEC,GIS,Topic
1,0.17,0.06,0.07,0.01,0,,,
2,0.79,0.03,0.059,0.029,0,,,
3A,0.16,0.07,0.084,0.014,0,,,
3B,0.18,0.07,0.061,-0.009,0,,,
4,3.3,0.03,0.032,0.002,0,,,
5,0.02,0,0,0,0,,,
6,0.63,0.19,0.194,0.004,0.025,,,
7,0.03,0.03,0.024<s>1</s>,-0.006<s>1</s>,0.006,,,
8,0.07,0.01,0.024,0.014,0,,,
10A,0.08,0.04,0.051,0.011,0,,,
10B,0.07,0.01,0.052,0.042,0,,,
11 & 13,0.33,0.18,0.273,0.093,0,,,
12,0.26,0.08,0.088,0.008,0,,,
14,0.01,0,0,0,0,,,
15,0.06,0.03,0.068,0.038,0,,,
16,0.08,0,0,0,0,,,
17,0.05,0,0,0,0,,,
Total,6.29,0.83,1.08,0.25,0.031,,,
