Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 03-064-07 W6,None 0+000 to 0+200,- good vegetation establishment was noted throughout the quarter section,"June 17, 2017 - Vegetation cover is 50-65% comparable to off ROW control with some bare areas exhibiting 0-50% cover. Grasses beginning to establish along with broadleaf shrubs.  - KP 0+050 – Perennial sow thistle observed, recommend herbicide application. - Trench breaks functioning well as no pooling of water was observed. - ATV/UTV rutting observed throughout tract. Ruts currently holding water; monitor for settlement and vegetation. - No subsidence issues observed in tract. July 11, 2017 - KP 0+100 – 0+200 – Intermittent herbicide application conducted to control perennial sow thistle. September 11, 2017 – KP 0+025 and 0+100 – Herbicide application conducted to control perennial sow thistle.","June 27, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, birdsfoot trefoil, vetches and clover. Low vegetation cover issues noted in 2017 are no longer present, issue resolved. - KP 0+020 to 0+070 – Perennial sow thistle observed, recommend herbicide application. - cross drains in place at suitable locations functioning as they should. - No subsidence or erosion was identified in this ¼. - ATV ruts noted in 2017 are no longer evident, issue resolved. July 16, 2018 – KP 0+020 to 0+070 – Intermittent herbicide application conducted to control perennial sow thistle and oxeye daisy. August 20, 2018 – KP 0+020 to 0+070 – Perennial sow thistle observed, recommend additional herbicide application. Sept 5, 2018 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.",,,
SW 03-064-07 W6,Moderate to High Issues with Plant Growth (moderate) 0+200 to 1+180,- intermittent decreased percent cover of vegetation was noted throughout the quarter section (approximately patches of 100-200 m of decreased percent cover of vegetation),"June 17, 2017 -Vegetation cover is 50-65% comparable to off ROW control with some bare areas exhibiting 0-50% cover. Grasses establishing well along with broadleaf shrubs. - KP 0+200 to 1+000 – Perennial sow thistle observed intermittently, recommend herbicide application. - Trench breaks functioning well as no pooling of water was observed. - KP 0+410 to 0+500 and 0+800 to 0+870 – Minor erosion rills observed, recommend installation of erosion control materials. - No subsidence observed in tract.  July 11, 2017 - KP 0+200 to 1+130 – Herbicide application conducted to control perennial sow thistle and scentless chamomile (KP 1+120). September 11, 2017 – KP 0+200 to 1+130 - Herbicide application conducted to control perennial sow thistle and oxeye daisy (KP 0+210). September 18, 2018 - KP 0+410 to 0+500 and 0+800 to 0+870 – Erosion control materials installed, issue resolved.","June 27, 2018 - Vegetation establishment throughout tract is 65-80% comparable to off ROW control (increased from 0-50% from previous year assessment); Low vegetation issue noted in 2017 is no longer present, issue resolved. - Native vegetation consisting of grasses, clover, American vetch, birdsfoot trefoil, large-leaf aven, common yarrow, wild rose, raspberry and Indian paintbrush. Several locations throughout tract exhibiting excellent grass establishment, exceeding 1m in height. - KP 0+250 – Oxeye daisy – picked, bagged and disposed of. - cross drains are functioning well as no ponding was observed. - KP 0+410 to 0+500 and KP 0+800 to 0+870 – 2017 erosion controls were effective, no new erosion observed, vegetation cover has improved, grasses and broadleaf vegetation is establishing in these areas. - No rollback present throughout tract. - No subsidence was identified within tract. July 16, 2018 – KP 1+050 – Herbicide application conducted to control perennial sow thistle. August 20, 2018 – KP 0+510, 0+650 and 1+050 – Perennial sow thistle observed, recommend herbicide application. September 5, 2018 – KP 0+510 to 1+050 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.",,,
SW 03-064-07 W6,Noxious Weeds (moderate) 0+200 to 1+180,- populations of perennial sow thistle (Sonchus arvensis) were noted,"June 17, 2017 -Vegetation cover is 50-65% comparable to off ROW control with some bare areas exhibiting 0-50% cover. Grasses establishing well along with broadleaf shrubs. - KP 0+200 to 1+000 – Perennial sow thistle observed intermittently, recommend herbicide application. - Trench breaks functioning well as no pooling of water was observed. - KP 0+410 to 0+500 and 0+800 to 0+870 – Minor erosion rills observed, recommend installation of erosion control materials. - No subsidence observed in tract.  July 11, 2017 - KP 0+200 to 1+130 – Herbicide application conducted to control perennial sow thistle and scentless chamomile (KP 1+120). September 11, 2017 – KP 0+200 to 1+130 - Herbicide application conducted to control perennial sow thistle and oxeye daisy (KP 0+210). September 18, 2018 - KP 0+410 to 0+500 and 0+800 to 0+870 – Erosion control materials installed, issue resolved.","June 27, 2018 - Vegetation establishment throughout tract is 65-80% comparable to off ROW control (increased from 0-50% from previous year assessment); Low vegetation issue noted in 2017 is no longer present, issue resolved. - Native vegetation consisting of grasses, clover, American vetch, birdsfoot trefoil, large-leaf aven, common yarrow, wild rose, raspberry and Indian paintbrush. Several locations throughout tract exhibiting excellent grass establishment, exceeding 1m in height. - KP 0+250 – Oxeye daisy – picked, bagged and disposed of. - cross drains are functioning well as no ponding was observed. - KP 0+410 to 0+500 and KP 0+800 to 0+870 – 2017 erosion controls were effective, no new erosion observed, vegetation cover has improved, grasses and broadleaf vegetation is establishing in these areas. - No rollback present throughout tract. - No subsidence was identified within tract. July 16, 2018 – KP 1+050 – Herbicide application conducted to control perennial sow thistle. August 20, 2018 – KP 0+510, 0+650 and 1+050 – Perennial sow thistle observed, recommend herbicide application. September 5, 2018 – KP 0+510 to 1+050 – Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle.",,,
NW 34-063-07 W6,Rollback 1+650 to 1+970,,"June 17, 2017 - Rollback in tract from KP 1+700 – 1+930 functioning well as no 3rd party use observed. Vegetation growth within rollback is 0-50%. Monitor for increase in vegetation density.","June 27, 2018 - Rollback in tract from KP 1+700 – 1+930 functioning well. No 3rd party use observed. Vegetation growth within rollback is 50-65%, increased from 0 to 50% in previous year’s assessment.",,,
NW 34-063-07 W6,None 1+130 to 1+980,,"June 17, 2017 - Vegetation cover is 50-65% comparable to off ROW control with some bare areas exhibiting 0-50% cover. Grasses establishing well along with broadleaf shrubs. - KP 1+400 – Scentless chamomile picked/bagged and disposed of. - KP 1+450 to 1+500 – Perennial sow thistle observed intermittently, recommend herbicide application.  July 11, 2017 - G KP 1+450 to 1+500 – Intermittent herbicide application conducted to control perennial sow thistle. September 11, 2015 – KP 1+450 to 1+500 – Intermittent herbicide application conducted to control perennial sow thistle.","June 27, 2018 - Vegetation cover is 65-80% comparable to off ROW control with some bare areas on the work side of the ROW exhibiting 50-65% cover. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and willows. 2017 low vegetation issue resolved. - Perennial sow thistle (KP 1+300) and meadow hawkweed (KP 1+500 to 1+700) observed, recommend herbicide application. - Cross drains functioning properly. - No subsidence or erosion observed during assessment.   July 16, 2018 – KP 1+200 to 1+700 – Intermittent herbicide application conducted to control perennial sow thistle and meadow hawkweed. August 20, 2018 – Meadow hawkweed (KP 1+355 and 1+500 to 1+700) and perennial sow thistle (KP 1+250 to 1+855) observed intermittently, recommend herbicide application. Sept 5, 2018 – KP 1+250 to 1+855 – Intermittent herbicide application conducted to control perennial sow thistle and meadow hawkweed.",,,
SW 34-063-07 W6,1+950 to 2+800,,"June 17, 201 - Vegetation cover on the ROW is 0 to 50%, compared to the off ROW control for most of the 1/4. Vegetation cover on spoil side of ROW is 65-80% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - Vegetation cover through roll back is 0-50% compared to off ROW.  - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.  - Cross drains throughout ¼ are functioning and effective at maintaining hydrology.  - KP 2+740 – Removed pipeline construction skid. Issue Resolved - KP 2+550 – Minor erosion observed, recommend installation of erosion control materials. July 11, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 11, 2017 – No noxious weeds observed, control measures effective, issue resolved. September 18, 2017 – KP 2+550 – Erosion repairs completed and erosion control materials installed. Issue resolved.","June 27, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Vegetation consists of grasses, birdsfoot trefoil, vetches, sedges, yarrow, bluebell, willow, Indian paintbrush, prickly rose, avens and clover. - Meadow hawkweed (intermittently) and Canada thistle (KP 2+160) observed, recommend herbicide application. - KP 2+550 - 2017 erosion repairs observed to be effective, although minor ponding observed, recommend repairs July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, Canada thistle, bull thistle, and perennial sow thistle. August 20, 2018 – Meadow hawkweed (KP 2+070), Canada thistle (KP 2+160), and perennial sow thistle (KP 2+765) observed, recommend herbicide application. Sept 5, 2018 – Herbicide application conducted to control meadow hawkweed (KP 2+070), Canada thistle (KP 2+160), and perennial sow thistle (KP 2+765). Sept 6, 2018 – KP 2+550 – Ponding issue repaired, issue resolved.",,,
NW 27-063-07 W6,2+800 to 3+050,,"June 17, 2017 - Vegetation cover on work side of ROW is 0-50% compared to the off ROW control. Vegetation cover on spoil side of ROW is 65-80% compared to the off ROW control. Desirable vegetation continues to establish on ROW.  - No noxious weeds were identified.  - Cross drains throughout ¼ are functioning and effective at maintaining hydrology.  - No soil stability issues.  July 11, 2017 - No noxious weeds were identified.  September 11, 2017 - No noxious weeds observed in ¼.","June 27, 2018 - Vegetation establishment throughout tract is 65-80% comparable to off ROW control. 2017 low vegetation issue resolved. Native vegetation consisting of grasses, clover, scouring rushes, willows, bluebell, American vetch, birdsfoot trefoil, large-leaf aven, common yarrow, wild rose, raspberry and Indian paintbrush. Several locations throughout tract exhibiting excellent grass establishment, exceeding 1m in height. - Meadow hawkweed observed intermittently, recommend herbicide application. - Cross drains are functioning well as no ponding was observed. - No subsidence or erosion was identified within tract. July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 20, 2018 - No new noxious weeds observed. Sept 5, 2018 - No noxious weeds were identified on ROW.",,,
NE 28-063-07 W6,Rollback 3+100 to 3+750,,"June 17, 2017 - Rollback has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","June 27, 2018 - Rollback in tract from KP 3+100 – 3 +750 functioning well. No 3rd party use observed. Vegetation growth within rollback is 50-65%.",,,
NE 28-063-07 W6,Moderate to High Issues with Plant Growth (high) 3+050 to 3+765,- decreased percent cover of vegetation was noted throughout the quarter section,"June 17, 2017 - Vegetation cover on the ROW is 0 to 50% compared to the off ROW control. However appears to be establishing equally across ROW. - KP 3+565 – 3+765 - Vegetation cover on the ROW is 65 to 60% compared to the off ROW control. Throughout rollback and remainder of quarter.  - Desirable vegetation continues to establish on ROW. - No noxious weeds were identified.  - No soil stability issues. July 11, 2017 - No noxious weeds were identified.  September 11, 2017 - KP 3+540, scentless chamomile individual observed and controlled via herbicide application.","June 27, 2018 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and birdsfoot trefoil. Previous vegetation cover issues resolved. - Cross drains functioning properly.  - Meadow hawkweed observed intermittently, recommend herbicide application. - No subsidence or erosion observed during assessment July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and bull thistle (KP 3+100) August 20, 2018 - No additional noxious weeds were observed. Aug 5, 2018 - No noxious weeds were identified on ROW. Sept 5, 2018 - No noxious weeds were identified on ROW.",,,
NE 28-063-07 W6,Noxious Weeds (low) 3+450,"- two scentless chamomile (Tripleurospermum inodorum) individuals were on the slope. - picked and disposed of properly on July 26, 2016","June 17, 2017 - Vegetation cover on the ROW is 0 to 50% compared to the off ROW control. However appears to be establishing equally across ROW. - KP 3+565 – 3+765 - Vegetation cover on the ROW is 65 to 60% compared to the off ROW control. Throughout rollback and remainder of quarter.  - Desirable vegetation continues to establish on ROW. - No noxious weeds were identified.  - No soil stability issues. July 11, 2017 - No noxious weeds were identified.  September 11, 2017 - KP 3+540, scentless chamomile individual observed and controlled via herbicide application.","June 27, 2018 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry, vetch and birdsfoot trefoil. Previous vegetation cover issues resolved. - Cross drains functioning properly.  - Meadow hawkweed observed intermittently, recommend herbicide application. - No subsidence or erosion observed during assessment July 16, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and bull thistle (KP 3+100) August 20, 2018 - No additional noxious weeds were observed. Aug 5, 2018 - No noxious weeds were identified on ROW. Sept 5, 2018 - No noxious weeds were identified on ROW.",,,
