Legal Location,Land Use,2012 Issue(s),2012 Notes,2012 Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,Recommendation(s),VEC,GIS,Topic
SE 29-75-09 W6,Tame Pasture,Subsidence,Subsidence observed on right-of-way at KP 0.00.,Subsidence was repaired in September 2012. Monitor in 2013.,"• Slight subsidence noted during spring assessment south of the meter station, no issue at the time, and monitor as needed.  • Landowner contacted PCRM in October, regarding the need for completion of subsidence repairs – PCRM completed assessment – repairs are required.","May 24, 2014 - RoW is fenced in this tract, wires have been pulled back at the west end of the tract.  Vegetation on RoW is comparable to off RoW.   Subsidence as previously assessed in this tract is attributed to erosion from drainage through Meter Station.   Shallow depression exists appears to be poor contour at foreign pipeline crossing (Alliance) Canada thistle identified.  Monitor in 2015 and control as required. August 8 and 9, 2014 - Repaired drainage issue at meter station (KP 0+000) and installed erosion control material.  Seeded with timothy and alfalfa.  Filled in minor subsidence with topsoil at third party pipeline crossing (KP 0+020). Repaired permanent fencing around perimeter of repair areas. Reinstalled gate on north side of repair area to prevent livestock access.",Monitor in 2015,,,
NE 20-75-09 W6,Cultivated,SHydrovac holes ubsidence,Two hydrovac holes observed on the right-of-way at KP 0.13 and one hydrovac hole observed at KP 0.15.  Subsidence observed on the right-of-way at KP 0.43.,Hydrovac holes were repaired in September 2012. Monitor hydrovac holes and subsidence in 2013.,,"May 24, 2014 - minor subsidence noted at side bend and poor contouring along north boundary of RoW normal farming practices should remediate.  Seeding completed at this time.  RoW is not fenced",Monitor in 2015,,,
NW 20-75-09 W6,Hay,Erosion,Hay has not yet been seeded by landowner. Rill erosion observed on right-of-way at KP 0.80.,Rill erosion was repaired in September 2012. Monitor in 2013.,,"May 24, 2014 - the east portion of this 1/4, previously in Hay land, has been cultivated.  Minor subsidence noted at east ¼ line, normal farming practices should remediate, continue to monitor.  Fencing in poor condition, appears to have been damaged by cultivation equipment.",Monitor in 2015.,,,
NW 20-75-09 W6,Tame Pasture   Weeds,,"High densities of stinkweed, wild buckwheat and dandelion observed on right-of-way from KP 1.00 to KP 1.40.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"May 24, 2014 -the west portion of this 1/4 is improved pasture and has not been grazed and does not appear to be under any land use management at this time.  ¼ line fence removed, fencing materials remain onsite.  Materials should be removed, recommend contact with landowner to determine interest in materials.",Monitor in 2015.,,,
NW 20-75-09 W6,Unnamed tributary to Bear River,Weeds,Patch of creeping thistle) observed on right-of-way on the west bank at KP 1.25.,"Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"May 24, 2014 - Banks of watercourse appear stable with good vegetation establishing, no erosion within RoW.  Willow chutes appear to be sprouting new growth from between coir lifts along bank restoration. Silt fence on the east side of watercourse crossing was partially removed today.  Silt fence on the west side of watercourse crossing was completely removed. There are no pipeline markers on either side of this watercourse crossing",Monitor in 2015.,,,
NE 19-75-09 W6,Hay,HWeeds ydrovac holes,Moderate density of wild buckwheat and narrow-leaved hawk’s-beard observed on right-of-way from KP 1.40 to KP 1.61. Hay has not yet been seeded. Two hydrovac holes observed on right-of-way at KP 1.43.,"HMonitor weeds in 2013 and, if warranted, implement weed control measures.  ydrovac holes were repaired in September 2012, monitor in 2013.","• Minor subsidence and contouring issues, requires repair in the fall. • Subsidence and contouring repairs completed in October. • Topsoil depth from stripping determined by 4 soil pits.  Depth of cover probed to ensure safety.  Topsoil depth ranged from 18-21 cm and depth of cover exceeded 1.6 meters. • Topsoil stripped and piled on west side of right-of-way.  Subsoil redistributed to address subsidence and contour repair.  Topsoil spread over site and repairs completed.","May 24, 2014 - East portion of this 1/4 is hay land, with vegetation comparable to off RoW.  2 large rocks were removed from the RoW by hand.  No pipeline markers exist at the south ¼ line. Minor depression located, associated with natural drainage, continue to monitor for ponding water.",Monitor in 2015,,,
SE 19-75-09 W6,Cultivated,No,None.,None.,"• Minor subsidence and contouring issues, requires repair in the fall.  Seeded to wheat and used for fall thrashing event for the Homestead Community Hall. • Subsidence and contouring repairs completed in October. • Topsoil depth for stripping determined by 4 soil pits.  Depth of cover probed to ensure safety.  Topsoil depth ranged from 18-21 cm and depth of cover exceeded 1.6 meters. • Topsoil stripped and piled on west side of right-of-way.  Subsoil redistributed to address subsidence and contour repair.  Topsoil spread over site and repairs completed.","May 24, 2014 – This portion of the 1/4 is in cultivation and has not been seeded at this time.  Previously repaired subsidence appears to have uneven contouring along the south RoW boundary, monitor to determine if it is impacting land use.",Monitor in 2015,,,
SE 19-75-09 W6,Hay,Weeds,"Moderate densities of narrow-leaved hawk’s-beard, shepherd’s-purse, hemp-nettle and pineapple weed observed on right-of-way from KP 1.77 to KP 2.07.","Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"May 24, 2014 - The hay land portion of this tract does not appear to have been harvested last year.  Weeds on RoW are comparable to off RoW.  Poor contouring exists at side bend location east of watercourse crossing.  Monitor to determine if contouring is impacting land use.",Monitor in 2015,,,
SE 19-75-09 W6,Unnamed tributary to Bear River,No,None.,None.,,"May 24, 2014 - Banks of watercourse appear stable with good vegetation establishing, no erosion within RoW.  Willow chutes appear to be sprouting new growth from between coir lifts along bank restoration.  Silt fence on both sides of watercourse crossing was completely removed today. There are no pipeline markers on either side of this watercourse crossing.",Monitor in 2015,,,
SE 19-75-09 W6,Cultivated,AReduced crop growth  dmixing,Reduced crop density and crop height observed on right-of-way from KP 2.12 to KP 2.22.  Minor admixing observed on right-of-way from KP 2.12 to KP 2.22.,Monitor vegetation establishment in 2013.,,"May 24, 2014 - Cultivated land was seeded at this time.  Minor subsidence noted, normal farming practices should repair.",Monitor in 2015,,,
SW 19-75-09 W6,Cultivated,Hydrovac holes,Three hydrovac holes observed on right-of-way at KP 2.72 during ground reconnaissance.,Hydrovac holes were repaired in September 2012. Monitor in 2013.,,"May 24, 2014 – Seeding recently completed.  Uneven contouring throughout majority of 1/4, with wide shallow rilling parallel with ditchline.  Normal farming practise should remediate.",Monitor in 2015,,,
SE 24-75-10 W6,Hay,"SEWeeds ubsidence,  rosion","SModerate densities of wild buckwheat, narrow-leaved hawk’s-beard and pineappleweed observed on right-of-way from KP 3.14 to KP 3.95. Crop has not yet been seeded.  ubsidence observed on the right-of-way at KP 3.80.    Gully erosion observed on right-of-way at KP 3.95.","MGMonitor weeds in 2013 and, if warranted, implement weed control measures.  onitor subsidence in 2013.    ully erosion was repaired in September 2012. Monitor in 2013.","• County completed brush clearing work along RR-10 on east side of the ¼.  • Landowner would like PCRM to move one set of posts towards the road and fix a small amount of subsidence on the adjacent line. • There is a field drain on the west side of the ¼.  A washout is present that the occupant would like fixed sometime this summer.  Under 10m long but 30cm deep. • Both minor issues with no set timeline for completion from occupant. • June - Poor growth, however during discussion with the landowner, they are planning to work up the whole quarter and put back into fescue, so will look after, no issues. • September – landowner contacted PCRM with a concern with weeds on entire ROW.  PCRM completed a detailed assessment.","May 24, 2014 - this tract has recently been plowed under, disked, reseeded and rolled.  RoW boundaries difficult to determine at this time. No erosion or subsidence identified at this time Washout along field drainage at west ¼ line remains as previously assessed. May 30 – 31, 2014 - 2 loads (20yds) of topsoil used to fill washout with 2yds of bagged subsoil (biodegradable bags).  1 load of topsoil (10yds) placed in repair area with maruka and skid steer.  A straw waddle (Bio-4) was constructed across RoW along edge of hay land to mitigate erosion.",Monitor in 2015,,,
SW 24-75-10 W6,Cultivated,CReduced crop growth  ompaction,Reduced crop height observed on right-of-way from KP 3.95 to KP 4.05.    Minor subsoil compaction observed on right-of-way from KP 3.95 to KP 4.05.,"Monitor vegetation establishment in 2013 and, if warranted, alleviate compaction.","• Seeded to canola, no issues assess growth later in season.","May 25, 2014 - Uneven contouring of soils observed throughout majority of RoW, normal farming practices should remediate issue. Continue to monitor.  Minor subsidence noted.  Recently reseeded. No other issues to report.",Monitor in 2015.,,,
SE 23-75-10 W6,Treed,No,None.,None.,"• Good growth, few weeds and no subsidence.  • Foreign line crossing at KP 5.1 left hydrovac holes.  Contact foreign line owner to complete repairs.","May 25, 2014 - RoW fenced off, leave fences in place at this time, although portions of the fencing wire have been removed and grazing is occurring on the RoW. Several sections of fence are damaged/missing due to fallen trees. Removed several trees off fence so no further damage could occur.  Recommend fixing sections; mainly wire repairs and removal of large logs from fence. 2 corner braces destroyed by fallen trees. Rutting remains on RoW as a result of third party activities. Uneven contouring on extra workspace, north side of RoW.  Minor intermittent subsidence occurring along the length of RoW, following ditch line. Foreign hydrovac holes still present on R.O.W. from perpendicular line crossing as noted from issues tracking from previous years.  Recommend 3rd party to be contacted to remediate issue – at least within NGTL R.O.W. August 1, 2014 - Remove trees from fencing and refastened barbed wire in numerous sections along North side of RoW.  Repaired corner brace within extra workspace. - Filled 3 hydrovac trenches at foreign pipeline crossing at 11U 0346700 6154191.",Monitor in 2015,,,
SW 23-75-10 W6,Treed,Rutting,Soil rutting caused by tractor (third party impact) observed on right-of-way at KP 5.67 and KP 6.19.,None.,,"May 25, 2014 - Fencing damage, trees overhanging, rutting, and uneven contour in workspace. Intermittent subsidence located. Numerous fencing repairs required.  Some of the wire on the fence has been pulled back to allow livestock to graze. August 1, 2014 - Remove trees from fencing and refastened barbed wire in numerous sections along North side of RoW.  Repaired corner brace within extra workspace.",Monitor in 2015,,,
