Approx. KP,"AMEC PCEM Observations, 2015","Amec FW Observations, 2016",Repairs to date,Status(Resolved/Unresolved),Recommended Mitigation Measure(s) toResolve Issue(s) and Schedule,VEC,GIS,Topic
97+700 to 97+730,,"Most cattails are dead, with this wetland having been eithersprayed or seeded. The centre appears elevated and coveredin nettles.",,Unresolved,Consider contouring and weedmanagement. Continue to monitor forwetland health and function.,,,
121+050,,"Wetland crossing elevated, disconnecting the two portions ofwetland.",,Unresolved,Continue to monitor in 2017 for elevationconcern.,,,
89+180 to 89+260,Not assessed in 2015.,No signs of contouring concerns. Wetland revegetating well.Consider this issue resolved.,None recommended.,Resolved,,,,
90+080,Gully erosion has not been addressed.,"Gully erosion still present. Corner of field is wet, and cropisn't growing well.  Related to natural drainage of the land.",,Resolved,,,,
91+400 to 92+260,"Some erosion still present, topsoildeposited on block valve pad.",Some deposition still occurring on block valve pad. Doesn'tappear to be much of an issue.,Mowed in August 2014.,Resolved,,,,
121+340,Rilling comparable to off-RoW.,,None recommended.,Resolved,,,,
85+540 to 85+840,Not assessed in 2015.,Fencing present but in poor condition. No new puggingobserved. Previous pugging is re-vegetating.,None recommended.,Resolved,Continue wetland health and functionmonitoring.,,,
93+950,Landowner created rutting issue noted in2014 not identified.,,None recommended.,Resolved,,,,
114+020,Rutting noted in 2014 not identified.,Rutting not observed.,Recontoured and reseeded in September2014.,Resolved,,,,
94+260 to 94+510,Landowner created rutting.,No deficiencies noted.,,Resolved,,,,
94+800,Landowner created rutting.,No deficiencies noted.,,Resolved,,,,
7+850,,"Crop is stunted between 7+850 to 8+000. Sunken trench wasnot visible and may have been addressed; however, someadmixing was noted and may be the result of the stuntedcrop.",RoW was reworked and cultivated May2016.,Unresolved,Monitor in 2017 for crop growth.,,,
38+900,,"Signs of subsidence not evident; however, multiple low areasholding water along RoW. Low areas are present throughoutthe quarter section and noted pre-construction.",Added soil May 2016. Area cultivated andadditional soil added Spring 2016.,Unresolved,Confirm landowner acceptance. Monitor2017 for subsidence.,,,
59+450,,There are two small areas (5m x 5m) still holding water in theRoW.,"Added topsoil, cultivated and recontouredin May 2016.",Unresolved,Monitor in 2017 for subsidence.,,,
69+200,,Sunken bore hole still visible and holding some surfacewater.,,Unresolved,May need to add topsoil to level. Monitorin 2017 for further subsidence.,,,
99+740,Issue not identified.,"Edge not recovered, and no cattails present on RoWcompared to off RoW, however health and function hasexceeded pre-construction conditions. Consider this issueresolved.","Mowed, disced, cultivated, August 2014harrowed, rocks picked.",Resolved,,,,
