Legal Land Description (W6M),Land Use,Issue/Condition,KP,Notes,Recommendation(s),VEC,GIS,Topic
NW 3-109-12,Forested,Low/Moderate Vegetation Establishment,0.00 to 0.13,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 3-109-12,Forested,Low/Moderate Vegetation Establishment,0.13 to 0.99,Moderate vegetation establishment observed on the majority of the construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 3-109-12,Mixedwood Treed Swamp,None,0.40 to 0.46,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction <s>right-of-way.</s>",Monitor in 2015.,,,
SW 3-109-12,Treed Fen,None,0.50 to 0.75,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 3-109-12 to  NW 34-108-12,Treed Fen,None,0.80 to 1.40,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 34-108-12,Forested,Low/Moderate Vegetation Establishment,0.99 to 1.80,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
NW 34-108-12,Shrubby Fen,None,1.40 to 1.50,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 34-108-12,Treed Fen,None,1.50 to 1.74,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 34-108-12,Treed Fen,None,1.80 to 1.90,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
SW 34-108-12,Forested,Low/Moderate Vegetation Establishment,1.80 to 2.60,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
SW 34-108-12 to NW 27-108-12,Treed Fen,None,2.40 to 3.00,"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; • observation of a reclaimed seedbank, • based on the growth of the appropriate succession species; and  absence of excessive ponded water or • impeded flow due to the construction right-of-way.",Monitor in 2015.,,,
NW 27-108-12,Forested,Low/Moderate Vegetation Establishment,2.60 to 3.41,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,Monitor in 2015.,,,
