Legal Location,Land Use,1st Year (2015) Issue(s),2nd Year (2016) PCRM Assessment and Work Completed,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 26-094-02W6,Forested,Low Vegetation,,"July 1, 2017 - 65-80% vegetation establishment within this short section of right of way, consisting of american vetch, sweet clover, alsike clover, some willows, cattails and sedges within low areas.  Low vegetation issue observed in 2015 resolved. - KP 0+030 – Ox Eye Daisy observed, recommend weed control. July 22, 2017 – KP 0+300 – Herbicide application conducted to control ox eye daisy and scentless chamomile.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective noxious weed control observed.",,,
SE 35-094-02W6,Forested,Low Vegetation Establishment Noxious weeds,"August 4, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - KP 0+060 to 0+800 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - No erosion or subsidence issues.","July 1, 2017 - 65-80% vegetation establishment within this tract, consisting predominantly of sweet clover, alsike clover; some willows, cattails, mosses and sedges establishing within low areas.  Low vegetation issue observed in 2015 resolved. - Wet areas exist on both sides of the ditchline, cross drains appear suitable and functioning – no ponding water identified - KP 0+125, 0+155 – Ox Eye Daisy observed, recommend weed control. July 22, 2017 – KP 0+060 to 0+600 – Intermittent herbicide application conducted to control ox eye daisy and scentless chamomile.  Issue resolved. October 3, 2017 – KP 0+070 to 0+160 – Intermittent herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of ox eye daisy and scentless chamomile observed.",,,
SW 35-094-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 1, 2017 - 65-80% vegetation establishment within this tract, consisting predominantly of sweet clover, alsike clover, with aspen, willows, and brome also establishing.  Low vegetation issue observed in 2015 resolved. October 3, 2017 - No noxious weeds were observed.",,,
NW 35-094-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 1+050 and 1+450 to 1+600 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - No erosion or subsidence issues.","July 1, 2017 - 65-80% vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover, cattails, sedges and brome are establishing in low areas as well as areas; with aspen and willows also present.  Low vegetation issue observed in 2015 resolved. - Cross drains appear to be accommodating migration of water appropriately October 3, 2017 - No noxious weeds were observed.",,,
NE 34-094-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - Intermittent herbicide application conducted to control perennial sow thistle and Canada thistle (KP 1+900).  Issue resolved. - No erosion or subsidence issues.","July 1, 2017 - 65-80% overall vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover, with timothy and brome also identified.  Some areas exhibiting vegetation establishment in excess of 80%.  Low areas exhibit establishment of cattails, sedges, mosses and willows.  Low vegetation issue observed in 2015 resolved. - Perennial sow thistle (KP 2+310) and tall buttercup (KP 2+390; 1 plant hand-picked and disposed of) observed, recommend weed control. - KP 2+390 – minor ponding identified on north side of ROW, recommend digging out cross drain. July 22, 2017 – KP 2+310 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 25, 2017 – KP 2+390 – Cross drain dug to alleviate ponding, issue resolved. October 3, 2017 – KP 2+100 and 2+200 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of perennial sow thistle and tall buttercup observed.",,,
SE 03-095-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - No erosion or subsidence issues.","July 1, 2017 - 65-80% vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover on upland areas.  Cattails, sedges, willow and alder are establishing in low areas. Low vegetation issue observed in 2015 resolved. - Cross drains appear to be accommodating migration of water appropriately - KP 2+470 and 2+940 – Perennial sow thistle observed, recommend weed control. - KP 2+480 – Mat observed on work side, recommend removal. July 22, 2017 – KP 2+470 to 2+940 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. August 25, 2017 – KP 2+480 – Mat removed and disposed of, issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of perennial sow thistle observed.",,,
SW 03-095-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 3+075 – Herbicide application conducted to control Canada thistle.  Issue resolved. - No erosion or subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height within tract. July 22, 2017 – KP 3+200 – Herbicide application conducted to control scentless chamomile.  Issue resolved. October 3, 2017 – KP 3+440 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of scentless chamomile observed.",,,
SW 03-095-02W6,Unnamed Tributary to Hotchkiss River (CH1),None,"August 4, 2016 -Unnamed Tributary to Hotchkiss River - Banks and riparian areas are stable - Stream profile matches natural channel","July 1, 2017 - KP 3+370 Unnamed tributary to Hotchkiss River. Willows establishing on banks. Banks appear to be stable and well vegetated (80 – 100% cover compared to off ROW).",,,
NW 03-095-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - -  Vegetation is establishing off ditch line of grasses, shrubs, vetch and clover. - KP 3+850 to 4+000 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile (KP 4+010).  Issue resolved. - KP 4+100 to 4+190 - Erosion present on the north side of ditch line.  Monitor, no work required at this time. - No subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - KP 3+870 to 3+945 - Perennial sow thistle observed, recommend weed control. - Erosion noted in 2016 at KP 4+100 to 4+190 to no longer evident, issue resolved. July 22, 2017 – KP 3+870 to 3+945 – Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. October 3, 2017 - No noxious weeds were observed.  Effective control of perennial sow thistle observed.",,,
NE 04-095-02W6,Forested,Low Vegetation Establishment,"August 4, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - Intermittent herbicide application conducted to control scentless chamomile (KP 4+200 to 4+270) and perennial sow thistle (KP 4+350 to 4+600 and 4+750).  Issue resolved. - No subsidence issues.","July 1, 2017 - Vegetation cover on the ROW is 65 - 80% compared to the off ROW control. Native grasses and willows establishing in low areas.  Low vegetation issue observed in 2015 resolved. - Trench crown present and appears to be stable with a moderate height through tract. - KP 4+320 one Scentless Camomile (KP 4+320) and perennial sow thistle (KP 4+530) observed, recommend weed control. July 22, 2017 – KP 4+300 to 4+650 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.  Issue resolved. October 3, 2017 – KP 4+190 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of perennial sow thistle and scentless chamomile observed.",,,
