Biophysical Element,Alignment Sheet No.,Legal Land Description (W6M) and Kilometre Post (KP),Land Use,Outstanding Issue,Potential Adverse Environmental Effect,Proposed Action and Schedule,2012 Monitoring and remediation work completed,VEC,GIS,Topic
Instability in Fill Materials,5,"SE 06-74-09, KP 1.3",Tame Pasture,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Monitored and no repair at this time warranted,1. Physical Environment,,
Instability in Fill Materials,5,"NW 06-74-09, KP 2.7 to KP 3.0",Cultivated,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Monitored and no repair at this time warranted,1. Physical Environment,,
Instability in Fill Materials,2,"NE 07-74-10, KP 13.8 to KP 14.6",Hay,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Repair June 2012 imported topsoil,1. Physical Environment,,
Instability in Fill Materials,1,"NW 07-74-10, KP 14.6 to KP 15.4",Tame Pasture,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Repair June 2012,1. Physical Environment,,
Instability in Fill Materials,1,"NE 12-74-11, KP 15.5",Hay,• Minor subsidence.,Altered natural drainage,"Soil tilled, filled with topsoil and seeded in 2011. Monitor in 2012.",Reseeded 2012 repaired area done in 2011,1. Physical Environment,,
Instability in Fill Materials,1,"NE 12-74-11, KP 15.6 to KP 15.7",Tame Pasture,• Moderate subsidence,Altered natural drainage,"Soil tilled, filled with topsoil and seeded in 2011. Monitor in 2012.",Reseeded 2012 repaired area done in 2011,1. Physical Environment,,
Instability in Fill Materials,1,"NE 11-74-11, KP 17.0 to KP 17.8",Cultivated,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Repaired  Subsidence 2012,1. Physical Environment,,
Instability in Fill Materials,1,"SE 10-74-11, KP 18.9 to KP 19.0",Cultivated,• Minor subsidence.,Altered natural drainage,"Monitor in 2012 and, if warranted, repair.",Repaired  Subsidence 2012,1. Physical Environment,,
Erosion,--,--,--,--,--,No environmental issues identified during 2011 PCMP.,,1. Physical Environment,,
Lowering of Soil Productivity through Topsoil/Subsoil Admixing,--,--,--,--,--,No environmental issues identified during the 2011 PCMP.,,2. Soil and Soil Productivity,,
