Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 2-79-19,Forested,Moderate vegetation issues,"August 21, 2014 – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing. No ponding present and no signs of integrity issues. Ponding issue resolved.  Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation.  Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water.  Continue to monitor.","May 26, 2016 – 90-100% vegetation cover compared to off-ROW. No erosion observed.  – KP 0+330, Diversion berm is well vegetated and serving its purpose.  – KP 0+575 – 0+700, Intermittent subsidence observed.  It is not affecting land use. No work required, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues.",,,
SW 2-79-19,Forested,Moderate erosion (rills) issue,"August 21, 2014 – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing. No ponding present and no signs of integrity issues. Ponding issue resolved.  Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation.  Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water.  Continue to monitor.","May 26, 2016 – 90-100% vegetation cover compared to off-ROW. No erosion observed.  – KP 0+330, Diversion berm is well vegetated and serving its purpose.  – KP 0+575 – 0+700, Intermittent subsidence observed.  It is not affecting land use. No work required, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues.",,,
SW 2-79-19,Forested,Surface drainage (ponding issue),"August 21, 2014 – KP 0+150 – Poor vegetation noted in 2013 is establishing well, issue resolved. – KP 0+300 – Erosion rills noted in 2013 on slope.  No signs of erosion issues as slope is fully vegetated, issue resolved. – KP 0+570 to 0+700 – Subsidence in hay field at bell hole south of foreign line crossings.  Monitor in 2015. – KP 0+750 – Previously noted bare areas in 2013 are re-vegetating well. Area is located south of foreign line crossing. No ponding present and no signs of integrity issues. Ponding issue resolved.  Recommend monitoring area for re-vegetation and any other issues.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+480, natural drainage across ROW, functional with mature vegetation.  Minor water pooling over ditchline, monitor in 2016. – KP 0+570 to 0+700, subsidence at convergence of two foreign line crossings, currently holding water. Recommend re-assessment after haying has been completed, to construct a more accurate work plan. August 25, 2015- Re-assessed subsidence at KP 0+570 to 0+700. Subsidence is minor and not impacting the land use. There was no indication of erosion or vegetation issues related to the ponding water.  Continue to monitor.","May 26, 2016 – 90-100% vegetation cover compared to off-ROW. No erosion observed.  – KP 0+330, Diversion berm is well vegetated and serving its purpose.  – KP 0+575 – 0+700, Intermittent subsidence observed.  It is not affecting land use. No work required, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues.",,,
NW 2-79-19,Hayland,No issues observed,"August 21, 2014 – KP 0+860 – Sow thistle noted on ROW at foreign line crossing. Recommend monitoring weeds to determine if the foreign line operator controls weeds, as the majority are on the foreign line. – KP 0+860 to 0+880 – Subsidence in hay field, monitor in 2015. – KP 1+200 – Vegetation in field burnt from 1+200 to 1+220 for ROW width. Area on ROW is a small portion of the total burn area. Reassess vegetation growth 2015.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 0+860 to 0+880, subsidence on north side of foreign line crossing is well vegetated and comparable to off ROW. Not impacting land use, continue to monitor.  – KP 1+200 to 1+220 for ROW width. Last year’s burn area appears to be doing excellent. No issues. Vegetation density is higher than off ROW, issue resolved. – No erosion apparent within tact.","May 26, 2016 - 90-100% Vegetation cover compared to off ROW.  - No noxious weeds were identified on this ¼. - No visible signs of erosion were observed in this ¼. - KP 0+860 to 0+900, subsidence noted, recommend repairs. September 20, 2016 – KP 0+840 to 1+640, subsidence repairs completed, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 0 to 65%, compared to the off ROW control at the topsoil repair areas.  Follow up later in growing season. - Vegetation cover on the ROW within the remaining portions of the ¼ is 80 to 100% compared to the off ROW control. - No noxious weeds identified. - Topsoil repairs completed in 2016 appear stable.  - No soil stability concerns noted. No issues. Vegetation within 2016 repairs is now 80 – 100% compared to the off ROW control.  All previous vegetation cover issues resolved",,,
SW 11-79-19,Hayland,Moderate microtopography (subsidence) issue,"August 21, 2014 – KP 1+650 to 1+825 – Subsidence in hay field south of access road, recommend repairs. Same issue noted in 2013 at KP 1+850 – KP 2+100 to 2+150 – Subsidence in hay field at side bend, recommend repairs. September 18, 2014– KP 1+650 to 1+825 areas of subsidence repaired, seeded and harrowed.  KP 2+100 to 2+150, subsidence repaired, seeded and harrowed.","June 20, 2015 – Excellent vegetation, compared to off ROW control. – KP 1+650 to 1+825, subsidence repair completed in September 2014 appears to be well vegetated, comparable to off ROW, issue resolved. – KP 2+100 to 2+150, subsidence repair completed in September 2014 has moderate growth. Continue to monitor. – No erosion or additional subsidence issues.","May 26, 2016 – 90-100% vegetation cover compared to off-ROW.  Moderate growth noted at KP 2+100 to 2+150, issue resolved. – KP 1+650, 1+750, 2+230 - Sinkholes observed, repairs recommended. – KP 1+700, erosion rills observed in previously repaired area. – KP 1+735 to 1+810, 1+840 to 1+850, and 2+200 to 2+227 intermittent subsidence observed, repairs recommended. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW within the ¼ is 80 to 100% compared to the off ROW control. - No noxious weeds identified. - Subsidence throughout quarter appears to have increased from 2016. June 17 – 19, 2017 - Completed subsidence repairs at KP 1+650 to 1+815, KP 1+840 to 860, and KP 2+100 to 2+230. Issues resolved.  Repairs will be monitored in 2018.",,,
SE 10-79-19,Forested,Moderate surface drainage (ponding) issue,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.   – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3+080, fence across ¼ line is missing barbed","May 27, 2016 - 80-90% Vegetation growth compared to off ROW.  Previously noted vegetation cover issues (KP 2+250 to 2+750 and 2+450) are resolved. - KP 2+475, Canada thistle plants was identified, recommend weed control. - Intermittent minor subsidence was observed in various locations on this ¼ however it does not affect land use or pipe integrity.  Issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues. June 13, 2017 – Landowner call received regarding subsidence at west end of ¼.  Issue was assessed and repairs are recommended. July 5 - 9, 2017 – Subsidence repairs completed, issue",,,
SE 10-79-19,Forested,Moderate vegetation issue,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.   – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3+080, fence across ¼ line is missing barbed","May 27, 2016 - 80-90% Vegetation growth compared to off ROW.  Previously noted vegetation cover issues (KP 2+250 to 2+750 and 2+450) are resolved. - KP 2+475, Canada thistle plants was identified, recommend weed control. - Intermittent minor subsidence was observed in various locations on this ¼ however it does not affect land use or pipe integrity.  Issues resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues. June 13, 2017 – Landowner call received regarding subsidence at west end of ¼.  Issue was assessed and repairs are recommended. July 5 - 9, 2017 – Subsidence repairs completed, issue",,,
SE 10-79-19,Forested,Moderate vegetation issues Rare Plant - purple-stemmed aster (S3) – KP 2+750 Purple-stemmed aster. No monitoring was conducted in 2013. This population was located off the ROW and was not expected to be impacted by construction. Issue resolved.,"August 21, 2014 – KP 2+250 to 2+750 – ROW was recently harrowed by landowner. Vegetation is establishing and no sign of weeds at time of assessment. Re-assess vegetation growth in 2015.   – KP 2+450 – Ponding water noted in 2013 assessment had been harrowed and was not visible at time of assessment. Re-assess 2015. – KP 2+700 – A swale was noted at time of assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","June 20, 2015 - KP 2 + 250 to 2+ 750, reduced vegetation cover, appears to be improving. Stinging nettle, perennial sow thistle, and stinkweed observed. Recommend weed control.  - KP 2 + 400 and 2+875 to 3+000, subsidence observed, not affecting land use. Recommend continued monitoring.  - KP 3+080, fence across ¼ line is missing barbed wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.","May 27, 2016 - 80-90% Vegetation growth compared to off ROW.  Previously noted vegetation cover issues (KP 2+250 to 2+750 and 2+450) are resolved. - KP 2+475, Canada thistle plants was identified, recommend weed control. - Intermittent minor subsidence was observed in various locations on this ¼ however it does not affect land use or pipe integrity.  Issues resolved. - No visible signs of erosion. - Drainage at KP 2+800 is well vegetated and showing no signs of erosion across the ROW.  June 20, 2016 – KP 2+475 – Herbicide application conducted to control Canada thistle, issue resolved.  No other noxious weeds observed, previous issues resolved. August 14, 2017 – KP 3+080 - Land agent confirmed with Landowner that previous agreement was in place for Landowner to remove fence.  No work required by PCRM, issue resolved.","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - No soil stability concerns noted. No issues. June 13, 2017 – Landowner call received regarding subsidence at west end of ¼.  Issue was assessed and repairs are recommended. July 5 - 9, 2017 – Subsidence repairs completed, issue resolved.  Repairs will be monitored in 2018",,,
,,Moderate weed (not noxious) issue,"assessment. No signs of pooling water or integrity issues, land owner had recently harrowed area. Re-assess in 2015. – KP 2+800 – Drainage ditch in good condition with established vegetation throughout it. – KP 2+800 to 3+080 – Nettle, Lamb’s quarter, Sow thistle and Canada thistle noted throughout ROW. Recommend weed control. – KP 2+875 to 3+000 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. September 20, 2014 - KP 2+800 to 3+080 – Intermittent herbicide application conducted.","wire. Landowner requested posts be removed during landowner consultation, landowner concern was forwarded to Land Department, which continues to work with landowner for resolution. October 31, 2015 - KP 2+475, Subsidence. The land has not been hayed and the ground is covered with woody debris. It appears the land use is forested and the subsidence is not affecting land use. - Weeds appear to be getting choked out by existing vegetation. Recommend continued monitoring and control as needed.","- No visible signs of erosion. - Drainage at KP 2+800 is well vegetated and showing no signs of erosion across the ROW.  June 20, 2016 – KP 2+475 – Herbicide application conducted to control Canada thistle, issue resolved.  No other noxious weeds observed, previous issues resolved. August 14, 2017 – KP 3+080 - Land agent confirmed with Landowner that previous agreement was in place for Landowner to remove fence.  No work required by PCRM, issue resolved.",resolved.  Repairs will be monitored in 2018,,,
NE 10-79-19,Forested,Moderate surface drainage (ponding) issue,"August 21, 2014 - KP 3+080 to 3+100 – Subsidence in hay field, not impacting land use, monitor in 2015. - KP 3+150 to 3+350 – Subsidence cracking and low area noted, not impacting land use, monitor in 2015. - KP 3+450 – Swale/low area with signs of ponding water, not affecting land use and vegetation is establishing in swale.  2013 issue resolved. - KP 3+500 to 3+550 – Subsidence noted, not affecting land use, is re-vegetated and has no signs of erosion, monitor in 2015. - KP 3+600 to 3+650 – Subsidence noted, not affecting land use, is fully vegetated and has no signs of erosion, monitor in 2015. - KP 3+750 and 3+550 – Bare area noted in 2013 is fully vegetated, issue resolved.","June 20, 2015 - Vegetation 90-100%, compared to off ROW control. No weeds or erosion noted at time of assessment.  Ponding no longer evident at KP 3+200, issue resolved.  Vegetation concern noted in 2013 at KP 3+550 and 3+750, is resolved. - KP 3+080 to 3+100, 3+450, 3+500 to 3+550, and 3+600 to 3+650, subsidence remains, not impacting land use. Recommend continued monitoring.","May 27, 2016 – 90-100% Vegetation growth compared to off ROW. There were no noxious weeds observed. – There were no visible signs of erosion. – KP 3+080 to 3+100 and 3+130 to 3+700, intermittent subsidence observed has increased and now impacting land use, recommend repairs. – KP 3+200, low area observed. Assess prior to any work in ¼ - wet conditions may be prevalent. May 28, 2016 – KP 3+740 to 3+925 – a rare plant, purple stemmed aster was identified.  Ensure access plans take into account presence of rare plant. Repairs scheduled for spring 2017","June 5, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds were observed in ¼ - Topsoil piles in place for upcoming subsidence repairs. - No erosion was observed in this ¼ July 5 - 10, 2017 – KP 3+080 to 3+100 and 3+130 to 3+700 – subsidence repairs completed, issues resolved.  Repairs will be monitored in 2018",,,
