Environmental Issue/Concern,Location,Current Status 2010,Current Status 2011,Recommendation/Schedule,VEC,GIS,Topic
"New Pipeline in Alberta
Trench subsidence","2010 - Approx. 90 sites in 110 km section between; Section 2-31-4-W4 and Section 34-22-4-W4.  2011 – In addition to areas noted above, all land  tracts were assessed in 2011","The total area within the 110 km section is approx. 1.8 ha.  Typical areas are 20m in length, 2-3 m wide and < 0.3m deep.","•  Numerous site deficiencies were corrected by stripping back topsoil and feathering in subsoil, or if very small or possibly in pasture/ native range, acceptable topsoil sources are secured and used to fill-in trench subsidence.  •  Sites were assessed with remediation completed on areas with potential to impact landowner and/ or pipeline operations.","Spring thru Fall 2012.  Balance of known sites, along with new observations from 2011 will  continue to be monitored in 2012, with remediation to be completed based on  discussions with landowners",,,
Underground spring surfaced creating soft ground conditions around pipeline trench,SW 8-39-8-W4,"Monitored in 2010
Also discussed during NEB Post-Construction Monitoring inspection in September 2010.","•  Monitored in 2011.  Soft ground conditions did not correct naturally, potentially creating land-use (grazing) and pipeline operation issues. •  Implemented plan that included installation of gravel and weeping tile to divert flow away from the pipeline trench and onto stable, vegetated ground.",Requires monitoring in 2012,,,
"New Pipeline in Manitoba
Trench subsidence and overall drainage around station",NE 13-9-5-WP Adjacent to Elm Creek Pigging Station,Unable to complete work in 2010 due to very wet conditions,•  Land-levelling completed around the ECPS in 2011. •  Ditch subsidence corrected/filled with land-levelling.,No significant rain events since levelling completed to assess effectiveness. Requires monitoring in 2012.,,,
"New Pipeline in Manitoba
Berm along drainage ditch adjacent to road",SE 36-7-5 WPM,Work completed in July 2010 as part of Post-Construction Monitoring,"•  Monitored in 2011- heavy spring runoff and summer rainfall, berm integrity maintained.  Additional material was added to top of berm in 2011 during land-levelling of adjacent farm field.",Requires monitoring in 2012.,,,
"New pipeline in Manitoba
Drainage adjacent to MLV Carman 49+200",SE 23-3-5-WPM,Work completed in November 2010 as part of Post-Construction Monitoring,"•  Due to landowner crop loss claim in regard to ineffective drainage around compound, additional land-levelling completed Fall 2011. •  Fine-tuned drainage around compound.",Requires monitoring in 2012.,,,
"New pipeline in Manitoba
Potential land levelling","Areas on numerous tracts.  Sizes ranging from 5 m length to 200 m length, and 5 m wide to full width of right-of-way.","2010 helicopter reconnaissance with  video capability, some ground recon, as well as discussions with landowners noted inconsistencies in contours across the right-of-way. Land levelling completed in a few locations in 2010.",•  Land-levelling completed on various land-tracts in 2011. •  2011 assessments determined uneven field surface contours (high spots/low spots).  •  Normal farm practices do not readily correct these inconsistencies.,Keystone to consult further with affected landowners in 2012 to address inconsistencies in contours/ drainage across the right-of-way. Land-levelling required in 2012.,,,
New Pipeline in Alberta Native Vegetation establishment,Monitor 31+000,2010 Post-Construction Monitoring indicates acceptable re-growth,•  2011 Post-Construction Monitoring indicates acceptable re-growth,Continue to monitor in 2012 to determine if additional remediation (re-seed) is required.,,,
New Pipeline in Alberta  Native Vegetation establishment,Bindloss  20+000 to 20+420 SW 21-21-1-W4,"2010 PCRM indicates very good native species germination and ground cover. Other than deficiency as noted in September 8, 2010 record, ground is fully stabilized.","•  2011 PCRM indicates very good native species germination and ground cover. Ground is fully stabilized.   •  Deficiency as noted in September 8, 2010 record, indicates good native species germination and ground cover.","Continue to monitor in 2012 to assess germination in areas noted as being deficient in September 2010, and assess re-vegetation success.",,,
New Pipeline in Alberta Bank contouring,Sounding Creek,"Banks are stable in 2010, some minor slumping to be further assessed to determine if re-work and stabilizing bank is warranted",•  Banks remain stable in 2011.  •  Repair of minor slumping does not appear to be warranted at this time.,Monitor in 2012,,,
New Pipeline in Alberta  Shrub Planting,Ribstone Creek,Work not completed in 2010.,"•  Planted approximately 170 Manitoba Maple and Chokecherry on banks, completed in June 2011.",Monitor in 2012,,,
