Alignment Sheet,Legal Location (W4M),Approximate KP,Tract Number(s),Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2011/2012,TERA Observation(s) in 2012,"Repairs to Date (2010, 2011, 2012)",Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
E1,NE 32-52-23,0.2 to 0.8,EL4-0021.00 EL4-0021.01,Vegetation - Weeds,"Moderate density of stinkweed, white cockle and cleavers observed on construction right-of-way during ground reconnaissance.","Moderate density of cleavers, annual sow-thistle and shepherd’s-purse observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,Reseeded in September 2011.,Resolved,None.,,,EDMONTON LOOP
E1,SE 32-52-23,0.8 to 1.3,EL4-0021.01,Vegetation - Weeds,"High density of scentless chamomile, Canada thistle and perennial sow-thistle observed along construction right-of-way.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 28-52-23,E 1.7,EL4-0023.02,Vegetation - Weeds,"Moderate to high density of perennial sow-thistle, Russian pigweed and Canada thistle on construction right-of-way.","Moderate density of Canada thistle, scentless chamomile, narrow-leaved hawk’s-beard and Russian pigweed observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed and area reseeded in 2010.,Resolved,None.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.5 to E 2.3,EL4-0024.01 EL4-0024.02,Vegetation - Weeds,"Moderate density of perennial sow-thistle, scentless chamomile and Canada thistle on construction right-of-way.","Moderate density of perennial sow-thistle, scentless chamomile, Canada thistle and narrow-leaved hawk’s-beard observed on construction right-of-way during ground reconnaissance.","High density of white cockle, Canada thistle, scentless chamomile and other weeds.",Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
E1,SW 28-52-23,E 1.9 to E 2.1,EL4-0024.02,Vegetation - Weeds,Moderate density of perennial sow-thistle and scentless chamomile on construction right-of-way.,High density of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
E1,SW 28-52-23,E 2.1,EL4-0024.02,Vegetation - Weeds,Moderate density of perennial sow-thistle and scentless chamomile on construction right-of-way.,High density of perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 21-52-23,E 2.5 to E 2.9,EL4-0025.00  EL4-0025.08,Vegetation - Weeds,"High density of white cockle, scentless chamomile and Canada thistle on construction right-of-way.",Moderate density of white cockle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way. Seeded desirable species now dominant on construction right-of-way.,--,Resolved,None.,,,EDMONTON LOOP
E1,SW 21-52-23,E 3.63 to E 3.7,EL4-0025.11 EL4-0025.12,Vegetation – Weeds,--,--,2011: Scentless chamomile observed on construction right-of-way. 2012: High presence of scentless chamomile in the preconstruction weed survey and a higher presence of scentless chamomile off the right-of-way.,--,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 16-52-23,E 4.7 to E 4.8,EL4-0025.13,Wetland - Class III 2008 Health: healthy with problems (67%),Health: Unhealthy (56%). Weeds: Canada thistle.  Landowner has cultivated through portion of wetland.,Health: Healthy (88%). Weeds: Sporadic patches of scentless chamomile. Riparian: Increased soil moisture has limited landowner’s ability to cultivate wetland edge.,Scentless chamomile and other weeds observed on the right-of-way.,TERA wetlands group resolved this issue in 2011.,--,Resolved,None.,,,EDMONTON LOOP
E1,NW 9-52-23,E 6.5,EL4-0025.16,Soils - Erosion,--,--,--,Soil erosion (approximately 10 m x 2 m) observed on construction right-of-way during ground reconnaissance. Erosion is occurring downslope along a deer/cattle trail.,--,Unresolved,"Stabilize soil, establish vegetation and monitor in 2013.",,,EDMONTON LOOP
E1,NW 9-52-23,E 6.1 to E 7.1,EL4-0025.16 EL4-0025.17,Vegetation - Weeds,Moderate density of cleavers and white cockle on construction right-of-way.,High density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Scentless chamomile observed.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in August 2011.,Resolved,None.,,,EDMONTON LOOP
E1 and E2,SW 9-52-23,E 7.1 to E 7.9,EL4-0025.18,Vegetation - Weeds,"High density of white cockle, lamb's-quarters, stinkweed, flixweed, Canada thistle and hemp-nettle on construction right-of-way.",High density of white cockle and Canada thistle observed on construction right-of-way during ground reconnaissance.,Scentless chamomile observed.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in summer 2011.,Resolved,None.,,,EDMONTON LOOP
E2,NW 4-52-23,E 8.7,EL4-0025.21,Vegetation - Weeds,"Moderate density of white cockle, perennial sow-thistle and Canada thistle.",Moderate density of white cockle and Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,Landowner controlled weeds in summer 2011.,Resolved,None.,,,EDMONTON LOOP
E2,SE 35-51-23,E 14.3,EL4-0025.32,Vegetation - Weeds,--,High density of scentless chamomile observed on construction right-of-way during ground reconnaissance.,Weeds observed on the right-of-way.,Weed density and composition equal on and off construction right-of-way.,Scentless chamomile and white cockle controlled by hand-picking and selective spot spraying in July 2012.,Resolved,None.,,,EDMONTON LOOP
2,SE 36-51-23,E 15.4 to  13.0,EL4-0041.00 EL4-0041.01 EL4-0041.03,Vegetation - Weeds,Moderate density of Canada thistle on construction right-of-way.,High density of Canada thistle and wild mustard observed on construction right-of-way during ground reconnaissance.,"A lot of integrity, activity and repair work. A lot of disturbance not related to Line 4 construction.",Integrity dig/repair work in progress. Could not access site. This location is now an issue for the integrity program.,Weeds sprayed by landowner in summer 2011.,Resolved,None.,,,EDMONTON LOOP
2,NE 25-51-23,13.3 to 14.3,EL4-0042.00,Vegetation - Weeds,High density of Canada thistle on construction right-of-way.,"Moderate density of white cockle, Canada thistle and lamb’s-quarters observed on construction right-of-way during ground reconnaissance.",--,Integrity dig/repair work in progress. Could not access site.,"Field worked, reseeded and sprayed by landowner in summer 2011.",Unresolved,Control weeds and monitor in 2013.,,,EDMONTON LOOP
2,NE 25-51-23,13.5 to 14.3,EL4-0042.00,Vegetation - Establishment,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,--,Integrity dig/repair work in progress. Could not access site.,"Field worked, reseeded and sprayed by landowner in summer 2011.",Unresolved,Monitor in 2013.,,,EDMONTON LOOP
2,SW 30-51-22,14.3 to 14.7,EL4-0044.00,Vegetation - Weeds,"High density of scentless chamomile, green smartweed and wild buckwheat on construction right-of-way.","Moderate density of wild mustard, stinkweed, stork’s-bill, wild buckwheat, shepherd’s-purse and green smartweed observed on construction right-of-way during ground reconnaissance.",2011: Scentless chamomile observed. 2012: Weed species and density comparable and uniform on and off the construction right-of-way..,Integrity dig/repair work in progress. Could not access site.,Weeds sprayed by landowner in summer 2011.,Resolved,None.,,,EDMONTON LOOP
