Alignment  Sheet,Legal Location (WPM),Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
68,SW 20-9-28,CT 0.4,4019,Soils – Erosion Water Quality and Quantity Unnamed Drainage – Field Identified,--,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,"Erosion issue improved from 2012, however, still remains unresolved. Slopes require seeding (currently bare ground with weeds).",Erosion repaired September 2012.,Unresolved,"Repair erosion, seed slopes and monitor in 2014.",,,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation - Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Land fallow along construction  right-of-way. Unable to assess.,No vegetation establishment issues observed.,Landowner reseeded July 2012.,Resolved,None.,,,
68,SW 20-9-28,CT 0.0 to CT 0.4,4019,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,No weeds observed on fallow land during ground reconnaissance.,Higher density of weeds observed on the construction right-of-way compared to off. Canada thistle and perennial sow-thistle observed at high densities.,Landowner reseeded July 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,,
68,NW 17-9-28,CT 0.6,4019.01,Soils - Erosion,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on construction right-of-way within natural drainage during ground reconnaissance. No vegetation established.,No erosion issues observed on construction right-of-way.,--,Resolved,None.,,,
68,NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation – Establishment,--,--,Land fallow along construction  right-of-way. Unable to assess.,Vegetation well-established. Weed issue present.,Landowner worked and reseeded right-of-way July 2012.,Resolved,None.,,,
68,NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation - Weeds,--,--,--,A moderate to high density of Canada thistle was observed within the entire quarter-section.,--,Unresolved,Control weeds and monitor in 2014.,,,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Coarse Fragments,--,--,--,Land access not granted at time of survey. Issue being managed by third-party.,Landowner picked rocks July 2012.,Resolved,None.,,,
68,NW 16-9-28,CT 1.7 to CT 2.8,4022,Soils - Contouring,--,--,--,Land access not granted at time of survey. Issue being managed by third-party.,Landowner picked rocks July 2012.,Resolved,None.,,,
68,NE 16-9-28,961.2 to 961.3,4023,Soils – Admixing,--,--,Minor admixing observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey. Issue being managed by third-party.,Stripped and placed admixed topsoil near clay horizon October 2011.,Resolved,None.,,,
68,NW 15-9-28,961.55 to 961.63,4024,Wetland Class Overall: III Wetland Class on Construction Right-of-Way: III 2008 Health: Healthy with Problems (65%).,"Health: Unhealthy (25%).  Weeds: Canada thistle, perennial sow-thistle. Bare ground on construction right-of-way. Landowner has cultivated portion of construction right-of-way.","Health: Unhealthy (45%). Weeds: Annual sow-thistle, Canada thistle, lamb’s-quarters, shepherd’s purse, kochia and white cockle. Riparian area partially cultivated. Disturbance and weedy species observed along construction right-of-way. Bare ground and pooling water on construction right-of-way.",Land access not permitted during August 2012 field program.,Wetland was determined with a higher health ranking than the previous assessment.,--,Resolved,None.,,,
68,NW 14-9-28,963.6,4026,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence (10 m x 2 m x 0.15 m) observed on construction right-of-way.,Subsidence repaired in 2010.,Unresolved,"Repair subsidence, if warranted, and monitor in 2014.",,,
68,NW 14-9-28,963.4 to 963.6,4026,Vegetation - Weeds,--,--,Low densities of Canada thistle observed on construction right-of-way. Moderate densities of curled dock and kochia observed on construction right-of-way. High densities of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weed density and composition equal on and off construction right-of-way. No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,,
