Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
B 025 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment. Silt fencing removed at KP 0.0 in November 2014.,"June 21, 2016 - KP 0+000 valve site.  No vegetation present within fenced and gravelled facility or within the 2 meter buffer  July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 19, 2016 - Previous herbicide application has proven effective. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - KP 0+250 – Roll back and mounding have been implemented and is effectively controlling access.",,,
A 025 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
A 025 K/094 I 11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 -  - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland functional, issue resolved.",,,
D 015 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 – Intermittent herbicide application conducted to control perennial sow thistle throughout tract",,,
D 015 K/094 I 11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Wetland functional, issue resolved.",,,
C 014 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW.  Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
C 014 K/094 I 11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Spruce saplings establishing along ROW boundaries. - Wetland functional, issue resolved.",,,
,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - No noxious weeds observed within wetland. - Wetland functional, issue resolved.",,,
D 014 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D 014 K/094 I 11 to  C 013 K/094 I 11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland functional, issue resolved.",,,
C 013 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
C 013 K/094 I 11,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland.",,,
D 013 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 1+700 – unnamed watercourse is well vegetated and stable. No water flow at this time. Fixed marker post on east side.  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. Sept 30, 2016 - Watercourse crossing located at KP 1+700. - Revetments are stable and functioning on both creek banks. - Standing water at ditchline, no water flow at time of assessment - No erosion concerns observed on banks of watercourse.",,,
,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Emergent riparian vegetation present throughout wetland. - Intermittent areas of standing water located within wetland. - Wetland functional, issue resolved.",,,
A 023 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
B 022 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 2+700 – 2+880 – rollback in place. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Excellent regrowth of poplars, currently standing up to 10 feet tall in middle of ROW.",,,
A 022 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 2+700 – 2+880 – rollback in place. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Excellent regrowth of poplars, currently standing up to 10 feet tall in middle of ROW.",,,
D 022 K/094 I 11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right of way with patches of low vegetation establishment.,,,,
D 022 K/094 I 11,Line of Sight Control (3+200),The line of sight control is standing correctly and is effectively blocking views down the right of way. The line of sight covers the entire right of way.,"July 27, 2016 - line of site barriers were in place and functional. September 19, 2016 – line of sight barriers repaired.",,,
C-021-K/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-021-K/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Wetland functional, issue resolved.",,,
D 021 K/094 I 11 to  C 030 J/094 I 11,Broad-leaf Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 – Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Wetland functional, issue resolved.",,,
C-030-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-030-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 -Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth.  Vegetation comparable to adjacent forest floor. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
D-030-J/094-I-11,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 – Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning.  - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
C-029-J/094-I-11,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 27, 2016 - Vegetation continues to establish with desirable species throughout ROW. Diverse mix of vegetation observed, exhibiting excellent growth. Vegetation comparable to adjacent forest floor. - Good vegetation cover on ditch line. - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 20, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract.",,,
C-029-J/094-I-11,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Sept 30, 2016 - Appropriate species present, such as sedge, berry bushes and willow species continue to re-establish.  - Grass species and density comparable to adjacent land. - Cross drains within wetland are functioning. - Emergent riparian vegetation within wetland.  - Wetland functional, issue resolved.",,,
C-029-J/094-I-11,Forested Rare Plant (4+700),No white adder’s-mouth orchid were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations or at transplant location. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended. Issue resolved.",,,
