Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 5-79-9,Forested,High noxious weed issue,"May 24, 2014 - No subsidence observed at time of assessment - No weeds at time of assessment, seen some patches of dead thistle but no new gROWth.  2013 noxious weed issue resolved. - Vegetation gROWth 90% of off ROW","May 30, 2015 - Vegetation gROWth is 90 - 100% compared to off ROW control.  - Hydrovac hole evident at foreign pipeline crossing at KP 0+190. Repairs required. - No subsidence or erosion issues evident within tract. July 8, 2015 - Hydrovac hole filled at KP 0+190, issue resolved. - KP 0+180 to 0+220, Canada thistle observed. Recommend weed control. July 9, 2015 - KP 0+180 to 0+220 – herbicide application conducted to control Canada thistle August 24, 2015 - Canada thistle remains. Recommend re-applying herbicide in fall. September 15, 2015  - Common tansy observed - KP 0+180 to 0+220 – herbicide application and hand picking conducted to control Canada thistle and common tansy","June 26, 2016 - 90-100% vegetation cover of off-ROW.  - Common Tansy and bull thistle observed. Recommend weed control.  - No erosion or subsidence observed in ¼ July 12 and 17, 2016 – Intermittent herbicide application conducted to control Canada thistle, common tansy, and bull thistle.","May 26, 2017 – 80 – 100% establishment of vegetation, willows and alder along the pipeline ROW – comparable to off ROW conditions. - Wet conditions prevail in this area; cross drains are functioning – water migrating across pipeline ROW appropriately - KP 0+285 to 0+435 – Canada thistle observed.  Recommend weed control. July 4, 2017 – Intermittent herbicide application conducted to control Canada thistle. September 26, 2017 - KP 0+270 to 0+340, Intermittent herbicide application conducted to control Canada thistle and common tansy (KP 0+310). Issue resolved.",,,
SE 5-79-9,Watercourse,No issues observed,"May 24, 2014 - Ksituan river crossing at 0+400 looks good. 100%of off ROW vegetation gROWth. Bank wraps holding well","May 30, 2015 - Ksituan River located at KP 0+400 stable at time of assessment.  Silt fencing uphill of tiered crib posts are functioning well at this time; recommend leaving silt fences in place.  No issues evident at water crossing.","June 26, 2016 - KP 0+400, Ksituan River crossing has good vegetative cover on hill slopes and banks. Banks and crib walls appear stable.  - Hillslopes on both side of river appear well-vegetated and stable. Recommend removing silt fences.  August 9, 2016 - All silt fencing removed, issue resolved.","May 26, 2017 - Ksituan River – banks and slopes on both sides of the watercourse crossing are stable and well vegetated.  Coir lifts are stable and functioning.  Considerable flow is present within the watercourse at this time.  Rollback on the south side of the watercourse crossing is providing effective access control across the extent of the ROW.",,,
SE 5-79-9,Forested,"Rare Plant - lichen (S1) – KP 0+400 to 0+800 On August 9, 2013, Rare Plant Specialists visited the transplant location and observed the two logs with the rare lichen. Suitable habitat was observed at the site. Resolved; no further monitoring is recommended.",,,,,,,
SW 5-79-9,Forested,Moderate vegetation,"May 24, 2014 - No subsidence observed at time of assessment - No weeds at time of assessment - Vegetation gROWth poor 5-15% of off ROW, monitor.","May 30, 2015 - Improved vegetation noted from previous assessment; approximately 50-60% compared to off ROW control. - No subsidence or erosion issues evident within tract. July 9, 2015 - Canada thistle and foxtail barley observed, intermittent herbicide application conducted. - KP 0+490, Small patch of scentless chamomile hand-picked and bagged on north side of ditch line. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. - Handpicked 35 scentless chamomile plants at KP 0+500. Recommend re-assessing area in fall.  September 15, 2015 – Herbicide application conducted to control Canada thistle and scentless chamomile.","June 26, 2016 - 90-100% vegetation cover of off-ROW. Previous vegetation cover issues resolved. - No noxious weeds observed. - No erosion or subsidence observed in ¼  July 17, 2016 - Scentless chamomile observed at KP 0+500, weeds were hand-picked, bagged and disposed of. - Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and bull thistle.","May 26, 2017 - 80 - 100% establishment of vegetation, willows and forbs along the pipeline ROW, grasses continuing to establish; cattails present within low, wet areas. - Wet conditions prevail in this area; cross drains are functioning – water migrating across pipeline ROW appropriately - Rollback on the north side of the watercourse crossing is providing effective access control across the extent of the ROW. - KP 0+490 – Perennial sow thistle (2 individuals) and bull thistle (1 individual) observed. Recommend weed control. July 4, 2017 – KP 0+490, weed control implemented, issue resolved. September 26, 2017 - KP 0+490, Canada thistle and bull thistle observed and herbicide applied. Issues resolved. - Scentless chamomile no longer present, issue resolved.",,,
NW 5-79-9,Forested,Moderate vegetation issues,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth poor 5-15% of off ROW, monitor.","May 30, 2015 - Improved vegetation noted from previous assessment; approximately 50-60% compared to off ROW control.  - No noxious weeds noted. - Natural drainage at KP 0+750 functioning well. Good grass establishment evident along drainage. Water is present within drainage. - Rill erosion, on north portion of ROW from KP 0+800 to KP 1+320. Repairs recommended. - Work space located at KP 0+730 showing exceptional poplar regROWth. - No subsidence evident within tract. July 8, 2015 - KP 1+050, Canada thistle and foxtail barley observed. Recommend weed control. - Repairs completed on erosion from KP 0+800 to 1+320. July 9, 2015 - Herbicide application conducted to control Canada thistle and foxtail barley at KP 1+050. - KP 1+320, additional erosion rill observed. Repairs completed by implementing erosion control measures. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall as remaining plants have gone to seed Completed  September 25, 2015 – Intermittent herbicide application conducted to control Canada thistle.","June 26, 2016 - 90-100% vegetation cover of off-ROW.  All previous vegetation cover issues resolved. - No noxious weeds observed. - Erosion rills repaired in 2015 (KP 0+800 and 1+320) are vegetating well and are stable. Issue resolved. - KP 0+800, one wattle was displaced from recent heavy rainfalls/flooding. Re-installed wattle using hand tools. - No subsidence observed in ¼  July 17, 2016 – Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and bull thistle.","May 26, 2017 - 80 - 100% establishment of vegetation and willows along the pipeline ROW, grasses continuing to establish; cattails present within low, wet areas. - Wet conditions prevail in this area; cross drains are functioning – water migrating across pipeline ROW appropriately - Minor erosion as previously reported (KP 0+800) was identified; with wattles remaining functional.  A moderate amount of flow is present at this time due to wet conditions.  Erosion rill is vegetating well, presenting no negative environmental impact; land use is meeting adjacent land capability.  No work required, issue resolved. - KP 0+600 – Perennial sow thistle observed.  Recommend weed control. July 4, 2017 – KP 0+600 - weed control completed to control perennial sow thistle. September 26, 2017 - Canada thistle observed, intermittent herbicide application conducted, issue resolved. - KP 0+600 - Perennial sow thistle, herbicide application conducted, issue resolved.",,,
NE 6-79-9,Forested,Moderate vegetation issue,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth 80% of off ROW, 2013 vegetation issue is resolved.","May 30, 2015 – Vegetation estimated to be 80 - 90%, compared to off ROW control.  – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion. July 9, 2015 - Canada thistle and foxtail barley observed and intermittent herbicide application conducted throughout tract. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. September 25, 2015 – Intermittent herbicide application conducted to control Canada thistle.","June 26, 2016 - 90-100% vegetation cover of off-ROW.  - No noxious weeds observed, previous issues resolved. - No erosion or subsidence observed in ¼.","May 26, 2017 - 80 - 100% establishment of grasses, forbs and willows along the pipeline ROW. - Wet conditions prevail in this area; cross drains are functioning – water migrating across pipeline ROW appropriately - KP 1+350 – Canada thistle and bull thistle observed.  Recommend weed control. July 4, 2017 – KP 1+350 – herbicide application conducted to control Canada thistle and Bull thistle.  Issue resolved. September 26, 2017 – KP 1+350 – Canada thistle observed and herbicide application conducted to control.  Issue resolved.",,,
SE 6-79-9,Forested,High noxious weed issue,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth 80% of off ROW,  - 1+900 – 2+150, minor rill erosion within natural wet area, not affecting land use, continue to monitor","May 30, 2015 – Vegetation 80 - 90% of off ROW control. – There were no noxious weeds noted.  -- Natural contouring maintained. – Ditch line has small roach evident with good vegetation cover. July 8, 2015 - KP 1+470, rill erosion appears stable and vegetating well.  Installed erosion controls to provide additional protection. - KP 1+500, Canada thistle present. Recommend weed control. July 9 - 10, 2015 - KP 1+500 – herbicide application conducted to control Canada thistle. - KP 1+570 and 1+925, Erosion rills observed. Repairs completed with the installation of erosion control materials, monitor in 2016. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle.","June 26, 2016 - 90-100% vegetation cover of off-ROW.  - Canada thistle observed within ¼. Recommend weed control. - Erosion rills repaired in 2015 (KP 1+470, 1+570 and 1+925) are vegetating well and appear stable. Erosion noted in 2014 at KP 1+900 – 2+150 is no longer evident.  Issues resolved.  - No subsidence observed in ¼  July 17, 2016 – Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and bull thistle.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. Willows and Alder emerging along ROW. - KP 1+480 - Bull thistle and Canada thsitle observed.  Recommend weed control. - No subsidence or erosional issues observed in ¼. July 4, 2017 – KP 1+480 – Herbicide application conducted to control Bull thistle and Canada thistle, issues resolved. September 26, 2017 - KP 1+480, 1+650, and 1+860, Canada thistle observed and herbicide applied. Issue resolved.",,,
SW 6-79-9,Forested,,,"May 30, 2015 – Vegetation 70% of off ROW control. – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment. July 9 - 10, 2015  -Herbicide application conducted to control Canada thistle and foxtail barley. August 24, 2015 - Canada thistle observed. Recommend re-applying herbicide in fall. September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle.","June 26, 2016 - 90-100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control. - No erosion or subsidence observed in ¼  July 17, 2016 – Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and bull thistle.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. Scattered Willows emerging along ROW. - KP 2+265 - Perennial Sow thistle observed.  Recommend weed control. - No subsidence or erosional issues observed in ¼. July 4, 2017 – KP 2+265 – Herbicide application conducted to control perennial sow thistle. Issue resolved. September 26, 2017 - KP 2+310, Canada thistle observed and herbicide applied. Issue resolved.",,,
NW 6-79-9,Forested,High noxious weed issue,"May 24, 2014 - No subsidence observed. - No weeds observed - Vegetation gROWth 80% of off ROW,  - 2+550, minor rill erosion within natural wet area, not affecting land use, continue to monitor.","May 30, 2015 – Vegetation estimated to be 80 - 90% of off ROW control – There were no noxious weeds noted.  – Ditch line has small roach evident with good vegetation cover. – No issues such as subsidence or erosion at time of assessment.  Rill erosion at KP 2+550 no longer visible, issue resolved. September 15, 2015 - Canada thistle observed up to KP 2+860. Recommend weed control.  September 25, 2015 – Herbicide application conducted intermittently to control Canada thistle.","June 26, 2016 - 90-100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control. - No erosion or subsidence observed in ¼  - KP 2+950, Sign requires repair. July 17, 2016 – Intermittent herbicide application conducted to control Canada thistle, perennial sow thistle, and bull thistle. August 9, 2016 – KP 2+950, sign repaired, issue resolved.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 95-100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. Scattered Willows emerging along ROW.  - KP 2+410 and 2+640 - Canada thistle observed.  Recommend weed control - No subsidence or erosional issues observed in ¼. July 4, 2017 – KP 2+410 and 2+640 – Herbicide application conducted to control Canada thistle, issue resolved. September 26, 2017 - KP 2+635 and 2+800, Canada thistle observed and herbicide application conducted. Issue resolved.",,,
NE 1-79-10,Forested,Moderate erosion issue,"May 24, 2014 - No subsidence observed - No weeds observed - Vegetation gROWth 80%-90% of off ROW,  - 3+550,minor rill erosion within natural wet area, not affecting land use, continue to monitor","June 1, 2015 – Vegetation estimated to be 95% of off ROW control. – There were no noxious weeds noted.  – Foreign pipeline crossing has excellent vegetation with poplar and willow trees establishing throughout. – Minor subsidence noted At KP 3+580, not affecting land use. Continue to monitor.  – Erosion noted at KP 3+550, no longer visible, issue resolved. – Rill erosion at KP 3+700 runs perpendicular across ROW. Repairs recommended. - September 25, 2015 – KP 3+700 - Erosion repairs completed, monitor in 2016.","June 25, 2016 - 100% vegetation cover of off-ROW.  - Canada thistle observed. Recommend weed control. - KP 3+700, erosion rills repaired in 2015 require additional repairs. - KP 3+580, minor subsidence observed in 2015 is well-vegetated, stable, and not affecting land use. Issue resolved. July 18, 2016 - KP 3+380, One scentless chamomile plant was hand-picked, bagged, and disposed of. - Intermittent herbicide application conducted to control Canada thistle. August 9, 2016 - KP 3+700, improved vegetation cover has stabilized erosion rill, additional repairs no longer required.  Issue resolved.","May 26, 2017 - ROW was saturated due to recent heavy rainfall. Vegetation establishment is 100% comparable to off ROW control. Excellent grass and broadleaf vegetation establishment. - No noxious weeds observed in tract.  All previous issues resolved. - Previous erosional rill repair at KP 3+700 remains stable and well vegetated. Issue resolved.",,,
