Legal Location (W6M),1st Year (2013) Issue(s),1st Year (2013) Notes,2nd Year (2014) PCM Assessment,2015 PCM Assessment,VEC,GIS,Topic
SW 31-96-7,Moderate Vegetation Establishment,"Vegetation on the right-of-way (ROW), particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",The ROW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There was no weeds observed.,"--Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SW 31-96-7,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,The ROW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There was no weeds observed.,"--Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 36-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",The RWW was well vegetated with a combination of herbaceous and woody species (2013 moderate vegetation issue is resolved). There was no weeds observed.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 36-96-8,Rollback Installation,Rollback installed for access control from KP 0.21 to KP 0.26 is sparse  The placement of additional rollback is scheduled for winter 2014.,"Sept 20, 2014 – K Wilson. Rollback was located at ~0+200 as was consistent with the Rollback requirements, 2013 issue with rollback is resolved.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 36-96-8,Emergent Marsh,Wetland is on the trajectory to reaching pre-construction functional condition.,The ROW was well vegetated with a combination of herbaceous and woody species. There was no weeds observed.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NE 36-96-8,Shrubby Swamp,Wetland is on the trajectory to reaching pre-construction functional condition.,The ROW was well vegetated with a combination of herbaceous and woody species. There was no weeds observed.,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 36-96-7,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, from KP 1.07 to KP 1.13, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.",Assessment not completed,"- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
NW 36-96-7,Watercourse Crossing: Chinchaga River,This location was crossed using an HDD crossing method and no construction-related disturbance occurred in this area. No erosion or any form of disturbance was observed over the ROW.,Assessment not completed,"Oct 25, 2015 - DL - No issues noted. Monitor vegetation cover on banks and approach slopes and remove/repair silt fencing, as required.",,,
SE 2-97-8 and NE 35-96-8,None,The HDD crossing method was used up to KP 2.10. No disturbance to soil or vegetation occurred in this area.,"The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
SE 2-97-8 and NE 35-96-8,Moderate Vegetation Establishment,"Vegetation on the ROW, particularly over the trench line, has not yet established. Seedlings are present, but sparse. Vegetation cover is anticipated to improve in subsequent years.","The ROW was well vegetated, with the majority of vegetation being clover and pea vine species (2013 moderate vegetation issue is resolved). There were also woody species including Aspen and Poplar. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","- Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",,,
