Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
68,NE 17-9-28,CT 1.1 to CT 1.7,4022,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
68,NE 17-9-28,CT 1.3,4022,Soils - Wind and Water Erosion Water Quality and Quantity - Field Drain,"Silt fence, two rows of stenlogs at field drain.",Potential for erosion until vegetation is established and for alteration of surface water drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
68,NE 16-9-28,960.50 to 960.51,4023,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (77%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (71%).,Resolved,None.,,,
68,NE 16-9-28,960.61 to 960.64,4023,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Unhealthy (58%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (73%).,Resolved,None.,,,
68,NW 15-9-28,961.55 to 961.63,4024,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (65%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (25%).  Weeds: creeping thistle, perennial sow thistle. Bare ground on right-of-way. Landowner has cultivated portion of right-of-way.",Unresolved,Monitor in 2011.,,,
68,NW 15-9-28,961.87 to 961.96,4024,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (79%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours. Willow staking.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: Unhealthy (25%). Weeds: creeping thistle, perennial sow thistle. Undesirable species dominant on right-of-way. Bare ground on right-of-way. Landowner has cultivated wetland margins.",Unresolved,Monitor in 2011.,,,
68,NW 15-9-28,962.10 to 962.12,4025,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: Healthy with Problems (70%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland was avoided by final route alignment.,Resolved,None.,,,
68,NE 15-9-28,962.46 to 962.56,4025,Wetland Class Overall: IV Wetland Class on right-of-way: IV 2008 Health: Healthy with Problems (68%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (63%).,Resolved,None.,,,
68,NE 15-9-28,962.6,4025,Soils - Water Erosion,Silt fence installed on the east and west of the wetland to prevent sediment from entering wetland.,Potential for sedimentation until vegetation established.,Land access not granted at the time of the ground reconnaissance.,Unresolved,Assess in 2011.,,,
68,NE 15-9-28,962.68 to 962.71,4025,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Unhealthy (38%),Vegetation walked down prior to geotextile and ramp installation. Topsoil stripped along trench line. Silt fence installed. Ramp removed and topsoil replaced. Wetland restored to previous contours.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (65%).,Resolved,None.,,,
