Environmental Issues,Location,TERA* Mitigative Measures and Observations in 2010,TERA Mitigative Measures and Observations in 2011,Westcoast Mitigative Measures and Observations in 2012,TERA Observations in 2012,Status,Recommendations,VEC,GIS,Topic
(a) Fill/backfill instability,Entire route,--,No issues were noted during the 2011 PCEM. Trench subsidence issues are noted in element 2(d).,--,Unable to assess fill/backfill instability due to snow cover.,Unresolved,Continue monitoring for trench subsidence and for excessive crown loss causing altered drainage patterns and recontour where necessary in 2013.,1. PHYSICAL ENVIRONMENT,,
(a) Strippings/subsoil mixing,Entire route,--,No subsoil mixing issues were noted during the 2011 PCEM.,--,--,Resolved,None.,2. SOIL AND SOIL PRODUCTIVITY,,
(b) Degradation of soil structure and lowering of soil productivity through compaction and rutting,Pipeline right-of-way,--,Rutting approximately 40 cm x 100 m on east side of trench observed at KP 24.7,--,Unable to assess due to snow cover.,Unresolved,Repair rutting and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Steep slopes,North and south approach slopes to watercourse from KP 4.2 to KP 5.2 required grading during construction. Potential exists for erosion on slopes.,Unable to access watercourse due to ground conditions.,--,Unable to assess soil erosion due to snow cover.,Unresolved,Monitor erosion and vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,--,Repair of erosion gully alongside of trench crown from KP 6.8 to KP 7.0completed winter 2012/2013.,Unable to assess soil erosion due to snow cover.,Unresolved,Confirm repair success in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,"Combination of water flow, susceptible soil and vehicle ruts leading to erosion gully 60 cm deep from KP 7.1 to KP 7.2.",--,Unable to assess soil erosion due to snow cover.,Unresolved,Repair gully erosion and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,Erosion rill (15 cm x 10 cm x 10 m) at KP 13.0.,Repair of erosion rill planned for fall 2012.,Unable to assess soil erosion due to snow cover.,Unresolved,Confirm repair success and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,--,Recontouring between KP 13.0 to KP 15.6 completed winter 2012/2013.,Unable to assess contouring due to snow cover.,Unresolved,Confirm repair success and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion,Pipeline right-of-way,--,--,Repair of erosion gullies at KP 17.0 planned for 2013.,Unable to assess erosion due to snow cover.,Unresolved,Confirm repair success and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion (cont’d),Pipeline right-of-way,--,Erosion gully (60 cm x 2 m x 10 m) at KP 17.1.,--,Unable to assess erosion due to snow cover.,Unresolved,Repair gully erosion and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion (cont’d),Pipeline right-of-way,--,--,Repair of subsidence and erosion at KP 18.4 completed winter 2012/2013.,Unable to assess due to snow cover.,Unresolved,Confirm repair success and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion (cont’d),Pipeline right-of-way,--,Erosion rill (20 cm x 30 cm x 5 m) at KP 20.3.,Repair of erosion completed winter 2012/2013.,Unable to assess erosion due to snow cover.,Unresolved,Confirm repair success and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(c) Soil erosion (cont’d),Pipeline right-of-way,--,Erosion rill (10 cm x 30 cm x 5 m) from KP 23.75 to KP 23.8.,--,Unable to assess due to snow cover.,Unresolved,Repair rill erosion and monitor vegetation establishment in 2013.,2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,Subsidence observed intermittently between KP 0.5 and KP 2.0. Issue causing water to pond.,No subsidence was noted from KP 0.5 to KP 1.0.  Unable to access right-of-way from KP 1.0 to KP 4.0.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 2 m x 5 m) at KP 12.0.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (20 cm x 8 m x 10 m) at KP 15.2.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 20 m x 5 m) at KP 15.6.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,Subsidence observed intermittently between KP 17.1 and KP 19.0. Issue causing water to pond.,Subsidence (75 cm x 3 m x 3 m) observed at KP 18.4.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (50 cm x 10 m x 5 m) at KP 23.5.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (60 cm x 4 m x 2 m) at KP 24.2.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence,Pipeline right-of-way,--,Subsidence (30 cm x 8 m x1 m) at KP 25.5.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence (cont’d),Pipeline right-of-way,--,Subsidence (30 cm x 10 m x 1 m) at KP 26.1.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence (cont’d),Pipeline right-of-way,--,Subsidence (30 cm x 10 m x 1 m) at KP 26.55.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence (cont’d),Pipeline right-of-way,--,Subsidence (30 cm x 15 m x 5 m) from KP 36.4 to KP 36.5.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
(d) Trench subsidence (cont’d),Pipeline right-of-way,--,Subsidence (40 cm x 2 m x 2 m) at KP 36.6.,--,Unable to assess subsidence due to snow cover.,Unresolved,"Repair subsidence, if warranted, and continue monitoring in 2013.",2. SOIL AND SOIL PRODUCTIVITY,,
