Plot,Coordinates,Species,Size,Qty,Overall Health,Additional Comments,VEC,GIS,Topic
W1a,17T0593390 4837067,Acer x freemanii,40 mm cal.,3,Good,,,,Bottomland Planting Zone
W1a,17T0593390 4837067,Populus grandidentata,300 cm whip,3,Good,1 dead,,,Bottomland Planting Zone
W1a,17T0593390 4837067,Ulmus americana,300 cm whip,1,Good,,,,Bottomland Planting Zone
W1a,17T0593390 4837067,Ulmus americana,40 mm cal.,1,Good,,,,Bottomland Planting Zone
W1a,17T0593390 4837067,Cornus racemosa,Potted,2,Dead,2 dead,,,Bottomland Planting Zone
W1a,17T0593390 4837067,Sambucus canadensis,Potted,1,Dead,1 dead,,,Bottomland Planting Zone
W1b,17T0593866 4836980,Acer rubrum,150 cm whip,5,Dead,5 dead,,,Upland Planting Zone
W1b,17T0593866 4836980,Picea glauca,150 cm whip,3,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Pinus strobus,150 cm whip,5,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Populus grandidentata,150 cm whip,3,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Populus tremuloides,150 cm whip,1,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Quercus macrocarpa,60 mm cal,4,Good,2 dead,,,Upland Planting Zone
W1b,17T0593866 4836980,Ulmus americana,150 cm whip,1,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Cornus sericea,Potted,3,Good,,,,Upland Planting Zone
W1b,17T0593866 4836980,Rhus typhina,Potted,1,Fair,,,,Upland Planting Zone
W1c,17T0593815 4836915,Acer x freemanii,150 cm whip,1,Good,,,,Upland Planting Zone
W1c,17T0593815 4836915,Acer x freemanii,40 mm cal,3,Good,,,,Upland Planting Zone
W1c,17T0593815 4836915,Acer x freemanii,60 mm cal,4,Good,1 dead,,,Upland Planting Zone
W1c,17T0593815 4836915,Populus tremuloides,300 cm whip,2,Good,,,,Upland Planting Zone
W1c,17T0593815 4836915,Ulmus americana,150 cm whip,1,Poor,1 poor condition,,,Upland Planting Zone
W1c,17T0593815 4836915,Viburnum trilobum,Potted,1,Good,,,,Upland Planting Zone
